NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
13,1,1,2:28.156,0,,1:01.350,0,42.001,0,44.805,0,106.5,2:28.156,08:34:12.358,1:01.350,0:42.001,0:44.805,,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,61.350,42.001,44.805,
13,1,2,2:05.786,0,,41.393,0,40.367,0,44.026,0,133.2,4:33.942,08:36:18.144,0:41.393,0:40.367,0:44.026,225.0,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,41.393,40.367,44.026,
13,1,3,2:02.693,0,,39.562,0,39.734,0,43.397,0,136.5,6:36.635,08:38:20.837,0:39.562,0:39.734,0:43.397,227.8,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,39.562,39.734,43.397,
13,1,4,2:04.775,0,,40.329,0,40.900,0,43.546,0,134.2,8:41.410,08:40:25.612,0:40.329,0:40.900,0:43.546,228.8,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,40.329,40.900,43.546,
13,1,5,2:03.931,0,,41.114,0,41.066,0,41.751,0,135.2,10:45.341,08:42:29.543,0:41.114,0:41.066,0:41.751,229.3,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,41.114,41.066,41.751,
13,1,6,2:01.324,0,,39.636,0,38.628,0,43.060,0,138.1,12:46.665,08:44:30.867,0:39.636,0:38.628,0:43.060,228.8,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,39.636,38.628,43.060,
13,1,7,1:59.239,0,,39.655,0,38.305,0,41.279,0,140.5,14:45.904,08:46:30.106,0:39.655,0:38.305,0:41.279,228.3,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,39.655,38.305,41.279,
13,1,8,1:58.976,0,,38.785,0,38.645,0,41.546,0,140.8,16:44.880,08:48:29.082,0:38.785,0:38.645,0:41.546,228.8,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,38.785,38.645,41.546,
13,1,9,1:56.811,0,,37.539,0,38.039,0,41.233,0,143.4,18:41.691,08:50:25.893,0:37.539,0:38.039,0:41.233,229.3,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,37.539,38.039,41.233,
13,1,10,2:01.189,0,,37.490,0,38.333,0,45.366,0,138.2,20:42.880,08:52:27.082,0:37.490,0:38.333,0:45.366,229.8,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,37.490,38.333,45.366,
13,1,11,3:39.166,0,,1:19.741,0,1:09.662,0,1:09.763,0,76.4,24:22.046,08:56:06.248,1:19.741,1:09.662,1:09.763,98.6,Haydn CHANCE,,PRO 1500,,Valour Racing,,SF,79.741,69.662,69.763,
13,1,12,2:47.595,0,,1:08.198,0,45.317,0,54.080,0,99.9,27:09.641,08:58:53.843,1:08.198,0:45.317,0:54.080,93.8,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,68.198,45.317,54.080,
13,1,13,2:00.127,0,,41.040,0,38.624,0,40.463,2,139.4,29:09.768,09:00:53.970,0:41.040,0:38.624,0:40.463,225.5,Haydn CHANCE,,PRO 1500,,Valour Racing,,GF,41.040,38.624,40.463,
13,1,14,1:54.571,2,,37.062,2,37.022,2,40.487,0,146.2,31:04.339,09:02:48.541,0:37.062,0:37.022,0:40.487,228.3,Haydn CHANCE,,PRO 1500,,Valour Racing,,FF,37.062,37.022,40.487,
14,1,1,2:36.487,0,,1:06.122,0,43.373,0,46.992,0,100.9,2:36.487,08:34:20.689,1:06.122,0:43.373,0:46.992,,John MACLEOD,,PRO 1500,,RSR,,GF,66.122,43.373,46.992,
14,1,2,2:18.113,0,,48.324,0,43.497,0,46.292,0,121.3,4:54.600,08:36:38.802,0:48.324,0:43.497,0:46.292,224.1,John MACLEOD,,PRO 1500,,RSR,,GF,48.324,43.497,46.292,
14,1,3,2:10.386,0,,42.728,0,42.250,0,45.408,0,128.5,7:04.986,08:38:49.188,0:42.728,0:42.250,0:45.408,222.7,John MACLEOD,,PRO 1500,,RSR,,GF,42.728,42.250,45.408,
14,1,4,2:08.299,0,,42.073,0,41.546,0,44.680,0,130.6,9:13.285,08:40:57.487,0:42.073,0:41.546,0:44.680,229.3,John MACLEOD,,PRO 1500,,RSR,,GF,42.073,41.546,44.680,
14,1,5,2:06.952,0,,41.195,0,41.198,0,44.559,0,131.9,11:20.237,08:43:04.439,0:41.195,0:41.198,0:44.559,226.9,John MACLEOD,,PRO 1500,,RSR,,GF,41.195,41.198,44.559,
14,1,6,2:07.177,0,,41.121,0,41.845,0,44.211,0,131.7,13:27.414,08:45:11.616,0:41.121,0:41.845,0:44.211,225.5,John MACLEOD,,PRO 1500,,RSR,,GF,41.121,41.845,44.211,
14,1,7,2:06.546,0,,41.364,0,41.262,0,43.920,0,132.4,15:33.960,08:47:18.162,0:41.364,0:41.262,0:43.920,231.3,John MACLEOD,,PRO 1500,,RSR,,GF,41.364,41.262,43.920,
