TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1712818837,11/04/2024 7:00:37,44.6,57.2,74,"1015,41",0,241,-1,
1712818902,11/04/2024 7:01:42,44.6,57.2,74,"1015,37",0,242,-1,
1712818962,11/04/2024 7:02:42,44.6,57.2,74,"1015,41",0,242,-1,
1712819027,11/04/2024 7:03:47,46.4,57.2,74,"1015,41",0,242,-1,
1712819093,11/04/2024 7:04:53,46.4,57.2,74,"1015,41",0,241,-1,
1712819158,11/04/2024 7:05:58,46.4,57.2,73,"1015,48","1,06093",242,-1,
1712819222,11/04/2024 7:07:02,46.4,57.2,73,"1015,48","1,06093",246,-1,
1712819283,11/04/2024 7:08:03,46.4,57.2,73,"1015,51","1,06093",246,-1,
1712819348,11/04/2024 7:09:08,46.4,57.2,73,"1015,48","1,06093",245,-1,
1712819413,11/04/2024 7:10:13,46.4,57.2,73,"1015,48","1,06093",74,-1,
1712819478,11/04/2024 7:11:18,46.4,57.2,73,"1015,48",0,74,-1,
1712819538,11/04/2024 7:12:18,46.4,57.2,73,"1015,48","2,12187",75,-1,
1712819603,11/04/2024 7:13:23,46.4,59.0,72,"1015,48",0,76,-1,
1712819668,11/04/2024 7:14:28,46.4,59.0,72,"1015,58",0,76,-1,
1712819733,11/04/2024 7:15:33,46.4,59.0,72,"1015,58",0,76,-1,
1712819794,11/04/2024 7:16:34,46.4,59.0,72,"1015,58","2,12187",81,-1,
1712819859,11/04/2024 7:17:39,46.4,59.0,72,"1015,58","2,12187",81,-1,
1712819924,11/04/2024 7:18:44,46.4,59.0,72,"1015,54","1,06093",85,-1,
1712819989,11/04/2024 7:19:49,48.2,59.0,72,"1015,54",0,67,-1,
1712820049,11/04/2024 7:20:49,48.2,59.0,70,"1015,48","1,06093",346,-1,
1712820114,11/04/2024 7:21:54,48.2,59.0,69,"1015,48",0,346,-1,
1712820179,11/04/2024 7:22:59,48.2,59.0,69,"1015,48",0,346,-1,
1712820244,11/04/2024 7:24:04,48.2,60.8,69,"1015,51","1,06093",55,-1,
1712820304,11/04/2024 7:25:04,48.2,60.8,69,"1015,51","1,06093",55,-1,
1712820369,11/04/2024 7:26:09,48.2,60.8,69,"1015,54","3,1828",72,-1,
1712820435,11/04/2024 7:27:15,48.2,60.8,69,"1015,58","2,12187",74,-1,
1712820500,11/04/2024 7:28:20,48.2,60.8,69,"1015,58","1,06093",76,-1,
1712820564,11/04/2024 7:29:24,48.2,60.8,69,"1015,61","2,12187",73,-1,
1712820625,11/04/2024 7:30:25,48.2,60.8,69,"1015,58",0,73,-1,
1712820690,11/04/2024 7:31:30,50.0,60.8,69,"1015,61","4,24374",67,-1,
1712820755,11/04/2024 7:32:35,50.0,60.8,69,"1015,65","1,06093",67,-1,
1712820815,11/04/2024 7:33:35,50.0,60.8,69,"1015,61","1,06093",59,-1,
1712820880,11/04/2024 7:34:40,50.0,60.8,69,"1015,65","1,06093",59,-1,
1712820945,11/04/2024 7:35:45,50.0,60.8,69,"1015,61","2,12187",62,-1,
1712821011,11/04/2024 7:36:51,50.0,62.6,69,"1015,54",0,62,-1,
1712821075,11/04/2024 7:37:55,50.0,62.6,65,"1015,54","1,06093",60,-1,
1712821136,11/04/2024 7:38:56,50.0,62.6,65,"1015,58",0,350,-1,
1712821201,11/04/2024 7:40:01,50.0,62.6,65,"1015,58",0,350,-1,
1712821266,11/04/2024 7:41:06,50.0,62.6,65,"1015,51",0,350,-1,
1712821331,11/04/2024 7:42:11,50.0,62.6,65,"1015,58",0,350,-1,
1712821391,11/04/2024 7:43:11,50.0,62.6,65,"1015,61",0,350,-1,
1712821461,11/04/2024 7:44:21,50.0,62.6,65,"1015,61",0,355,-1,
1712821521,11/04/2024 7:45:21,50.0,62.6,64,"1015,61","2,12187",57,-1,
1712821586,11/04/2024 7:46:26,50.0,64.4,64,"1015,61",0,57,-1,
1712821646,11/04/2024 7:47:26,50.0,64.4,64,"1015,65",0,56,-1,
1712821711,11/04/2024 7:48:31,50.0,64.4,64,"1015,68",0,58,-1,
1712821777,11/04/2024 7:49:37,51.8,64.4,64,"1015,71",0,57,-1,
1712821842,11/04/2024 7:50:42,51.8,64.4,64,"1015,71",0,57,-1,
1712821906,11/04/2024 7:51:46,51.8,64.4,64,"1015,61",0,58,-1,
1712821967,11/04/2024 7:52:47,51.8,64.4,64,"1015,71",0,58,-1,
1712822032,11/04/2024 7:53:52,51.8,64.4,64,"1015,82",0,60,-1,
1712822097,11/04/2024 7:54:57,51.8,64.4,64,"1015,75","2,12187",67,-1,
1712822162,11/04/2024 7:56:02,51.8,66.2,63,"1015,75","2,12187",67,-1,
1712822222,11/04/2024 7:57:02,51.8,66.2,63,"1015,78","1,06093",64,-1,
1712822287,11/04/2024 7:58:07,51.8,66.2,62,"1015,82",0,64,-1,
1712822353,11/04/2024 7:59:13,51.8,66.2,62,"1015,78",0,64,-1,
1712822417,11/04/2024 8:00:17,51.8,66.2,61,"1015,75",0,64,-1,
1712822478,11/04/2024 8:01:18,51.8,66.2,61,"1015,75",0,64,-1,
1712822543,11/04/2024 8:02:23,51.8,66.2,61,"1015,75",0,44,-1,
1712822608,11/04/2024 8:03:28,51.8,66.2,61,"1015,68",0,44,-1,
1712822673,11/04/2024 8:04:33,51.8,66.2,61,"1015,71",0,44,-1,
1712822733,11/04/2024 8:05:33,51.8,68.0,61,"1015,68",0,46,-1,
1712822798,11/04/2024 8:06:38,51.8,68.0,62,"1015,65",0,117,-1,
1712822863,11/04/2024 8:07:43,51.8,68.0,62,"1015,65",0,118,-1,
1712822928,11/04/2024 8:08:48,51.8,68.0,62,"1015,75",0,118,-1,
1712822988,11/04/2024 8:09:48,51.8,68.0,61,"1015,75","2,12187",184,-1,
1712823054,11/04/2024 8:10:54,51.8,68.0,61,"1015,75","1,06093",184,-1,
1712823123,11/04/2024 8:12:03,51.8,68.0,60,"1015,68","2,12187",184,-1,
1712823184,11/04/2024 8:13:04,51.8,68.0,60,"1015,65","2,12187",184,-1,
1712823249,11/04/2024 8:14:09,51.8,68.0,60,"1015,65","1,06093",183,-1,
1712823309,11/04/2024 8:15:09,51.8,69.8,60,"1015,61","2,12187",184,-1,
1712823374,11/04/2024 8:16:14,51.8,69.8,60,"1015,71","2,12187",208,-1,
1712823439,11/04/2024 8:17:19,51.8,69.8,60,"1015,78",0,208,-1,
1712823504,11/04/2024 8:18:24,53.6,69.8,60,"1015,75",0,200,-1,
1712823564,11/04/2024 8:19:24,53.6,69.8,60,"1015,75",0,200,-1,
1712823630,11/04/2024 8:20:30,53.6,69.8,60,"1015,71","1,06093",200,-1,
1712823695,11/04/2024 8:21:35,53.6,69.8,60,"1015,78","2,12187",88,-1,
1712823759,11/04/2024 8:22:39,53.6,69.8,60,"1015,78","2,12187",85,-1,
1712823820,11/04/2024 8:23:40,53.6,69.8,59,"1015,71",0,86,-1,
1712823885,11/04/2024 8:24:45,53.6,69.8,60,"1015,82","1,06093",222,-1,
1712823950,11/04/2024 8:25:50,53.6,71.6,58,"1015,78",0,222,-1,
1712824015,11/04/2024 8:26:55,53.6,71.6,58,"1015,82","2,12187",223,-1,
1712824075,11/04/2024 8:27:55,53.6,71.6,58,"1015,88","2,12187",231,-1,
1712824140,11/04/2024 8:29:00,53.6,71.6,58,"1015,88","1,06093",231,-1,
1712824205,11/04/2024 8:30:05,53.6,71.6,58,"1015,85",0,230,-1,
1712824270,11/04/2024 8:31:10,55.4,71.6,57,"1015,82",0,230,-1,
1712824331,11/04/2024 8:32:11,55.4,71.6,57,"1015,78",0,230,-1,
1712824396,11/04/2024 8:33:16,55.4,71.6,57,"1015,78","1,06093",228,-1,
1712824456,11/04/2024 8:34:16,55.4,71.6,57,"1015,71","1,06093",360,-1,
1712824521,11/04/2024 8:35:21,55.4,71.6,59,"1015,78",0,360,-1,
1712824586,11/04/2024 8:36:26,55.4,71.6,59,"1015,68","2,12187",93,-1,
