NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
11,1,1,2:16.578,0,,52.463,0,31.062,0,53.053,0,149.2,2:16.578,16:37:16.578,0:52.463,0:31.062,0:53.053,278.4,Matthew Richard BELL,0:00:10.884,LMP3,,Eurointernational,Ligier,GF,52.463,31.062,53.053,
11,1,2,1:55.585,0,,34.723,0,29.244,0,51.618,0,179.7,4:12.163,16:39:12.163,0:34.723,0:29.244,0:51.618,285.0,Matthew Richard BELL,,LMP3,,Eurointernational,Ligier,GF,34.723,29.244,51.618,
11,1,3,1:54.591,0,,34.441,0,29.214,0,50.936,0,181.3,6:06.754,16:41:06.754,0:34.441,0:29.214,0:50.936,288.8,Matthew Richard BELL,,LMP3,,Eurointernational,Ligier,GF,34.441,29.214,50.936,
11,1,4,1:52.003,2,,33.355,0,29.034,0,49.614,2,185.5,7:58.757,16:42:58.757,0:33.355,0:29.034,0:49.614,285.7,Matthew Richard BELL,,LMP3,,Eurointernational,Ligier,GF,33.355,29.034,49.614,
11,1,5,1:52.456,0,,33.106,2,28.986,0,50.364,0,184.7,9:51.213,16:44:51.213,0:33.106,0:28.986,0:50.364,286.5,Matthew Richard BELL,,LMP3,,Eurointernational,Ligier,GF,33.106,28.986,50.364,
11,1,6,1:59.484,0,B,34.002,0,28.968,2,56.514,0,173.9,11:50.697,16:46:50.697,0:34.002,0:28.968,0:56.514,288.0,Matthew Richard BELL,,LMP3,,Eurointernational,Ligier,GF,34.002,28.968,56.514,
11,1,7,2:56.420,0,,1:33.936,0,29.966,0,52.518,0,117.8,14:47.117,16:49:47.117,1:33.936,0:29.966,0:52.518,287.2,Matthew Richard BELL,0:01:07.942,LMP3,,Eurointernational,Ligier,GF,93.936,29.966,52.518,
11,1,8,1:55.649,0,,34.868,0,29.342,0,51.439,0,179.6,16:42.766,16:51:42.766,0:34.868,0:29.342,0:51.439,287.2,Matthew Richard BELL,,LMP3,,Eurointernational,Ligier,GF,34.868,29.342,51.439,
11,1,9,1:53.990,0,,34.655,0,29.306,0,50.029,0,182.3,18:36.756,16:53:36.756,0:34.655,0:29.306,0:50.029,285.0,Matthew Richard BELL,,LMP3,,Eurointernational,Ligier,GF,34.655,29.306,50.029,
11,1,10,1:52.217,0,,33.173,0,29.197,0,49.847,0,185.1,20:28.973,16:55:28.973,0:33.173,0:29.197,0:49.847,286.5,Matthew Richard BELL,,LMP3,,Eurointernational,Ligier,GF,33.173,29.197,49.847,
