NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,1,1,2:36.484,0,,45.202,0,49.342,0,1:01.940,0,107.9,2:36.484,16:22:36.484,0:45.202,0:49.342,1:01.940,122.7,Nicola FRANZOSO,0:00:10.693,Supersport GT,,ZRS Motorsport,Porsche,GF,45.202,49.342,61.940,
10,1,2,2:04.057,0,,26.976,0,41.768,0,55.313,0,142.5,4:40.541,16:24:40.541,0:26.976,0:41.768,0:55.313,232.8,Nicola FRANZOSO,,Supersport GT,,ZRS Motorsport,Porsche,GF,26.976,41.768,55.313,
10,1,3,1:54.346,0,,23.433,0,37.071,0,53.842,0,154.6,6:34.887,16:26:34.887,0:23.433,0:37.071,0:53.842,254.7,Nicola FRANZOSO,,Supersport GT,,ZRS Motorsport,Porsche,GF,23.433,37.071,53.842,
10,1,4,1:52.563,0,,23.317,2,37.102,0,52.144,0,157.0,8:27.450,16:28:27.450,0:23.317,0:37.102,0:52.144,260.2,Nicola FRANZOSO,,Supersport GT,,ZRS Motorsport,Porsche,GF,23.317,37.102,52.144,
10,1,5,1:52.127,0,,23.515,0,36.854,0,51.758,0,157.6,10:19.577,16:30:19.577,0:23.515,0:36.854,0:51.758,258.4,Nicola FRANZOSO,,Supersport GT,,ZRS Motorsport,Porsche,GF,23.515,36.854,51.758,
10,1,6,1:51.467,2,,23.496,0,36.447,2,51.524,2,158.5,12:11.044,16:32:11.044,0:23.496,0:36.447,0:51.524,257.1,Nicola FRANZOSO,,Supersport GT,,ZRS Motorsport,Porsche,GF,23.496,36.447,51.524,
10,1,7,1:55.977,0,,23.935,0,39.735,0,52.307,0,152.4,14:07.021,16:34:07.021,0:23.935,0:39.735,0:52.307,259.6,Nicola FRANZOSO,,Supersport GT,,ZRS Motorsport,Porsche,GF,23.935,39.735,52.307,
11,2,1,2:29.115,0,,42.521,0,48.105,0,58.489,0,113.3,2:29.115,16:22:29.115,0:42.521,0:48.105,0:58.489,102.2,Francesco GUIDI,0:00:06.791,Supersport GT,,ZRS Motorsport,Porsche,GF,42.521,48.105,58.489,
11,2,2,1:57.406,0,,25.322,0,39.590,0,52.494,0,150.5,4:26.521,16:24:26.521,0:25.322,0:39.590,0:52.494,233.3,Francesco GUIDI,,Supersport GT,,ZRS Motorsport,Porsche,GF,25.322,39.590,52.494,
11,2,3,1:54.337,0,,23.559,0,38.697,0,52.081,0,154.6,6:20.858,16:26:20.858,0:23.559,0:38.697,0:52.081,270.7,Francesco GUIDI,,Supersport GT,,ZRS Motorsport,Porsche,GF,23.559,38.697,52.081,
11,2,4,1:51.917,0,,23.379,0,37.003,0,51.535,0,157.9,8:12.775,16:28:12.775,0:23.379,0:37.003,0:51.535,269.3,Francesco GUIDI,,Supersport GT,,ZRS Motorsport,Porsche,GF,23.379,37.003,51.535,
11,2,5,1:50.973,0,,23.009,2,37.218,0,50.746,0,159.2,10:03.748,16:30:03.748,0:23.009,0:37.218,0:50.746,270.7,Francesco GUIDI,,Supersport GT,,ZRS Motorsport,Porsche,GF,23.009,37.218,50.746,
11,2,6,1:50.720,2,,23.103,0,36.881,2,50.736,2,159.6,11:54.468,16:31:54.468,0:23.103,0:36.881,0:50.736,272.7,Francesco GUIDI,,Supersport GT,,ZRS Motorsport,Porsche,GF,23.103,36.881,50.736,
11,2,7,1:56.121,0,,23.117,0,39.732,0,53.272,0,152.2,13:50.589,16:33:50.589,0:23.117,0:39.732,0:53.272,272.0,Francesco GUIDI,,Supersport GT,,ZRS Motorsport,Porsche,GF,23.117,39.732,53.272,
12,1,1,3:54.056,0,,1:59.812,0,46.539,0,1:07.705,0,72.2,3:54.056,16:23:54.056,1:59.812,0:46.539,1:07.705,111.9,Pierluigi MOSCONE,0:01:28.646,Supersport GT,,ZRS Motorsport,Porsche,GF,119.812,46.539,67.705,
12,1,2,2:06.475,0,,26.295,0,38.265,0,1:01.915,0,139.7,6:00.531,16:26:00.531,0:26.295,0:38.265,1:01.915,236.8,Pierluigi MOSCONE,,Supersport GT,,ZRS Motorsport,Porsche,GF,26.295,38.265,61.915,
