TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1720259114,06/07/2024 9:45:14,"30,7778","43,4",43,"1005,69","1,06093",267,-1,
1720259179,06/07/2024 9:46:19,"30,7778","43,5",43,"1005,66","4,24374",279,-1,
1720259244,06/07/2024 9:47:24,"30,7778","43,8",43,"1005,66","2,12187",306,-1,
1720259309,06/07/2024 9:48:29,"30,7778","43,8",43,"1005,66","1,06093",150,-1,
1720259374,06/07/2024 9:49:34,"30,7778","44,1",43,"1005,62","5,30467",304,-1,
1720259435,06/07/2024 9:50:35,"30,8333",44,43,"1005,59","4,24374",313,-1,
1720259510,06/07/2024 9:51:50,"30,7778","44,1",43,"1005,49","4,24374",132,-1,
1720259570,06/07/2024 9:52:50,"30,7778","44,2",43,"1005,55","1,06093",173,-1,
1720259640,06/07/2024 9:54:00,"30,8333","44,2",42,"1005,49","1,06093",244,-1,
1720259700,06/07/2024 9:55:00,"30,8333","44,6",42,"1005,45",0,243,-1,
1720259770,06/07/2024 9:56:10,"30,8889","45,1",42,"1005,52","2,12187",199,-1,
1720259835,06/07/2024 9:57:15,"30,9444","45,4",42,"1005,52","3,1828",321,-1,
1720259900,06/07/2024 9:58:20,31,"45,6",42,"1005,49","2,12187",253,-1,
1720259966,06/07/2024 9:59:26,31,"45,9",42,"1005,52",0,177,-1,
1720260031,06/07/2024 10:00:31,31,"46,1",42,"1005,49","4,24374",148,-1,
1720260101,06/07/2024 10:01:41,"31,0556","46,1",42,"1005,49","3,1828",194,-1,
1720260171,06/07/2024 10:02:51,"31,1111","46,2",41,"1005,45","2,12187",127,-1,
1720260231,06/07/2024 10:03:51,"31,1667","46,4",41,"1005,45","1,06093",74,-1,
1720260296,06/07/2024 10:04:56,"31,1667","46,5",41,"1005,49","1,06093",207,-1,
1720260366,06/07/2024 10:06:06,"31,1667","46,6",42,"1005,49","2,12187",161,-1,
1720260436,06/07/2024 10:07:16,"31,1667","46,6",42,"1005,49","4,24374",313,-1,
1720260501,06/07/2024 10:08:21,"31,2222","46,9",41,"1005,49","4,24374",163,-1,
1720260561,06/07/2024 10:09:21,"31,2222","47,2",42,"1005,45","5,30467",304,-1,
1720260631,06/07/2024 10:10:31,"31,2222","47,4",41,"1005,28","3,1828",306,-1,
1720260697,06/07/2024 10:11:37,"31,2222","47,4",40,"1005,32","5,30467",134,-1,
1720260766,06/07/2024 10:12:46,"31,2222","47,5",41,"1005,32","6,3656",150,-1,
1720260827,06/07/2024 10:13:47,"31,2778","47,6",41,"1005,32","5,30467",175,-1,
1720260892,06/07/2024 10:14:52,"31,2778","47,6",41,"1005,28","2,12187",206,-1,
1720260977,06/07/2024 10:16:17,"31,3333","47,6",43,"1005,22","1,06093",269,-1,
1720261042,06/07/2024 10:17:22,"31,3889","47,7",42,"1005,39","1,06093",308,-1,
1720261127,06/07/2024 10:18:47,"31,4444","47,9",40,"1005,32","10,6093",301,-1,
1720261197,06/07/2024 10:19:57,"31,3889","48,1",39,"1005,35","6,3656",305,-1,
1720261267,06/07/2024 10:21:07,"31,3889","48,5",40,"1005,32","10,6093",294,-1,
1720261328,06/07/2024 10:22:08,"31,3333","48,6",39,"1005,32","6,3656",315,-1,
1720261393,06/07/2024 10:23:13,"31,2778","48,8",40,"1005,25","2,12187",38,-1,
1720261468,06/07/2024 10:24:28,"31,2778",49,40,"1005,28","5,30467",312,-1,
1720261538,06/07/2024 10:25:38,"31,2222","48,9",42,"1005,28","1,06093",185,-1,
1720261608,06/07/2024 10:26:48,"31,2778",49,43,"1005,25","3,1828",200,-1,
1720261678,06/07/2024 10:27:58,"31,3333",49,43,"1005,25","1,06093",258,-1,
