NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
50,1,1,3:06.044,0,,1:34.844,0,36.798,0,54.402,0,90.8,3:06.044,14:38:06.044,1:34.844,0:36.798,0:54.402,177.0,Johnny LAURSEN,0:01:09.463,LMGT3,,Formula Racing,Ferrari,GF,94.844,36.798,54.402,
50,1,2,1:50.358,0,,22.472,0,35.100,0,52.786,0,160.1,4:56.402,14:39:56.402,0:22.472,0:35.100,0:52.786,251.7,Johnny LAURSEN,,LMGT3,,Formula Racing,Ferrari,GF,22.472,35.100,52.786,
50,1,3,1:46.022,0,,22.314,0,34.191,0,49.517,0,166.7,6:42.424,14:41:42.424,0:22.314,0:34.191,0:49.517,251.7,Johnny LAURSEN,,LMGT3,,Formula Racing,Ferrari,GF,22.314,34.191,49.517,
50,1,4,1:45.037,0,,21.931,0,34.118,0,48.988,0,168.2,8:27.461,14:43:27.461,0:21.931,0:34.118,0:48.988,252.9,Johnny LAURSEN,,LMGT3,,Formula Racing,Ferrari,GF,21.931,34.118,48.988,
50,1,5,1:45.866,0,,22.002,0,34.782,0,49.082,0,166.9,10:13.327,14:45:13.327,0:22.002,0:34.782,0:49.082,252.9,Johnny LAURSEN,,LMGT3,,Formula Racing,Ferrari,GF,22.002,34.782,49.082,
50,1,6,1:45.065,0,,21.982,0,34.401,0,48.682,0,168.2,11:58.392,14:46:58.392,0:21.982,0:34.401,0:48.682,254.1,Johnny LAURSEN,,LMGT3,,Formula Racing,Ferrari,GF,21.982,34.401,48.682,
50,1,7,1:44.592,2,,21.959,0,34.009,2,48.624,2,169.0,13:42.984,14:48:42.984,0:21.959,0:34.009,0:48.624,255.3,Johnny LAURSEN,,LMGT3,,Formula Racing,Ferrari,GF,21.959,34.009,48.624,
51,1,1,3:22.163,0,,1:49.235,0,38.676,0,54.252,0,83.5,3:22.163,14:38:22.163,1:49.235,0:38.676,0:54.252,176.5,Charles-Henri SAMANI,0:01:21.441,LMGT3,,AF Corse,Ferrari,GF,109.235,38.676,54.252,
51,1,2,1:46.910,0,,22.501,0,34.823,0,49.586,0,165.3,5:09.073,14:40:09.073,0:22.501,0:34.823,0:49.586,250.6,Charles-Henri SAMANI,,LMGT3,,AF Corse,Ferrari,GF,22.501,34.823,49.586,
51,1,3,1:45.958,0,,22.375,0,34.318,0,49.265,0,166.8,6:55.031,14:41:55.031,0:22.375,0:34.318,0:49.265,251.2,Charles-Henri SAMANI,,LMGT3,,AF Corse,Ferrari,GF,22.375,34.318,49.265,
51,1,4,1:45.169,0,,22.441,0,34.067,0,48.661,0,168.0,8:40.200,14:43:40.200,0:22.441,0:34.067,0:48.661,252.3,Charles-Henri SAMANI,,LMGT3,,AF Corse,Ferrari,GF,22.441,34.067,48.661,
51,1,5,1:45.634,0,,22.171,2,34.270,0,49.193,0,167.3,10:25.834,14:45:25.834,0:22.171,0:34.270,0:49.193,252.3,Charles-Henri SAMANI,,LMGT3,,AF Corse,Ferrari,GF,22.171,34.270,49.193,
51,1,6,1:44.747,2,,22.175,0,33.986,2,48.586,2,168.7,12:10.581,14:47:10.581,0:22.175,0:33.986,0:48.586,253.5,Charles-Henri SAMANI,,LMGT3,,AF Corse,Ferrari,GF,22.175,33.986,48.586,
51,1,7,1:45.368,0,,22.177,0,34.138,0,49.053,0,167.7,13:55.949,14:48:55.949,0:22.177,0:34.138,0:49.053,253.5,Charles-Henri SAMANI,,LMGT3,,AF Corse,Ferrari,GF,22.177,34.138,49.053,
55,1,1,2:48.115,0,,1:18.748,0,37.568,0,51.799,0,100.5,2:48.115,14:37:48.115,1:18.748,0:37.568,0:51.799,175.3,Duncan CAMERON,0:00:53.132,LMGT3,,Spirit of Race,Ferrari,GF,78.748,37.568,51.799,
55,1,2,1:48.721,0,,23.119,0,35.966,0,49.636,0,162.5,4:36.836,14:39:36.836,0:23.119,0:35.966,0:49.636,251.7,Duncan CAMERON,,LMGT3,,Spirit of Race,Ferrari,GF,23.119,35.966,49.636,
55,1,3,1:47.570,0,,22.540,0,34.398,0,50.632,0,164.3,6:24.406,14:41:24.406,0:22.540,0:34.398,0:50.632,251.7,Duncan CAMERON,,LMGT3,,Spirit of Race,Ferrari,GF,22.540,34.398,50.632,
55,1,4,1:53.537,0,,22.291,0,34.799,0,56.447,0,155.7,8:17.943,14:43:17.943,0:22.291,0:34.799,0:56.447,252.3,Duncan CAMERON,,LMGT3,,Spirit of Race,Ferrari,GF,22.291,34.799,56.447,
55,1,5,1:45.523,2,,22.182,0,34.420,0,48.921,2,167.5,10:03.466,14:45:03.466,0:22.182,0:34.420,0:48.921,253.5,Duncan CAMERON,,LMGT3,,Spirit of Race,Ferrari,GF,22.182,34.420,48.921,
55,1,6,1:51.419,0,,22.106,0,34.234,2,55.079,0,158.6,11:54.885,14:46:54.885,0:22.106,0:34.234,0:55.079,255.3,Duncan CAMERON,,LMGT3,,Spirit of Race,Ferrari,GF,22.106,34.234,55.079,
55,1,7,1:45.738,0,,22.126,0,34.414,0,49.198,0,167.1,13:40.623,14:48:40.623,0:22.126,0:34.414,0:49.198,255.9,Duncan CAMERON,,LMGT3,,Spirit of Race,Ferrari,GF,22.126,34.414,49.198,
57,1,1,2:11.733,0,,40.967,0,38.604,0,52.162,0,128.2,2:11.733,14:37:11.733,0:40.967,0:38.604,0:52.162,166.7,Takeshi KIMURA,0:00:14.031,LMGT3,,Kessel Racing,Ferrari,GF,40.967,38.604,52.162,
57,1,2,1:45.261,0,,22.298,0,34.369,0,48.594,0,167.9,3:56.994,14:38:56.994,0:22.298,0:34.369,0:48.594,253.5,Takeshi KIMURA,,LMGT3,,Kessel Racing,Ferrari,GF,22.298,34.369,48.594,
57,1,3,1:44.057,0,,21.663,2,33.885,0,48.509,0,169.8,5:41.051,14:40:41.051,0:21.663,0:33.885,0:48.509,256.5,Takeshi KIMURA,,LMGT3,,Kessel Racing,Ferrari,GF,21.663,33.885,48.509,
57,1,4,1:44.322,0,,21.789,0,33.956,0,48.577,0,169.4,7:25.373,14:42:25.373,0:21.789,0:33.956,0:48.577,255.9,Takeshi KIMURA,,LMGT3,,Kessel Racing,Ferrari,GF,21.789,33.956,48.577,
57,1,5,3:04.620,0,B,21.753,0,34.182,0,2:08.685,0,95.7,10:29.993,14:45:29.993,0:21.753,0:34.182,2:08.685,256.5,Takeshi KIMURA,,LMGT3,,Kessel Racing,Ferrari,GF,21.753,34.182,128.685,
57,1,6,2:04.878,0,,39.225,0,36.303,0,49.350,0,141.5,12:34.871,14:47:34.871,0:39.225,0:36.303,0:49.350,180.3,Takeshi KIMURA,0:01:36.664,LMGT3,,Kessel Racing,Ferrari,GF,39.225,36.303,49.350,
57,1,7,1:43.821,2,,21.689,0,33.794,2,48.338,2,170.2,14:18.692,14:49:18.692,0:21.689,0:33.794,0:48.338,257.8,Takeshi KIMURA,,LMGT3,,Kessel Racing,Ferrari,GF,21.689,33.794,48.338,
57,1,8,1:44.797,0,,21.681,0,33.952,0,49.164,0,168.6,16:03.489,14:51:03.489,0:21.681,0:33.952,0:49.164,258.4,Takeshi KIMURA,,LMGT3,,Kessel Racing,Ferrari,FF,21.681,33.952,49.164,
59,1,1,3:10.950,0,B,39.010,0,46.659,0,1:45.281,0,88.4,3:10.950,14:38:10.950,0:39.010,0:46.659,1:45.281,142.1,Derek DEBOER,0:00:08.252,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,39.010,46.659,105.281,
59,1,2,2:18.193,0,,40.809,0,38.061,0,59.323,0,127.9,5:29.143,14:40:29.143,0:40.809,0:38.061,0:59.323,169.0,Derek DEBOER,0:00:58.438,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,40.809,38.061,59.323,
59,1,3,1:47.586,0,,22.327,0,35.321,0,49.938,0,164.3,7:16.729,14:42:16.729,0:22.327,0:35.321,0:49.938,251.2,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,22.327,35.321,49.938,
59,1,4,1:44.647,0,,21.858,0,34.118,0,48.671,0,168.9,9:01.376,14:44:01.376,0:21.858,0:34.118,0:48.671,254.1,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,21.858,34.118,48.671,
59,1,5,1:44.085,0,,21.863,0,33.936,0,48.286,0,169.8,10:45.461,14:45:45.461,0:21.863,0:33.936,0:48.286,254.1,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,21.863,33.936,48.286,
59,1,6,1:44.877,0,,22.299,0,33.961,0,48.617,0,168.5,12:30.338,14:47:30.338,0:22.299,0:33.961,0:48.617,255.3,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,22.299,33.961,48.617,
59,1,7,1:43.476,2,,21.751,0,33.667,3,48.058,0,170.8,14:13.814,14:49:13.814,0:21.751,0:33.667,0:48.058,256.5,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,21.751,33.667,48.058,
