NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
19,1,1,1:57.900,0,,32.768,0,36.701,0,48.431,0,143.2,1:57.900,15:26:57.900,0:32.768,0:36.701,0:48.431,178.8,Anthony WELLS,0:00:07.452,LMP2 Pro/Am,,Team Virage,Oreca,GF,32.768,36.701,48.431,
19,1,2,1:40.248,0,,21.040,0,33.188,0,46.020,0,176.3,3:38.148,15:28:38.148,0:21.040,0:33.188,0:46.020,264.1,Anthony WELLS,,LMP2 Pro/Am,,Team Virage,Oreca,GF,21.040,33.188,46.020,
19,1,3,1:36.667,0,,20.143,0,31.295,0,45.229,0,182.8,5:14.815,15:30:14.815,0:20.143,0:31.295,0:45.229,283.5,Anthony WELLS,,LMP2 Pro/Am,,Team Virage,Oreca,GF,20.143,31.295,45.229,
19,1,4,1:35.601,0,,19.786,0,31.181,0,44.634,0,184.9,6:50.416,15:31:50.416,0:19.786,0:31.181,0:44.634,287.2,Anthony WELLS,,LMP2 Pro/Am,,Team Virage,Oreca,GF,19.786,31.181,44.634,
19,1,5,1:35.079,0,,19.668,2,30.882,0,44.529,0,185.9,8:25.495,15:33:25.495,0:19.668,0:30.882,0:44.529,287.2,Anthony WELLS,,LMP2 Pro/Am,,Team Virage,Oreca,GF,19.668,30.882,44.529,
19,1,6,1:35.281,0,,19.669,0,30.853,0,44.759,0,185.5,10:00.776,15:35:00.776,0:19.669,0:30.853,0:44.759,287.2,Anthony WELLS,,LMP2 Pro/Am,,Team Virage,Oreca,GF,19.669,30.853,44.759,
19,1,7,1:34.721,0,,19.669,0,30.729,0,44.323,0,186.6,11:35.497,15:36:35.497,0:19.669,0:30.729,0:44.323,285.7,Anthony WELLS,,LMP2 Pro/Am,,Team Virage,Oreca,GF,19.669,30.729,44.323,
19,1,8,1:39.123,0,,19.762,0,30.827,0,48.534,0,178.3,13:14.620,15:38:14.620,0:19.762,0:30.827,0:48.534,287.2,Anthony WELLS,,LMP2 Pro/Am,,Team Virage,Oreca,GF,19.762,30.827,48.534,
19,1,9,1:35.066,0,,19.672,0,31.182,0,44.212,0,185.9,14:49.686,15:39:49.686,0:19.672,0:31.182,0:44.212,287.2,Anthony WELLS,,LMP2 Pro/Am,,Team Virage,Oreca,GF,19.672,31.182,44.212,
19,1,10,1:34.362,2,,19.715,0,30.504,2,44.143,2,187.3,16:24.048,15:41:24.048,0:19.715,0:30.504,0:44.143,287.2,Anthony WELLS,,LMP2 Pro/Am,,Team Virage,Oreca,FF,19.715,30.504,44.143,
