TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1724223639,21/08/2024 7:00:39,55.4,64.4,"79,13","970,2","0,3",259,-999,
1724223700,21/08/2024 7:01:40,55.4,64.4,"78,86","970,2","0,8",232,-999,
1724223761,21/08/2024 7:02:41,55.4,64.4,"78,82","970,2","0,8",76,-999,
1724223822,21/08/2024 7:03:42,55.4,64.4,"78,91","970,2","0,6",35,-999,
1724223883,21/08/2024 7:04:43,55.4,64.4,"78,08","970,1","1,4",351,-999,
1724223944,21/08/2024 7:05:44,55.4,64.4,"78,08","970,1","0,3",291,-999,
1724224005,21/08/2024 7:06:45,55.4,64.4,"78,31","970,3","0,7",137,-999,
1724224066,21/08/2024 7:07:46,55.4,64.4,"78,76","970,2","0,9",123,-999,
1724224127,21/08/2024 7:08:47,55.4,64.4,"78,22","970,3","0,6",110,-999,
1724224188,21/08/2024 7:09:48,55.4,64.4,"78,58","970,3",1,51,-999,
1724224249,21/08/2024 7:10:49,55.4,64.4,"78,04","970,1","1,1",286,-999,
1724224310,21/08/2024 7:11:50,55.4,64.4,"78,12","970,3","0,5",274,-999,
1724224371,21/08/2024 7:12:51,55.4,64.4,"78,27","970,3","0,1",137,-999,
1724224432,21/08/2024 7:13:52,55.4,64.4,"77,92","970,3","0,8",259,-999,
1724224493,21/08/2024 7:14:53,55.4,64.4,"77,97","970,3","0,4",154,-999,
1724224554,21/08/2024 7:15:54,55.4,64.4,"77,77","970,4","1,2",246,-999,
1724224615,21/08/2024 7:16:55,55.4,64.4,"76,9","970,4","0,8",317,-999,
1724224676,21/08/2024 7:17:56,55.4,64.4,"77,51","970,3","0,5",201,-999,
1724224737,21/08/2024 7:18:57,55.4,64.4,"77,58","970,4",1,272,-999,
1724224798,21/08/2024 7:19:58,55.4,64.4,"77,36","970,4","1,3",275,-999,
1724224859,21/08/2024 7:20:59,55.4,64.4,"77,66","970,3","0,6",353,-999,
1724224920,21/08/2024 7:22:00,55.4,64.4,"77,56","970,3","0,6",73,-999,
1724224981,21/08/2024 7:23:01,55.4,64.4,"77,71","970,3","0,5",38,-999,
1724225042,21/08/2024 7:24:02,55.4,64.4,"77,19","970,3","1,2",133,-999,
1724225103,21/08/2024 7:25:03,57.2,64.4,"75,27","970,2","0,9",72,-999,
1724225164,21/08/2024 7:26:04,57.2,64.4,"75,57","970,3","0,7",320,-999,
