NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,3,1,2:38.804,0,B,45.018,0,1:08.579,0,45.207,0,156.0,2:38.804,15:17:38.804,0:45.018,1:08.579,0:45.207,223.9,Felipe DRUGOVICH,0:00:07.222,LMP2,,Vector Sport,Oreca,GF,45.018,68.579,45.207,
10,3,2,3:02.251,0,,1:23.720,0,1:04.886,0,33.645,0,138.3,5:41.055,15:20:41.055,1:23.720,1:04.886,0:33.645,230.6,Felipe DRUGOVICH,0:00:51.398,LMP2,,Vector Sport,Oreca,GF,83.720,64.886,33.645,
10,3,3,2:08.729,0,,37.202,0,58.947,0,32.580,0,195.9,7:49.784,15:22:49.784,0:37.202,0:58.947,0:32.580,289.0,Felipe DRUGOVICH,,LMP2,,Vector Sport,Oreca,GF,37.202,58.947,32.580,
10,3,4,3:11.685,0,B,35.620,0,1:04.097,0,1:31.968,0,131.5,11:01.469,15:26:01.469,0:35.620,1:04.097,1:31.968,293.7,Felipe DRUGOVICH,,LMP2,,Vector Sport,Oreca,RF,35.620,64.097,91.968,
10,3,5,13:55.051,0,,12:22.077,0,59.582,0,33.392,0,30.2,24:56.520,15:39:56.520,12:22.077,0:59.582,0:33.392,275.0,Felipe DRUGOVICH,0:11:54.477,LMP2,,Vector Sport,Oreca,GF,742.077,59.582,33.392,
10,3,6,2:02.873,0,,35.466,2,55.428,0,31.979,0,205.2,26:59.393,15:41:59.393,0:35.466,0:55.428,0:31.979,294.5,Felipe DRUGOVICH,,LMP2,,Vector Sport,Oreca,GF,35.466,55.428,31.979,
10,3,7,2:02.184,2,,35.474,0,55.239,2,31.471,2,206.4,29:01.577,15:44:01.577,0:35.474,0:55.239,0:31.471,296.1,Felipe DRUGOVICH,,LMP2,,Vector Sport,Oreca,FF,35.474,55.239,31.471,
14,2,1,2:42.333,0,B,52.169,0,1:07.682,0,42.482,0,152.6,2:42.333,15:17:42.333,0:52.169,1:07.682,0:42.482,243.0,Louis DELÉTRAZ,0:00:15.991,LMP2,,AO by TF,Oreca,GF,52.169,67.682,42.482,
14,2,2,2:54.331,0,,1:17.233,0,1:03.972,0,33.126,0,144.6,5:36.664,15:20:36.664,1:17.233,1:03.972,0:33.126,250.3,Louis DELÉTRAZ,0:00:46.466,LMP2,,AO by TF,Oreca,GF,77.233,63.972,33.126,
14,2,3,2:08.688,0,,37.328,0,59.688,0,31.672,0,195.9,7:45.352,15:22:45.352,0:37.328,0:59.688,0:31.672,280.7,Louis DELÉTRAZ,,LMP2,,AO by TF,Oreca,GF,37.328,59.688,31.672,
