NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
11,1,1,6:11.713,0,B,1:11.399,0,51.527,0,4:08.787,0,50.8,6:11.713,15:36:11.713,1:11.399,0:51.527,4:08.787,126.8,Alessandro GHIRETTI,0:00:10.502,Pro,,Schumacher CLRT,,GF,71.399,51.527,248.787,
11,1,2,2:32.611,0,,55.783,0,44.674,0,52.154,0,123.7,8:44.324,15:38:44.324,0:55.783,0:44.674,0:52.154,159.1,Alessandro GHIRETTI,0:03:19.865,Pro,,Schumacher CLRT,,GF,55.783,44.674,52.154,
11,1,3,10:07.363,0,B,1:04.176,0,1:12.088,0,7:51.099,0,31.1,18:51.687,15:48:51.687,1:04.176,1:12.088,7:51.099,236.8,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,64.176,72.088,471.099,
11,1,4,2:27.351,0,,57.376,0,44.185,0,45.790,0,128.1,21:19.038,15:51:19.038,0:57.376,0:44.185,0:45.790,136.9,Alessandro GHIRETTI,0:06:40.830,Pro,,Schumacher CLRT,,GF,57.376,44.185,45.790,
11,1,5,2:12.085,0,,44.867,0,42.468,0,44.750,0,143.0,23:31.123,15:53:31.123,0:44.867,0:42.468,0:44.750,248.8,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,44.867,42.468,44.750,
11,1,6,2:12.045,0,,44.807,3,42.585,0,44.653,0,143.0,25:43.168,15:55:43.168,0:44.807,0:42.585,0:44.653,251.2,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,44.807,42.585,44.653,
11,1,7,2:13.049,0,,45.176,0,42.985,0,44.888,0,141.9,27:56.217,15:57:56.217,0:45.176,0:42.985,0:44.888,252.3,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,45.176,42.985,44.888,
11,1,8,2:13.140,0,,45.103,0,42.822,0,45.215,0,141.8,30:09.357,16:00:09.357,0:45.103,0:42.822,0:45.215,251.7,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,45.103,42.822,45.215,
11,1,9,5:23.491,0,B,51.797,0,1:11.942,0,3:19.752,0,58.4,35:32.848,16:05:32.848,0:51.797,1:11.942,3:19.752,252.9,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,51.797,71.942,199.752,
11,1,10,2:22.420,0,,53.607,0,43.199,0,45.614,0,132.6,37:55.268,16:07:55.268,0:53.607,0:43.199,0:45.614,168.5,Alessandro GHIRETTI,0:02:09.491,Pro,,Schumacher CLRT,,GF,53.607,43.199,45.614,
11,1,11,2:12.007,2,,45.239,0,42.177,2,44.591,2,143.0,40:07.275,16:10:07.275,0:45.239,0:42.177,0:44.591,251.2,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,FF,45.239,42.177,44.591,
14,1,1,5:08.400,0,,3:37.096,0,44.217,0,47.087,0,61.2,5:08.400,15:35:08.400,3:37.096,0:44.217,0:47.087,135.3,Gianmarco QUARESMINI,0:02:44.263,Pro,,Martinet by Alméras,,GF,217.096,44.217,47.087,
14,1,2,2:17.168,0,,46.659,0,43.729,0,46.780,0,137.7,7:25.568,15:37:25.568,0:46.659,0:43.729,0:46.780,235.3,Gianmarco QUARESMINI,,Pro,,Martinet by Alméras,,GF,46.659,43.729,46.780,
14,1,3,9:39.967,0,B,48.521,0,44.364,0,8:07.082,0,32.6,17:05.535,15:47:05.535,0:48.521,0:44.364,8:07.082,222.2,Gianmarco QUARESMINI,,Pro,,Martinet by Alméras,,GF,48.521,44.364,487.082,
14,1,4,2:33.670,0,,59.842,0,43.862,0,49.966,0,122.9,19:39.205,15:49:39.205,0:59.842,0:43.862,0:49.966,123.4,Gianmarco QUARESMINI,0:07:19.488,Pro,,Martinet by Alméras,,GF,59.842,43.862,49.966,
14,1,5,2:14.312,2,,45.660,0,43.340,0,45.312,2,140.6,21:53.517,15:51:53.517,0:45.660,0:43.340,0:45.312,241.6,Gianmarco QUARESMINI,,Pro,,Martinet by Alméras,,GF,45.660,43.340,45.312,
14,1,6,2:15.480,0,,45.931,0,43.568,0,45.981,0,139.4,24:08.997,15:54:08.997,0:45.931,0:43.568,0:45.981,248.3,Gianmarco QUARESMINI,,Pro,,Martinet by Alméras,,GF,45.931,43.568,45.981,
14,1,7,2:14.024,0,,45.620,2,43.015,2,45.389,0,140.9,26:23.021,15:56:23.021,0:45.620,0:43.015,0:45.389,250.0,Gianmarco QUARESMINI,,Pro,,Martinet by Alméras,,GF,45.620,43.015,45.389,
