TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1727446850,27/09/2024 14:20:50,"23,22","24,2","79,94","979,5","0,3",143,-999,
1727446912,27/09/2024 14:21:52,"23,24","24,2","79,5","979,5","0,8",147,-999,
1727446975,27/09/2024 14:22:55,"23,24","24,2","77,82","979,5","0,8",133,-999,
1727447038,27/09/2024 14:23:58,"23,24","24,1","75,78","979,5","0,2",107,-999,
1727447100,27/09/2024 14:25:00,"23,25","23,8","77,97","979,6","0,2",107,-999,
1727447163,27/09/2024 14:26:03,"23,25","23,8","78,41","979,6","0,3",107,-999,
1727447226,27/09/2024 14:27:06,"23,25","23,7","79,3","979,5",0,278,-999,
1727447289,27/09/2024 14:28:09,"23,28","23,5","79,36","979,5","0,1",115,-999,
1727447351,27/09/2024 14:29:11,"23,26","23,5","79,77","979,6",0,115,-999,
1727447414,27/09/2024 14:30:14,"23,25","23,5","79,15","979,6","0,3",115,-999,
1727447477,27/09/2024 14:31:17,"23,27","23,5","79,65","979,6","0,2",115,-999,
1727447539,27/09/2024 14:32:19,"23,26","23,5","79,37","979,7","0,4",248,-999,
1727447602,27/09/2024 14:33:22,"23,25","23,5","78,68","979,5",0,242,-999,
1727447665,27/09/2024 14:34:25,"23,26","23,5","79,37","979,7","0,2",242,-999,
1727447728,27/09/2024 14:35:28,"23,24","23,3","77,33","979,7","0,1",142,-999,
1727447790,27/09/2024 14:36:30,"23,22","23,4","76,85","979,6","0,6",148,-999,
1727447853,27/09/2024 14:37:33,"23,15","23,3","76,08","979,6","1,3",104,-999,
1727447916,27/09/2024 14:38:36,"23,1","23,3","77,32","979,6",0,64,-999,
1727447978,27/09/2024 14:39:38,"23,09","23,3","77,1","979,6","0,2",135,-999,
1727448041,27/09/2024 14:40:41,"23,07","23,2","76,02","979,6","0,8",98,-999,
1727448104,27/09/2024 14:41:44,"23,03","23,2","76,48","979,5","0,7",97,-999,
1727448166,27/09/2024 14:42:46,"23,03","23,1","78,78","979,6","0,2",95,-999,
1727448229,27/09/2024 14:43:49,23,"23,1","78,24","979,6","0,6",129,-999,
1727448292,27/09/2024 14:44:52,"22,94","22,9","77,73","979,7","0,5",126,-999,
1727448355,27/09/2024 14:45:55,"22,94","22,8","78,35","979,8","0,2",126,-999,
1727448417,27/09/2024 14:46:57,"22,9","22,8","79,11","979,8","0,2",230,-999,
1727448480,27/09/2024 14:48:00,"22,89","22,7","79,33","979,9","0,4",262,-999,
1727448543,27/09/2024 14:49:03,"22,86","22,3","80,63","979,9","0,8",212,-999,
