NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
11,1,1,2:45.577,0,,1:12.639,0,44.176,0,48.762,0,114.0,2:45.577,11:22:45.577,1:12.639,0:44.176,0:48.762,83.5,Alessandro GHIRETTI,0:00:07.046,Pro,,Schumacher CLRT,,GF,72.639,44.176,48.762,
11,1,2,2:02.309,0,,43.044,0,36.628,0,42.637,0,154.4,4:47.886,11:24:47.886,0:43.044,0:36.628,0:42.637,214.3,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,43.044,36.628,42.637,
11,1,3,1:51.241,0,,37.679,0,33.983,0,39.579,0,169.7,6:39.127,11:26:39.127,0:37.679,0:33.983,0:39.579,260.9,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,37.679,33.983,39.579,
11,1,4,1:50.537,2,,37.645,0,33.760,2,39.132,0,170.8,8:29.664,11:28:29.664,0:37.645,0:33.760,0:39.132,262.1,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,37.645,33.760,39.132,
11,1,5,1:50.659,0,,37.542,2,34.002,0,39.115,2,170.6,10:20.323,11:30:20.323,0:37.542,0:34.002,0:39.115,262.1,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,37.542,34.002,39.115,
11,1,6,16:02.481,0,B,37.620,0,36.380,0,14:48.481,0,19.6,26:22.804,11:46:22.804,0:37.620,0:36.380,14:48.481,262.1,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,GF,37.620,36.380,888.481,
11,1,7,2:22.749,0,,50.866,0,43.370,0,48.513,0,132.3,28:45.553,11:48:45.553,0:50.866,0:43.370,0:48.513,158.8,Alessandro GHIRETTI,0:14:09.053,Pro,,Schumacher CLRT,,GF,50.866,43.370,48.513,
11,1,8,1:51.162,0,,37.945,0,33.982,0,39.235,0,169.9,30:36.715,11:50:36.715,0:37.945,0:33.982,0:39.235,260.2,Alessandro GHIRETTI,,Pro,,Schumacher CLRT,,FF,37.945,33.982,39.235,
14,1,1,4:03.813,0,,2:30.687,0,44.996,0,48.130,0,77.4,4:03.813,11:24:03.813,2:30.687,0:44.996,0:48.130,136.9,Gianmarco QUARESMINI,0:01:36.922,Pro,,Martinet by Alméras,,GF,150.687,44.996,48.130,
14,1,2,2:10.577,0,,45.255,0,41.226,0,44.096,0,144.6,6:14.390,11:26:14.390,0:45.255,0:41.226,0:44.096,209.7,Gianmarco QUARESMINI,,Pro,,Martinet by Alméras,,GF,45.255,41.226,44.096,
