NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,3,1,2:10.124,0,,1:03.741,0,31.126,0,35.257,0,145.1,2:10.124,15:27:10.124,1:03.741,0:31.126,0:35.257,77.1,Patrick PILET,0:00:09.875,LMP2,,Vector Sport,Oreca,GF,63.741,31.126,35.257,
10,3,2,1:35.343,0,,33.189,0,28.550,0,33.604,0,198.0,3:45.467,15:28:45.467,0:33.189,0:28.550,0:33.604,289.5,Patrick PILET,,LMP2,,Vector Sport,Oreca,GF,33.189,28.550,33.604,
10,3,3,1:34.114,0,,32.614,2,27.995,2,33.505,2,200.6,5:19.581,15:30:19.581,0:32.614,0:27.995,0:33.505,287.2,Patrick PILET,,LMP2,,Vector Sport,Oreca,GF,32.614,27.995,33.505,
10,3,4,2:39.661,0,B,33.073,0,28.517,0,1:38.071,0,118.3,7:59.242,15:32:59.242,0:33.073,0:28.517,1:38.071,287.2,Patrick PILET,,LMP2,,Vector Sport,Oreca,GF,33.073,28.517,98.071,
10,3,5,1:56.793,0,,47.653,0,31.583,0,37.557,0,161.7,9:56.035,15:34:56.035,0:47.653,0:31.583,0:37.557,176.5,Patrick PILET,0:01:08.672,LMP2,,Vector Sport,Oreca,GF,47.653,31.583,37.557,
10,3,6,1:39.049,0,,34.312,0,28.541,0,36.196,0,190.6,11:35.084,15:36:35.084,0:34.312,0:28.541,0:36.196,285.0,Patrick PILET,,LMP2,,Vector Sport,Oreca,GF,34.312,28.541,36.196,
14,2,1,3:12.835,0,B,1:09.161,0,38.866,0,1:24.808,0,97.9,3:12.835,15:28:12.835,1:09.161,0:38.866,1:24.808,73.8,Louis DELÉTRAZ,0:00:07.547,LMP2,,AO by TF,Oreca,GF,69.161,38.866,84.808,
14,2,2,2:03.751,0,,49.425,0,35.209,0,39.117,0,152.6,5:16.586,15:30:16.586,0:49.425,0:35.209,0:39.117,165.1,Louis DELÉTRAZ,0:00:49.688,LMP2,,AO by TF,Oreca,GF,49.425,35.209,39.117,
14,2,3,1:44.648,0,,37.798,0,31.209,0,35.641,0,180.4,7:01.234,15:32:01.234,0:37.798,0:31.209,0:35.641,270.0,Louis DELÉTRAZ,,LMP2,,AO by TF,Oreca,GF,37.798,31.209,35.641,
14,2,4,1:37.113,0,,34.015,0,29.017,0,34.081,0,194.4,8:38.347,15:33:38.347,0:34.015,0:29.017,0:34.081,287.2,Louis DELÉTRAZ,,LMP2,,AO by TF,Oreca,GF,34.015,29.017,34.081,
14,2,5,1:33.312,2,,32.113,2,27.600,2,33.599,2,202.4,10:11.659,15:35:11.659,0:32.113,0:27.600,0:33.599,291.9,Louis DELÉTRAZ,,LMP2,,AO by TF,Oreca,GF,32.113,27.600,33.599,
14,2,6,1:33.746,0,,32.385,0,27.744,0,33.617,0,201.4,11:45.405,15:36:45.405,0:32.385,0:27.744,0:33.617,290.3,Louis DELÉTRAZ,,LMP2,,AO by TF,Oreca,GF,32.385,27.744,33.617,
14,2,7,4:56.134,0,B,34.720,0,1:04.975,0,3:16.439,0,63.8,16:41.539,15:41:41.539,0:34.720,1:04.975,3:16.439,290.3,Louis DELÉTRAZ,,LMP2,,AO by TF,Oreca,GF,34.720,64.975,196.439,
22,3,1,3:18.913,0,B,1:12.272,0,39.065,0,1:27.576,0,94.9,3:18.913,15:28:18.913,1:12.272,0:39.065,1:27.576,99.1,Benjamin HANLEY,0:00:18.364,LMP2,,United Autosports,Oreca,GF,72.272,39.065,87.576,
22,3,2,1:57.535,0,,44.270,0,34.807,0,38.458,0,160.7,5:16.448,15:30:16.448,0:44.270,0:34.807,0:38.458,188.2,Benjamin HANLEY,0:00:50.037,LMP2,,United Autosports,Oreca,GF,44.270,34.807,38.458,
22,3,3,1:37.069,0,,33.987,0,29.110,0,33.972,0,194.5,6:53.517,15:31:53.517,0:33.987,0:29.110,0:33.972,285.0,Benjamin HANLEY,,LMP2,,United Autosports,Oreca,GF,33.987,29.110,33.972,
22,3,4,1:33.945,0,,32.571,0,27.707,0,33.667,2,201.0,8:27.462,15:33:27.462,0:32.571,0:27.707,0:33.667,291.9,Benjamin HANLEY,,LMP2,,United Autosports,Oreca,GF,32.571,27.707,33.667,
22,3,5,1:33.674,2,,32.254,2,27.700,2,33.720,0,201.6,10:01.136,15:35:01.136,0:32.254,0:27.700,0:33.720,292.7,Benjamin HANLEY,,LMP2,,United Autosports,Oreca,GF,32.254,27.700,33.720,
22,3,6,1:45.467,0,,32.296,0,34.488,0,38.683,0,179.0,11:46.603,15:36:46.603,0:32.296,0:34.488,0:38.683,291.9,Benjamin HANLEY,,LMP2,,United Autosports,Oreca,GF,32.296,34.488,38.683,
22,3,7,4:39.975,0,B,39.173,0,1:10.428,0,2:50.374,0,67.4,16:26.578,15:41:26.578,0:39.173,1:10.428,2:50.374,224.5,Benjamin HANLEY,,LMP2,,United Autosports,Oreca,GF,39.173,70.428,170.374,
22,3,8,2:01.782,0,,45.797,0,31.259,0,44.726,0,155.0,18:28.360,15:43:28.360,0:45.797,0:31.259,0:44.726,132.4,Benjamin HANLEY,0:01:47.657,LMP2,,United Autosports,Oreca,GF,45.797,31.259,44.726,
23,3,1,3:25.315,0,B,1:14.858,0,38.614,0,1:31.843,0,92.0,3:25.315,15:28:25.315,1:14.858,0:38.614,1:31.843,107.1,Paul DI RESTA,0:00:21.358,LMP2,,United Autosports,Oreca,GF,74.858,38.614,91.843,
23,3,2,2:06.009,0,,50.386,0,36.676,0,38.947,0,149.8,5:31.324,15:30:31.324,0:50.386,0:36.676,0:38.947,155.8,Paul DI RESTA,0:00:54.967,LMP2,,United Autosports,Oreca,GF,50.386,36.676,38.947,
23,3,3,1:49.849,0,,37.607,0,34.099,0,38.143,0,171.9,7:21.173,15:32:21.173,0:37.607,0:34.099,0:38.143,251.2,Paul DI RESTA,,LMP2,,United Autosports,Oreca,GF,37.607,34.099,38.143,
23,3,4,1:45.874,2,,36.610,0,32.023,0,37.241,0,178.3,9:07.047,15:34:07.047,0:36.610,0:32.023,0:37.241,290.3,Paul DI RESTA,,LMP2,,United Autosports,Oreca,GF,36.610,32.023,37.241,
23,3,5,1:34.107,0,,32.617,0,27.950,2,33.540,2,200.6,10:41.154,15:35:41.154,0:32.617,0:27.950,0:33.540,291.1,Paul DI RESTA,,LMP2,,United Autosports,Oreca,GF,32.617,27.950,33.540,
