TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1729083648,16/10/2024 13:00:48,"23,04","29,4","67,77","1001,2","0,5",79,-999,
1729083710,16/10/2024 13:01:50,"23,05","29,4","66,83","1001,2","0,6",83,-999,
1729083773,16/10/2024 13:02:53,"23,13","29,1","67,02","1001,1",1,85,-999,
1729083836,16/10/2024 13:03:56,"23,2","29,3","65,93",1001,"1,2",155,-999,
1729083898,16/10/2024 13:04:58,"23,25","29,5","65,99","1001,1","1,1",25,-999,
1729083961,16/10/2024 13:06:01,"23,24","29,7","65,83",1001,"0,9",55,-999,
1729084024,16/10/2024 13:07:04,"23,3",30,"65,99","1000,9","2,3",83,-999,
1729084086,16/10/2024 13:08:06,"23,32","30,2","66,24","1000,9","2,1",146,-999,
1729084149,16/10/2024 13:09:09,"23,36","30,1","65,15","1000,9","2,1",46,-999,
1729084212,16/10/2024 13:10:12,"23,41","30,4","66,02","1000,9","1,8",90,-999,
1729084275,16/10/2024 13:11:15,"23,44","30,5","66,02","1000,9","1,4",34,-999,
1729084337,16/10/2024 13:12:17,"23,51","30,5","66,55","1000,9","0,6",116,-999,
1729084400,16/10/2024 13:13:20,"23,66","30,8","65,05","1000,9","0,5",38,-999,
1729084463,16/10/2024 13:14:23,"23,66","30,8","62,49",1001,"0,8",90,-999,
1729084525,16/10/2024 13:15:25,"23,61","30,9","63,41","1000,9","0,6",281,-999,
1729084588,16/10/2024 13:16:28,"23,51","31,1","63,57","1000,9","0,9",49,-999,
1729084651,16/10/2024 13:17:31,"23,46","31,2","64,07","1000,8","1,6",116,-999,
1729084714,16/10/2024 13:18:34,"23,57",31,"63,71","1000,8","1,1",26,-999,
1729084776,16/10/2024 13:19:36,"23,61","31,1","63,35","1000,8","1,2",49,-999,
1729084839,16/10/2024 13:20:39,"23,77","31,2","63,65","1000,8","0,9",131,-999,
1729084902,16/10/2024 13:21:42,"23,93","31,5","63,74","1000,8","1,5",106,-999,
1729084964,16/10/2024 13:22:44,"24,07","31,6","63,62","1000,7","1,3",69,-999,
1729085027,16/10/2024 13:23:47,"24,24","31,6","63,97","1000,7","2,1",111,-999,
1729085090,16/10/2024 13:24:50,"24,45","31,8","63,36","1000,8","0,6",133,-999,
1729085152,16/10/2024 13:25:52,"24,6",32,"61,48","1000,8","1,5",95,-999,
1729085215,16/10/2024 13:26:55,"24,62",32,"61,69","1000,8","1,4",67,-999,
1729085278,16/10/2024 13:27:58,"24,63","32,5","61,8","1000,9",1,116,-999,
1729085341,16/10/2024 13:29:01,"24,62","32,3","61,36","1000,8","1,4",175,-999,
1729085403,16/10/2024 13:30:03,"24,55","32,1","61,15","1000,8","2,2",182,-999,
1729085466,16/10/2024 13:31:06,"24,37","31,7","61,62","1000,8","1,5",96,-999,
1729085529,16/10/2024 13:32:09,"24,24","31,5","62,3","1000,8","1,6",100,-999,
1729085591,16/10/2024 13:33:11,"24,15","31,4","62,27","1000,8","0,8",65,-999,
1729085654,16/10/2024 13:34:14,"24,08","31,2","62,27","1000,8","0,5",89,-999,
1729085717,16/10/2024 13:35:17,"24,1","31,2","62,68","1000,7","1,8",100,-999,
1729085780,16/10/2024 13:36:20,"24,17","31,4","62,71","1000,8","0,9",126,-999,
1729085842,16/10/2024 13:37:22,"24,2","31,6","62,07","1000,8","1,6",97,-999,
1729085905,16/10/2024 13:38:25,"24,12","31,6","61,15","1000,7","2,5",112,-999,
1729085968,16/10/2024 13:39:28,"24,06","31,6","61,96","1000,7","2,2",108,-999,
1729086030,16/10/2024 13:40:30,"23,91","31,3","61,44","1000,7","2,4",102,-999,
1729086093,16/10/2024 13:41:33,"23,84","31,3","61,69","1000,7","2,7",127,-999,
1729086156,16/10/2024 13:42:36,"23,79","31,4","62,07","1000,8","1,5",120,-999,
1729086219,16/10/2024 13:43:39,"23,68","31,3","62,94","1000,8","2,1",90,-999,
1729086281,16/10/2024 13:44:41,"23,6","31,2","63,32","1000,8","1,3",115,-999,
1729086344,16/10/2024 13:45:44,"23,59","31,2","62,98","1000,7","3,8",79,-999,
1729086407,16/10/2024 13:46:47,"23,59","31,2","63,98","1000,7","1,8",97,-999,
1729086469,16/10/2024 13:47:49,"23,65",31,"63,31","1000,8","2,4",68,-999,
1729086532,16/10/2024 13:48:52,"23,57","30,7","63,29","1000,8","2,5",68,-999,
1729086595,16/10/2024 13:49:55,"23,48","30,6",64,"1000,9","1,5",56,-999,
1729086657,16/10/2024 13:50:57,"23,47","30,5","64,52","1000,9","1,1",156,-999,
1729086720,16/10/2024 13:52:00,"23,46","30,3","63,64","1000,7","2,7",69,-999,
1729086783,16/10/2024 13:53:03,"23,39","30,2","64,03","1000,8","1,4",42,-999,
1729086846,16/10/2024 13:54:06,"23,41","30,1","63,71","1000,8","2,3",56,-999,
1729086908,16/10/2024 13:55:08,"23,39","30,1","64,29","1000,7","1,1",113,-999,
1729086971,16/10/2024 13:56:11,"23,43","30,3","64,21","1000,8","1,3",104,-999,
1729087034,16/10/2024 13:57:14,"23,53","30,6","64,26","1000,8","0,9",100,-999,
1729087096,16/10/2024 13:58:16,"23,68","31,1","64,39","1000,7","1,2",114,-999,
1729087159,16/10/2024 13:59:19,"23,84","31,2","64,1","1000,8","0,7",34,-999,
1729087222,16/10/2024 14:00:22,"24,04","31,4","63,37","1000,7","1,6",97,-999,
1729087285,16/10/2024 14:01:25,"24,16","31,5","61,84","1000,7",2,82,-999,
1729087347,16/10/2024 14:02:27,"24,08","31,6","61,48","1000,6",2,90,-999,
1729087410,16/10/2024 14:03:30,"24,02","31,6","61,76","1000,7","1,2",130,-999,
1729087473,16/10/2024 14:04:33,"24,01","31,7","62,3","1000,7","2,8",108,-999,
1729087535,16/10/2024 14:05:35,"23,97","31,7","62,2","1000,8","2,8",40,-999,
1729087598,16/10/2024 14:06:38,"23,87","31,7","62,04","1000,7","1,9",60,-999,
1729087661,16/10/2024 14:07:41,"23,75","31,7","62,31","1000,7","1,7",102,-999,
1729087724,16/10/2024 14:08:44,"23,75","31,8","62,28","1000,8","1,2",84,-999,
1729087786,16/10/2024 14:09:46,"23,72","31,6","62,26","1000,8","1,2",4,-999,
1729087849,16/10/2024 14:10:49,"23,73","31,5","62,34","1000,8","1,4",101,-999,
1729087912,16/10/2024 14:11:52,"23,73","31,6","62,46","1000,7","1,1",113,-999,
1729087974,16/10/2024 14:12:54,"23,76","31,5","62,39","1000,8","0,8",52,-999,
1729088037,16/10/2024 14:13:57,"23,69","31,2","62,31","1000,8","0,8",64,-999,
1729088100,16/10/2024 14:15:00,"23,62","31,1","62,4","1000,8","1,6",44,-999,
1729088162,16/10/2024 14:16:02,"23,52","30,9","62,95","1000,8",1,148,-999,
1729088225,16/10/2024 14:17:05,"23,54","31,1","63,31","1000,7","1,6",121,-999,
1729088288,16/10/2024 14:18:08,"23,6","31,3","63,71","1000,7","1,5",157,-999,
1729088351,16/10/2024 14:19:11,"23,72","31,5","63,26","1000,7","1,2",123,-999,
1729088413,16/10/2024 14:20:13,"23,85","31,7","63,14","1000,7","0,7",115,-999,
1729088476,16/10/2024 14:21:16,"23,99","31,8","62,12","1000,7","1,6",171,-999,
1729088539,16/10/2024 14:22:19,"24,09","31,4","61,64","1000,7","2,1",37,-999,
1729088601,16/10/2024 14:23:21,"23,98","31,1","62,08","1000,7","1,1",145,-999,
1729088664,16/10/2024 14:24:24,"23,89","30,9","62,57","1000,7","1,4",139,-999,
1729088727,16/10/2024 14:25:27,"23,76","30,5","62,82","1000,7",1,125,-999,
1729088789,16/10/2024 14:26:29,"23,66","30,3","63,04","1000,7","1,8",101,-999,
1729088852,16/10/2024 14:27:32,"23,51","30,2","63,82","1000,7","1,3",148,-999,
1729088915,16/10/2024 14:28:35,"23,42",30,"64,78","1000,8","0,8",45,-999,
1729088978,16/10/2024 14:29:38,"23,29","29,8","65,69","1000,7",1,118,-999,
1729089040,16/10/2024 14:30:40,"23,26",30,66,"1000,8","0,5",185,-999,
1729089103,16/10/2024 14:31:43,"23,29","30,3","66,18","1000,7","2,4",114,-999,
1729089166,16/10/2024 14:32:46,"23,26","30,5","66,56","1000,8",2,90,-999,
1729089228,16/10/2024 14:33:48,"23,27","30,6","64,84","1000,7","1,3",139,-999,
1729089291,16/10/2024 14:34:51,"23,27","30,7","65,42","1000,8","1,5",111,-999,
1729089354,16/10/2024 14:35:54,"23,23","30,5","66,26","1000,7","1,5",188,-999,
1729089416,16/10/2024 14:36:56,"23,19","30,3","66,49","1000,7","1,3",167,-999,
1729089479,16/10/2024 14:37:59,"23,22","30,4","65,89","1000,7","2,5",78,-999,
1729089542,16/10/2024 14:39:02,"23,2","30,5","66,13","1000,8","0,9",108,-999,
1729089605,16/10/2024 14:40:05,"23,11","30,6","66,5","1000,7","2,7",100,-999,
1729089667,16/10/2024 14:41:07,"23,09","30,5","67,29","1000,9","1,1",70,-999,
1729089730,16/10/2024 14:42:10,"23,03","30,1","67,17","1000,7","0,6",335,-999,
1729089793,16/10/2024 14:43:13,"23,06","30,1","66,7","1000,7","1,7",62,-999,
1729089855,16/10/2024 14:44:15,"23,06",30,"67,02","1000,7","2,6",115,-999,
1729089918,16/10/2024 14:45:18,"23,1","29,9","67,03","1000,8","1,4",223,-999,
1729089981,16/10/2024 14:46:21,"23,1","29,9","66,24","1000,7","2,2",114,-999,
1729090044,16/10/2024 14:47:24,"23,03","29,8","65,51","1000,7","1,2",138,-999,
1729090106,16/10/2024 14:48:26,"22,99","29,6","66,31","1000,7","1,5",153,-999,
1729090169,16/10/2024 14:49:29,"22,99","29,5","66,63","1000,7","1,1",121,-999,
1729090232,16/10/2024 14:50:32,"23,01","29,5","67,09","1000,8","1,3",153,-999,
1729090294,16/10/2024 14:51:34,"23,03","29,4","67,27","1000,7",2,107,-999,
1729090357,16/10/2024 14:52:37,"22,98","29,4","66,4","1000,7","0,9",111,-999,
1729090420,16/10/2024 14:53:40,"23,02","29,4","66,41","1000,7","1,5",177,-999,
1729090482,16/10/2024 14:54:42,"23,03","29,5","65,84","1000,7","1,3",130,-999,
1729090545,16/10/2024 14:55:45,"22,99","29,4","66,54","1000,7","2,3",96,-999,
1729090608,16/10/2024 14:56:48,"22,94","29,4","66,92","1000,7","1,5",169,-999,
1729090671,16/10/2024 14:57:51,"22,87","29,3","67,33","1000,7","1,6",86,-999,
1729090733,16/10/2024 14:58:53,"22,85","29,2","67,64","1000,8","1,3",82,-999,
1729090796,16/10/2024 14:59:56,"22,87","29,3","66,9","1000,6","2,2",76,-999,
1729090859,16/10/2024 15:00:59,"22,78","29,2","67,55","1000,6","0,8",86,-999,
1729090921,16/10/2024 15:02:01,"22,8","29,2","67,87","1000,6","0,6",83,-999,
1729090984,16/10/2024 15:03:04,"22,85","29,2","67,33","1000,6",1,93,-999,
1729091047,16/10/2024 15:04:07,"22,8","29,2","67,49","1000,6",1,113,-999,
1729091110,16/10/2024 15:05:10,"22,85","29,1","67,69","1000,6","1,3",83,-999,
1729091172,16/10/2024 15:06:12,"22,91","29,1","66,21","1000,7","0,7",115,-999,
1729091235,16/10/2024 15:07:15,"22,92",29,"66,16","1000,6","1,4",114,-999,
1729091298,16/10/2024 15:08:18,"22,97",29,"65,58","1000,5","2,1",123,-999,
1729091360,16/10/2024 15:09:20,"23,02",29,"64,84","1000,6","1,2",174,-999,
1729091423,16/10/2024 15:10:23,"23,07",29,"65,52","1000,6","2,2",111,-999,
1729091486,16/10/2024 15:11:26,"23,09","28,9","66,22","1000,6","1,1",150,-999,
1729091548,16/10/2024 15:12:28,"23,09","28,9","66,8","1000,5","1,7",116,-999,
1729091611,16/10/2024 15:13:31,"23,08","28,8","67,07","1000,5","2,3",70,-999,
1729091674,16/10/2024 15:14:34,"23,05","28,6","67,57","1000,6","2,9",103,-999,
1729091737,16/10/2024 15:15:37,"22,85","28,5","68,33","1000,7","2,2",98,-999,
1729091799,16/10/2024 15:16:39,"22,68","28,4","68,93","1000,6","2,4",110,-999,
1729091862,16/10/2024 15:17:42,"22,61","28,3","69,19","1000,7","0,9",20,-999,
1729091925,16/10/2024 15:18:45,"22,58","28,3","69,39","1000,8","1,3",101,-999,
1729091987,16/10/2024 15:19:47,"22,53","28,2","69,43","1000,7","0,8",148,-999,
1729092050,16/10/2024 15:20:50,"22,43","28,2","69,49","1000,8","1,9",57,-999,
1729092113,16/10/2024 15:21:53,"22,33","28,1","70,26","1000,7","1,9",104,-999,
1729092175,16/10/2024 15:22:55,"22,31",28,"70,34","1000,8","1,7",82,-999,
1729092238,16/10/2024 15:23:58,"22,28",28,"70,18","1000,8","1,1",113,-999,
1729092301,16/10/2024 15:25:01,"22,22","27,9","70,23","1000,8",3,105,-999,
1729092364,16/10/2024 15:26:04,"22,17","27,9","70,44","1000,7","1,6",47,-999,
1729092426,16/10/2024 15:27:06,"22,14","27,9","70,5","1000,8","1,5",119,-999,
1729092489,16/10/2024 15:28:09,"22,16","27,9","70,29","1000,7",1,137,-999,
1729092552,16/10/2024 15:29:12,"22,25","27,9","70,07","1000,7","1,9",110,-999,
1729092614,16/10/2024 15:30:14,"22,29","27,9","68,77","1000,8","2,2",96,-999,
1729092677,16/10/2024 15:31:17,"22,31","27,9","68,49","1000,8","1,6",176,-999,
1729092740,16/10/2024 15:32:20,"22,36","27,8","68,74","1000,7","2,2",95,-999,
1729092803,16/10/2024 15:33:23,"22,39","27,8","69,02","1000,6","3,3",92,-999,
1729092865,16/10/2024 15:34:25,"22,35","27,8","68,97","1000,8","1,1",111,-999,
1729092928,16/10/2024 15:35:28,"22,37","27,8","69,22","1000,9","1,8",112,-999,
1729092991,16/10/2024 15:36:31,"22,42","27,7","69,09","1000,9",1,104,-999,
1729093053,16/10/2024 15:37:33,"22,47","27,7","68,69","1000,9","1,2",105,-999,
1729093116,16/10/2024 15:38:36,"22,54","27,8","67,45","1000,8",2,118,-999,
1729093179,16/10/2024 15:39:39,"22,52","27,7","67,23","1000,8","1,2",136,-999,
1729093241,16/10/2024 15:40:41,"22,54","27,7","67,35","1000,8","1,8",115,-999,
1729093304,16/10/2024 15:41:44,"22,6","27,6","67,88","1000,9","0,6",122,-999,
1729093367,16/10/2024 15:42:47,"22,59","27,6","67,97","1000,8",1,114,-999,
1729093430,16/10/2024 15:43:50,"22,6","27,6","67,81","1000,8","2,3",114,-999,
1729093492,16/10/2024 15:44:52,"22,55","27,6","67,59","1000,6","2,6",71,-999,
1729093555,16/10/2024 15:45:55,"22,46","27,5","67,64","1000,7","3,2",24,-999,
1729093618,16/10/2024 15:46:58,"22,39","27,5","67,96","1000,8","0,7",125,-999,
1729093680,16/10/2024 15:48:00,"22,38","27,5","68,06","1000,7","1,8",95,-999,
1729093743,16/10/2024 15:49:03,"22,4","27,4","67,97","1000,8","1,9",99,-999,
1729093806,16/10/2024 15:50:06,"22,38","27,4","68,37","1000,8","1,5",108,-999,
1729093868,16/10/2024 15:51:08,"22,42","27,3","68,61","1000,8","1,7",84,-999,
1729093931,16/10/2024 15:52:11,"22,45","27,4","68,39","1000,9","1,1",50,-999,
1729093994,16/10/2024 15:53:14,"22,43","27,2","67,82","1000,7","2,6",107,-999,
1729094057,16/10/2024 15:54:17,"22,44","27,2","67,61","1000,7","1,7",99,-999,
