TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1729178459,17/10/2024 15:20:59,"20,82",26,"56,99","1012,6","2,7",332,-999,
1729178522,17/10/2024 15:22:02,"20,9","26,3","55,37","1012,5","2,3",350,-999,
1729178585,17/10/2024 15:23:05,"20,95","26,4","54,53","1012,5","5,2",0,-999,
1729178647,17/10/2024 15:24:07,"20,95","26,6","54,71","1012,5","2,7",0,-999,
1729178710,17/10/2024 15:25:10,"20,98","26,6","53,87","1012,5",4,351,-999,
1729178773,17/10/2024 15:26:13,"21,01","26,6","53,52","1012,5","4,7",337,-999,
1729178835,17/10/2024 15:27:15,21,"26,8","53,74","1012,4","3,5",346,-999,
1729178898,17/10/2024 15:28:18,"21,02","26,8","53,8","1012,4","4,8",350,-999,
1729178961,17/10/2024 15:29:21,"20,95","26,9","53,85","1012,5",5,350,-999,
1729179024,17/10/2024 15:30:24,"20,91","26,9","54,3","1012,5","4,9",347,-999,
1729179086,17/10/2024 15:31:26,"20,9","26,9","54,64","1012,5","4,4",351,-999,
1729179149,17/10/2024 15:32:29,"20,89","26,9","54,49","1012,5","2,9",342,-999,
1729179212,17/10/2024 15:33:32,"20,9","26,9","54,12","1012,5",5,353,-999,
1729179274,17/10/2024 15:34:34,"20,89","26,8","54,19","1012,6","4,4",351,-999,
1729179337,17/10/2024 15:35:37,"20,89","26,7","54,75","1012,6",5,353,-999,
1729179400,17/10/2024 15:36:40,"20,87","26,7","55,18","1012,5","4,1",332,-999,
1729179463,17/10/2024 15:37:43,"20,86","26,6","55,42","1012,6","3,3",331,-999,
1729179525,17/10/2024 15:38:45,"20,89","26,6","55,23","1012,6","3,9",346,-999,
1729179588,17/10/2024 15:39:48,"20,88","26,6","54,91","1012,6",5,347,-999,
1729179651,17/10/2024 15:40:51,"20,82","26,5","55,73","1012,6","4,7",351,-999,
1729179713,17/10/2024 15:41:53,"20,78","26,5","53,79","1012,6","4,2",342,-999,
1729179776,17/10/2024 15:42:56,"20,73","26,5","54,94","1012,6","5,4",351,-999,
1729179839,17/10/2024 15:43:59,"20,68","26,5","54,95","1012,6","3,8",3,-999,
1729179901,17/10/2024 15:45:01,"20,74","26,4","53,8","1012,5","5,6",354,-999,
1729179964,17/10/2024 15:46:04,"20,77","26,4","53,73","1012,5","5,1",359,-999,
1729180027,17/10/2024 15:47:07,"20,69","26,3","54,5","1012,6","4,2",335,-999,
1729180090,17/10/2024 15:48:10,"20,68","26,2","55,33","1012,6",5,359,-999,
1729180152,17/10/2024 15:49:12,"20,67","26,1","56,09","1012,7","5,5",351,-999,
