TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1743775831,4/4/2025 2:10:31 PM,67.5,94.1,47.85,997.6,1,126,-999,
1743775893,4/4/2025 2:11:33 PM,67.44,94.28,47.74,997.6,1.6,63,-999,
1743775956,4/4/2025 2:12:36 PM,67.35,94.28,47.89,997.6,2.5,55,-999,
1743776019,4/4/2025 2:13:39 PM,67.26,94.28,48.3,997.6,1.4,43,-999,
1743776081,4/4/2025 2:14:41 PM,67.33,94.28,48.29,997.7,1.9,46,-999,
1743776144,4/4/2025 2:15:44 PM,67.35,94.1,48.67,997.8,1.3,170,-999,
1743776207,4/4/2025 2:16:47 PM,67.42,94.1,49.39,997.8,1.7,119,-999,
1743776270,4/4/2025 2:17:50 PM,67.51,94.1,48.86,997.7,2.2,194,-999,
1743776332,4/4/2025 2:18:52 PM,67.46,94.1,49.34,997.8,1.7,266,-999,
1743776395,4/4/2025 2:19:55 PM,67.42,94.1,49.03,997.8,2.2,122,-999,
1743776458,4/4/2025 2:20:58 PM,67.28,94.1,49.15,997.7,1.5,52,-999,
1743776520,4/4/2025 2:22:00 PM,67.33,94.1,49.32,997.7,1.9,229,-999,
1743776583,4/4/2025 2:23:03 PM,67.3,93.74,49.21,997.6,2.8,249,-999,
1743776646,4/4/2025 2:24:06 PM,67.33,93.74,49.55,997.7,1.9,17,-999,
1743776708,4/4/2025 2:25:08 PM,67.32,93.74,49.57,997.6,1.5,142,-999,
1743776771,4/4/2025 2:26:11 PM,67.39,93.92,49.85,997.6,1.5,133,-999,
1743776834,4/4/2025 2:27:14 PM,67.33,93.74,50.41,997.7,0.9,79,-999,
1743776897,4/4/2025 2:28:17 PM,67.32,93.74,50.71,997.7,2.5,131,-999,
1743776959,4/4/2025 2:29:19 PM,67.23,93.74,50.53,997.7,2.1,52,-999,
1743777022,4/4/2025 2:30:22 PM,67.23,93.56,51.05,997.6,1,248,-999,
1743777085,4/4/2025 2:31:25 PM,67.33,93.56,51.07,997.5,1.8,59,-999,
1743777147,4/4/2025 2:32:27 PM,67.39,93.56,51.31,997.6,1.4,136,-999,
1743777210,4/4/2025 2:33:30 PM,67.46,93.56,51.2,997.6,1.8,202,-999,
1743777273,4/4/2025 2:34:33 PM,67.37,93.56,51.68,997.6,2.1,135,-999,
1743777336,4/4/2025 2:35:36 PM,67.23,93.56,50.54,997.6,1.6,149,-999,
1743777398,4/4/2025 2:36:38 PM,67.08,93.38,49.85,997.6,2.5,2,-999,
1743777461,4/4/2025 2:37:41 PM,66.85,93.38,50.35,997.7,1.2,36,-999,
1743777524,4/4/2025 2:38:44 PM,66.76,93.38,50.73,997.7,2.2,67,-999,
1743777586,4/4/2025 2:39:46 PM,66.72,93.2,50.74,997.7,5.6,63,-999,
