TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1746275688,5/3/2025 12:34:48 PM,72.61,98.06,47.23,967.3,2.2,223,-999,
1746275751,5/3/2025 12:35:51 PM,72.55,98.42,46.83,967.3,2.5,211,-999,
1746275813,5/3/2025 12:36:53 PM,72.48,98.96,47.81,967.3,2.9,193,-999,
1746275876,5/3/2025 12:37:56 PM,72.45,99.14,46.95,967.2,4.1,209,-999,
1746275939,5/3/2025 12:38:59 PM,72.3,99.32,47.59,967.3,1.3,155,-999,
1746276002,5/3/2025 12:40:02 PM,72.36,99.68,49.16,967.3,2.3,191,-999,
1746276064,5/3/2025 12:41:04 PM,72.52,100.04,47.57,967.2,2.5,197,-999,
1746276127,5/3/2025 12:42:07 PM,72.63,100.22,47.72,967.3,2.7,213,-999,
1746276190,5/3/2025 12:43:10 PM,72.68,100.76,46.5,967.3,2.2,201,-999,
1746276252,5/3/2025 12:44:12 PM,72.61,100.94,46.81,967.4,3.3,201,-999,
1746276315,5/3/2025 12:45:15 PM,72.46,101.12,45.91,967.4,2.4,213,-999,
1746276378,5/3/2025 12:46:18 PM,72.32,101.84,47.36,967.4,2.6,252,-999,
1746276440,5/3/2025 12:47:20 PM,72.5,102.2,47.53,967.4,0.6,291,-999,
1746276503,5/3/2025 12:48:23 PM,72.79,102.56,47.12,967.4,2.2,273,-999,
