NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,2,1,2:04.214,0,,33.845,0,38.123,0,52.246,0,136.0,2:04.214,09:02:04.214,0:33.845,0:38.123,0:52.246,169.0,Vladislav LOMKO,0:00:05.674,LMP2,,Vector Sport,Oreca,GF,33.845,38.123,52.246,
10,2,2,1:41.686,0,,22.333,0,32.766,0,46.587,0,173.8,3:45.900,09:03:45.900,0:22.333,0:32.766,0:46.587,255.3,Vladislav LOMKO,,LMP2,,Vector Sport,Oreca,GF,22.333,32.766,46.587,
10,2,3,1:37.137,0,,20.421,0,31.486,0,45.230,0,181.9,5:23.037,09:05:23.037,0:20.421,0:31.486,0:45.230,291.1,Vladislav LOMKO,,LMP2,,Vector Sport,Oreca,GF,20.421,31.486,45.230,
10,2,4,1:35.829,0,,20.315,0,30.970,0,44.544,0,184.4,6:58.866,09:06:58.866,0:20.315,0:30.970,0:44.544,291.9,Vladislav LOMKO,,LMP2,,Vector Sport,Oreca,GF,20.315,30.970,44.544,
10,2,5,1:34.067,0,,19.694,0,30.524,0,43.849,0,187.9,8:32.933,09:08:32.933,0:19.694,0:30.524,0:43.849,293.5,Vladislav LOMKO,,LMP2,,Vector Sport,Oreca,GF,19.694,30.524,43.849,
10,2,6,1:34.873,0,,19.666,0,30.673,0,44.534,0,186.3,10:07.806,09:10:07.806,0:19.666,0:30.673,0:44.534,294.3,Vladislav LOMKO,,LMP2,,Vector Sport,Oreca,GF,19.666,30.673,44.534,
10,2,7,1:52.949,0,B,19.698,0,30.872,0,1:02.379,0,156.5,12:00.755,09:12:00.755,0:19.698,0:30.872,1:02.379,295.9,Vladislav LOMKO,,LMP2,,Vector Sport,Oreca,GF,19.698,30.872,62.379,
10,2,8,5:37.917,0,,4:20.825,0,32.319,0,44.773,0,52.3,17:38.672,09:17:38.672,4:20.825,0:32.319,0:44.773,197.8,Vladislav LOMKO,0:04:17.659,LMP2,,Vector Sport,Oreca,GF,260.825,32.319,44.773,
10,2,9,1:34.527,0,,19.778,0,30.633,0,44.116,0,187.0,19:13.199,09:19:13.199,0:19.778,0:30.633,0:44.116,294.3,Vladislav LOMKO,,LMP2,,Vector Sport,Oreca,GF,19.778,30.633,44.116,
10,2,10,1:33.595,0,,19.518,0,30.395,0,43.682,0,188.8,20:46.794,09:20:46.794,0:19.518,0:30.395,0:43.682,294.3,Vladislav LOMKO,,LMP2,,Vector Sport,Oreca,GF,19.518,30.395,43.682,
