TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1751625428,7/4/2025 10:37:08 AM,35.47,52.3,41.99,1012.9,1.1,242,-999,
1751625489,7/4/2025 10:38:09 AM,35.39,52.5,42.13,1012.8,0.5,194,-999,
1751625550,7/4/2025 10:39:10 AM,35.35,52.6,41.94,1012.9,0.9,212,-999,
1751625611,7/4/2025 10:40:11 AM,35.35,52.5,42.17,1012.8,0.7,43,-999,
1751625672,7/4/2025 10:41:12 AM,35.39,52.5,41.81,1012.8,0.5,49,-999,
1751625733,7/4/2025 10:42:13 AM,35.39,52.4,41.84,1012.8,0.6,113,-999,
1751625794,7/4/2025 10:43:14 AM,35.47,52.3,42.24,1012.9,0.6,28,-999,
1751625855,7/4/2025 10:44:15 AM,35.56,52.1,41.77,1012.8,0.8,227,-999,
1751625916,7/4/2025 10:45:16 AM,35.66,52.2,41.63,1012.8,1,99,-999,
1751625977,7/4/2025 10:46:17 AM,35.85,52.3,41.52,1012.7,0.8,139,-999,
1751626038,7/4/2025 10:47:18 AM,36.02,52.3,41.54,1012.8,0.7,41,-999,
1751626099,7/4/2025 10:48:19 AM,36.13,52.4,41.92,1012.8,1.1,39,-999,
1751626160,7/4/2025 10:49:20 AM,36.09,52.5,41.66,1012.7,0.5,44,-999,
1751626221,7/4/2025 10:50:21 AM,36.09,52.6,41.14,1012.7,0.7,36,-999,
1751626282,7/4/2025 10:51:22 AM,36.07,52.7,41.2,1012.8,0.3,51,-999,
1751626343,7/4/2025 10:52:23 AM,36.07,52.7,41.32,1012.7,0.4,100,-999,
1751626404,7/4/2025 10:53:24 AM,36.17,52.7,41.26,1012.7,0.8,176,-999,
1751626465,7/4/2025 10:54:25 AM,36.26,52.9,40.64,1012.7,0.6,180,-999,
1751626526,7/4/2025 10:55:26 AM,36.28,52.9,40.74,1012.7,0.4,132,-999,
1751626587,7/4/2025 10:56:27 AM,36.32,53,41.04,1012.6,1,173,-999,
