NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,1,1,2:02.552,0,,31.215,0,38.381,0,52.956,0,137.8,2:02.552,10:14:10.020,0:31.215,0:38.381,0:52.956,,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,31.215,38.381,52.956,
10,1,2,1:53.889,0,,23.856,0,36.671,0,53.362,0,155.2,3:56.441,10:16:03.909,0:23.856,0:36.671,0:53.362,230.3,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,23.856,36.671,53.362,
10,1,3,1:54.391,0,,24.168,0,36.539,0,53.684,0,154.5,5:50.832,10:17:58.300,0:24.168,0:36.539,0:53.684,229.3,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,24.168,36.539,53.684,
10,1,4,2:04.949,0,,25.672,0,41.483,0,57.794,0,141.4,7:55.781,10:20:03.249,0:25.672,0:41.483,0:57.794,231.3,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,SF,25.672,41.483,57.794,
10,1,5,2:53.162,0,,40.114,0,1:00.526,0,1:12.522,0,102.1,10:48.943,10:22:56.411,0:40.114,1:00.526,1:12.522,139.7,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,40.114,60.526,72.522,
10,1,6,1:54.131,0,,24.372,0,36.847,0,52.912,0,154.8,12:43.074,10:24:50.542,0:24.372,0:36.847,0:52.912,232.8,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,24.372,36.847,52.912,
10,1,7,1:52.858,0,,23.859,0,36.712,0,52.287,0,156.6,14:35.932,10:26:43.400,0:23.859,0:36.712,0:52.287,231.3,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,23.859,36.712,52.287,
10,1,8,1:52.212,0,,23.744,0,36.186,0,52.282,0,157.5,16:28.144,10:28:35.612,0:23.744,0:36.186,0:52.282,233.3,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,23.744,36.186,52.282,
10,1,9,1:52.034,2,,23.938,0,36.078,0,52.018,2,157.7,18:20.178,10:30:27.646,0:23.938,0:36.078,0:52.018,228.8,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,23.938,36.078,52.018,
10,1,10,1:54.053,0,,25.218,0,36.606,0,52.229,0,154.9,20:14.231,10:32:21.699,0:25.218,0:36.606,0:52.229,232.3,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,25.218,36.606,52.229,
10,1,11,1:52.194,0,,23.953,0,36.181,0,52.060,0,157.5,22:06.425,10:34:13.893,0:23.953,0:36.181,0:52.060,233.8,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,23.953,36.181,52.060,
10,1,12,1:52.049,0,,23.674,2,35.979,2,52.396,0,157.7,23:58.474,10:36:05.942,0:23.674,0:35.979,0:52.396,229.8,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,GF,23.674,35.979,52.396,
10,1,13,1:52.125,0,,23.677,0,36.406,0,52.042,0,157.6,25:50.599,10:37:58.067,0:23.677,0:36.406,0:52.042,231.8,Roberto RIZZO,,T014,Silver / Over,DEXTERS MOTORSPORT,,FF,23.677,36.406,52.042,
13,1,1,2:04.036,0,,32.438,0,38.386,0,53.212,0,136.2,2:04.036,10:14:11.504,0:32.438,0:38.386,0:53.212,,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,32.438,38.386,53.212,
13,1,2,2:03.125,0,,24.295,0,36.792,0,1:02.038,0,143.5,4:07.161,10:16:14.629,0:24.295,0:36.792,1:02.038,236.3,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,24.295,36.792,62.038,
13,1,3,1:51.874,0,,23.778,0,36.462,0,51.634,0,158.0,5:59.035,10:18:06.503,0:23.778,0:36.462,0:51.634,233.3,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,23.778,36.462,51.634,
13,1,4,1:57.721,0,,24.534,0,38.745,0,54.442,0,150.1,7:56.756,10:20:04.224,0:24.534,0:38.745,0:54.442,231.3,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,SF,24.534,38.745,54.442,
13,1,5,2:52.421,0,,39.726,0,1:00.715,0,1:11.980,0,102.5,10:49.177,10:22:56.645,0:39.726,1:00.715,1:11.980,141.4,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,39.726,60.715,71.980,
13,1,6,1:52.910,0,,23.638,0,37.027,0,52.245,0,156.5,12:42.087,10:24:49.555,0:23.638,0:37.027,0:52.245,236.8,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,23.638,37.027,52.245,
13,1,7,1:52.256,0,,23.648,0,37.185,0,51.423,0,157.4,14:34.343,10:26:41.811,0:23.648,0:37.185,0:51.423,235.8,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,23.648,37.185,51.423,
13,1,8,1:51.176,0,,23.726,0,36.235,0,51.215,0,159.0,16:25.519,10:28:32.987,0:23.726,0:36.235,0:51.215,241.1,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,23.726,36.235,51.215,
13,1,9,1:53.361,0,,25.050,0,36.204,0,52.107,0,155.9,18:18.880,10:30:26.348,0:25.050,0:36.204,0:52.107,235.8,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,25.050,36.204,52.107,
13,1,10,1:52.410,0,,23.996,0,37.254,0,51.160,0,157.2,20:11.290,10:32:18.758,0:23.996,0:37.254,0:51.160,232.3,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,23.996,37.254,51.160,
13,1,11,1:51.628,0,,23.649,0,36.318,0,51.661,0,158.3,22:02.918,10:34:10.386,0:23.649,0:36.318,0:51.661,238.9,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,23.649,36.318,51.661,
13,1,12,1:49.626,2,,23.514,2,35.587,0,50.525,2,161.2,23:52.544,10:36:00.012,0:23.514,0:35.587,0:50.525,232.3,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,GF,23.514,35.587,50.525,
13,1,13,1:49.755,0,,23.609,0,35.470,2,50.676,0,161.0,25:42.299,10:37:49.767,0:23.609,0:35.470,0:50.676,232.8,Nicolò COLUSSI,,T014,Silver,DEXTERS MOTORSPORT,,FF,23.609,35.470,50.676,
15,1,1,1:53.113,0,,26.445,0,35.869,0,50.799,0,149.3,1:53.113,10:14:00.581,0:26.445,0:35.869,0:50.799,,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,26.445,35.869,50.799,
15,1,2,1:49.954,0,,23.621,0,35.552,0,50.781,0,160.7,3:43.067,10:15:50.535,0:23.621,0:35.552,0:50.781,235.3,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,23.621,35.552,50.781,
15,1,3,1:49.979,0,,23.512,0,35.710,0,50.757,0,160.7,5:33.046,10:17:40.514,0:23.512,0:35.710,0:50.757,234.8,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,23.512,35.710,50.757,
15,1,4,2:06.544,0,,24.067,0,35.997,0,1:06.480,0,139.7,7:39.590,10:19:47.058,0:24.067,0:35.997,1:06.480,234.8,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,SF,24.067,35.997,66.480,
15,1,5,3:04.584,0,,45.400,0,1:02.494,0,1:16.690,0,95.7,10:44.174,10:22:51.642,0:45.400,1:02.494,1:16.690,154.1,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,45.400,62.494,76.690,
15,1,6,1:50.157,0,,23.556,0,35.630,0,50.971,0,160.4,12:34.331,10:24:41.799,0:23.556,0:35.630,0:50.971,233.8,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,23.556,35.630,50.971,
15,1,7,1:49.586,0,,23.477,0,35.390,0,50.719,0,161.3,14:23.917,10:26:31.385,0:23.477,0:35.390,0:50.719,234.3,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,23.477,35.390,50.719,
15,1,8,1:49.752,0,,23.684,0,35.483,0,50.585,0,161.0,16:13.669,10:28:21.137,0:23.684,0:35.483,0:50.585,237.9,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,23.684,35.483,50.585,
15,1,9,1:49.389,0,,23.749,0,35.023,0,50.617,0,161.6,18:03.058,10:30:10.526,0:23.749,0:35.023,0:50.617,235.8,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,23.749,35.023,50.617,
15,1,10,1:49.203,0,,23.398,0,35.141,0,50.664,0,161.8,19:52.261,10:31:59.729,0:23.398,0:35.141,0:50.664,232.3,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,23.398,35.141,50.664,
15,1,11,1:49.049,0,,23.380,0,35.161,0,50.508,0,162.1,21:41.310,10:33:48.778,0:23.380,0:35.161,0:50.508,231.8,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,23.380,35.161,50.508,
15,1,12,1:49.039,0,,23.384,0,35.137,0,50.518,0,162.1,23:30.349,10:35:37.817,0:23.384,0:35.137,0:50.518,231.3,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,GF,23.384,35.137,50.518,
15,1,13,1:48.620,3,,23.332,2,34.864,3,50.424,2,162.7,25:18.969,10:37:26.437,0:23.332,0:34.864,0:50.424,231.3,Riccardo ORLANDO,,T014,PRO,TECHNORACE SRL,,FF,23.332,34.864,50.424,
16,1,1,1:55.630,0,,27.770,0,36.210,0,51.650,0,146.0,1:55.630,10:14:03.098,0:27.770,0:36.210,0:51.650,,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,27.770,36.210,51.650,
16,1,2,1:50.558,0,,23.727,0,35.635,0,51.196,0,159.8,3:46.188,10:15:53.656,0:23.727,0:35.635,0:51.196,231.8,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,23.727,35.635,51.196,
16,1,3,1:50.216,0,,23.816,0,35.348,0,51.052,0,160.3,5:36.404,10:17:43.872,0:23.816,0:35.348,0:51.052,230.8,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,23.816,35.348,51.052,
16,1,4,2:03.842,0,,24.303,0,35.896,0,1:03.643,0,142.7,7:40.246,10:19:47.714,0:24.303,0:35.896,1:03.643,231.3,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,SF,24.303,35.896,63.643,
16,1,5,3:04.263,0,,45.623,0,1:02.167,0,1:16.473,0,95.9,10:44.509,10:22:51.977,0:45.623,1:02.167,1:16.473,147.3,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,45.623,62.167,76.473,
16,1,6,1:50.813,0,,24.397,0,35.547,0,50.869,0,159.5,12:35.322,10:24:42.790,0:24.397,0:35.547,0:50.869,233.8,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,24.397,35.547,50.869,
16,1,7,1:49.569,2,,23.593,2,35.204,0,50.772,2,161.3,14:24.891,10:26:32.359,0:23.593,0:35.204,0:50.772,232.8,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,23.593,35.204,50.772,
16,1,8,1:49.635,0,,23.618,0,35.168,0,50.849,0,161.2,16:14.526,10:28:21.994,0:23.618,0:35.168,0:50.849,233.3,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,23.618,35.168,50.849,
16,1,9,1:49.702,0,,23.599,0,35.254,0,50.849,0,161.1,18:04.228,10:30:11.696,0:23.599,0:35.254,0:50.849,231.8,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,23.599,35.254,50.849,
16,1,10,1:50.041,0,,23.907,0,35.355,0,50.779,0,160.6,19:54.269,10:32:01.737,0:23.907,0:35.355,0:50.779,231.3,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,23.907,35.355,50.779,
16,1,11,1:49.751,0,,23.619,0,35.150,2,50.982,0,161.0,21:44.020,10:33:51.488,0:23.619,0:35.150,0:50.982,232.3,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,23.619,35.150,50.982,
16,1,12,1:49.833,0,,23.639,0,35.276,0,50.918,0,160.9,23:33.853,10:35:41.321,0:23.639,0:35.276,0:50.918,230.8,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,GF,23.639,35.276,50.918,
16,1,13,1:49.796,0,,23.597,0,35.280,0,50.919,0,161.0,25:23.649,10:37:31.117,0:23.597,0:35.280,0:50.919,231.3,Augusto PASCHETTA,,T014,PRO,SCUDERIA BUELL,,FF,23.597,35.280,50.919,
18,1,1,2:04.527,0,,33.566,0,38.162,0,52.799,0,135.6,2:04.527,10:14:11.995,0:33.566,0:38.162,0:52.799,,Andrea D'AMICO,,T014,Silver,DEXTERS MOTORSPORT,,GF,33.566,38.162,52.799,
18,1,2,1:56.481,0,,23.980,0,36.843,0,55.658,0,151.7,4:01.008,10:16:08.476,0:23.980,0:36.843,0:55.658,233.8,Andrea D'AMICO,,T014,Silver,DEXTERS MOTORSPORT,,GF,23.980,36.843,55.658,
