NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,3,1,17:36.486,0,,15:53.252,0,1:08.515,0,34.719,0,23.5,17:36.486,13:17:36.486,15:53.252,1:08.515,0:34.719,220.2,Pietro FITTIPALDI,0:15:14.660,LMP2,,Vector Sport,Oreca,GF,953.252,68.515,34.719,
10,3,2,2:10.055,0,,37.130,0,59.638,0,33.287,0,193.9,19:46.541,13:19:46.541,0:37.130,0:59.638,0:33.287,282.2,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,37.130,59.638,33.287,
10,3,3,3:57.438,0,B,35.219,0,1:47.137,0,1:35.082,0,106.2,23:43.979,13:23:43.979,0:35.219,1:47.137,1:35.082,299.3,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,RF,35.219,107.137,95.082,
10,3,4,8:11.635,0,,6:37.871,0,1:01.024,0,32.740,0,51.3,31:55.614,13:31:55.614,6:37.871,1:01.024,0:32.740,269.6,Pietro FITTIPALDI,0:06:10.431,LMP2,,Vector Sport,Oreca,GF,397.871,61.024,32.740,
10,3,5,2:07.178,0,,36.437,0,58.095,0,32.646,0,198.3,34:02.792,13:34:02.792,0:36.437,0:58.095,0:32.646,290.5,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,36.437,58.095,32.646,
10,3,6,2:03.111,2,,35.225,0,56.240,0,31.646,2,204.8,36:05.903,13:36:05.903,0:35.225,0:56.240,0:31.646,299.3,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,35.225,56.240,31.646,
10,3,7,2:12.409,0,B,35.054,2,57.996,0,39.359,0,190.4,38:18.312,13:38:18.312,0:35.054,0:57.996,0:39.359,300.2,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,35.054,57.996,39.359,
10,1,8,3:38.935,0,,2:04.609,0,1:00.602,0,33.724,0,115.2,41:57.247,13:41:57.247,2:04.609,1:00.602,0:33.724,261.1,Ryan CULLEN,0:01:37.171,LMP2,,Vector Sport,Oreca,GF,124.609,60.602,33.724,
10,1,9,2:08.258,0,,35.475,0,59.456,0,33.327,0,196.6,44:05.505,13:44:05.505,0:35.475,0:59.456,0:33.327,299.3,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.475,59.456,33.327,
10,1,10,2:10.122,0,,35.456,0,1:00.975,0,33.691,0,193.8,46:15.627,13:46:15.627,0:35.456,1:00.975,0:33.691,300.2,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.456,60.975,33.691,
10,1,11,2:07.988,0,,35.707,0,59.690,0,32.591,0,197.0,48:23.615,13:48:23.615,0:35.707,0:59.690,0:32.591,300.2,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.707,59.690,32.591,
10,1,12,2:05.325,0,,35.341,0,58.035,0,31.949,0,201.2,50:28.940,13:50:28.940,0:35.341,0:58.035,0:31.949,301.8,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.341,58.035,31.949,
10,1,13,2:04.859,0,,35.260,1,57.669,1,31.930,1,201.9,52:33.799,13:52:33.799,0:35.260,0:57.669,0:31.930,300.2,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.260,57.669,31.930,
10,1,14,2:06.397,0,,35.302,0,58.491,0,32.604,0,199.5,54:40.196,13:54:40.196,0:35.302,0:58.491,0:32.604,300.2,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.302,58.491,32.604,
10,1,15,2:09.700,0,,35.268,0,59.887,0,34.545,0,194.4,56:49.896,13:56:49.896,0:35.268,0:59.887,0:34.545,301.0,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.268,59.887,34.545,
10,1,16,2:05.937,0,,35.459,0,58.498,0,31.980,0,200.2,58:55.833,13:58:55.833,0:35.459,0:58.498,0:31.980,300.2,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.459,58.498,31.980,
10,1,17,2:10.119,0,,37.571,0,59.536,0,33.012,0,193.8,1:01:05.952,14:01:05.952,0:37.571,0:59.536,0:33.012,292.1,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,37.571,59.536,33.012,
10,1,18,2:47.104,0,B,35.337,0,57.698,0,1:14.069,0,150.9,1:03:53.056,14:03:53.056,0:35.337,0:57.698,1:14.069,299.3,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,FCY,35.337,57.698,74.069,
10,1,19,5:43.320,0,,2:55.353,0,2:10.166,0,37.801,0,73.4,1:09:36.376,14:09:36.376,2:55.353,2:10.166,0:37.801,77.7,Ryan CULLEN,0:01:34.368,LMP2,,Vector Sport,Oreca,GF,175.353,130.166,37.801,
10,1,20,2:11.452,0,,36.634,0,1:00.719,0,34.099,0,191.8,1:11:47.828,14:11:47.828,0:36.634,1:00.719,0:34.099,290.5,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,36.634,60.719,34.099,
10,1,21,2:06.291,0,,35.716,0,58.294,0,32.281,0,199.7,1:13:54.119,14:13:54.119,0:35.716,0:58.294,0:32.281,296.1,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.716,58.294,32.281,
10,1,22,2:07.335,0,,36.550,0,58.714,0,32.071,0,198.0,1:16:01.454,14:16:01.454,0:36.550,0:58.714,0:32.071,297.7,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,36.550,58.714,32.071,
10,1,23,2:05.692,0,,35.406,0,58.054,0,32.232,0,200.6,1:18:07.146,14:18:07.146,0:35.406,0:58.054,0:32.232,299.3,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.406,58.054,32.232,
10,1,24,2:06.662,0,,35.759,0,58.392,0,32.511,0,199.1,1:20:13.808,14:20:13.808,0:35.759,0:58.392,0:32.511,296.1,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.759,58.392,32.511,
10,1,25,2:18.546,0,B,35.890,0,1:02.381,0,40.275,0,182.0,1:22:32.354,14:22:32.354,0:35.890,1:02.381,0:40.275,298.5,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.890,62.381,40.275,
10,2,26,3:10.668,0,,1:34.504,0,1:02.890,0,33.274,0,132.2,1:25:43.022,14:25:43.022,1:34.504,1:02.890,0:33.274,275.0,Vladislav LOMKO,0:01:06.670,LMP2,,Vector Sport,Oreca,GF,94.504,62.890,33.274,
10,2,27,2:06.536,0,,36.209,0,58.257,0,32.070,0,199.3,1:27:49.558,14:27:49.558,0:36.209,0:58.257,0:32.070,294.5,Vladislav LOMKO,,LMP2,,Vector Sport,Oreca,GF,36.209,58.257,32.070,
10,2,28,2:06.713,0,,36.059,0,58.602,0,32.052,0,199.0,1:29:56.271,14:29:56.271,0:36.059,0:58.602,0:32.052,268.9,Vladislav LOMKO,,LMP2,,Vector Sport,Oreca,GF,36.059,58.602,32.052,
