TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1755864625,8/22/2025 12:10:25 PM,15.33,26.7,54.87,971.6,1.3,192,-999,
1755864686,8/22/2025 12:11:26 PM,15.32,26.5,55.17,971.6,1.4,9,-999,
1755864747,8/22/2025 12:12:27 PM,15.32,26.4,55.73,971.7,0.2,18,-999,
1755864808,8/22/2025 12:13:28 PM,15.35,26.2,55.83,971.6,1,237,-999,
1755864869,8/22/2025 12:14:29 PM,15.5,26.1,55.76,971.6,1.4,272,-999,
1755864930,8/22/2025 12:15:30 PM,15.64,25.8,54.61,971.6,1.3,234,-999,
1755864991,8/22/2025 12:16:31 PM,15.71,25.7,53.52,971.6,0.8,267,-999,
1755865052,8/22/2025 12:17:32 PM,15.76,25.6,53.63,971.6,1.9,302,-999,
1755865113,8/22/2025 12:18:33 PM,15.72,25.4,53.96,971.7,1.1,333,-999,
1755865175,8/22/2025 12:19:35 PM,15.62,25.4,54.71,971.6,0.7,313,-999,
1755865235,8/22/2025 12:20:35 PM,15.56,25.4,54.95,971.7,1.2,316,-999,
1755865297,8/22/2025 12:21:37 PM,15.59,25.4,55.21,971.7,1.4,308,-999,
1755865358,8/22/2025 12:22:38 PM,15.61,25.3,54.47,971.8,3,310,-999,
1755865419,8/22/2025 12:23:39 PM,15.57,25.3,54.54,971.7,0.7,255,-999,
1755865480,8/22/2025 12:24:40 PM,15.56,25.3,55.33,971.8,1.7,278,-999,
1755865541,8/22/2025 12:25:41 PM,15.56,25.2,54.89,971.7,0.9,290,-999,
1755865602,8/22/2025 12:26:42 PM,15.56,25.2,54.87,971.7,0.9,300,-999,
1755865663,8/22/2025 12:27:43 PM,15.54,25.1,54.95,971.7,1.1,322,-999,
1755865724,8/22/2025 12:28:44 PM,15.54,25.1,55.05,971.7,1,297,-999,
1755865785,8/22/2025 12:29:45 PM,15.54,25.1,54.61,971.8,1.6,303,-999,
1755865845,8/22/2025 12:30:45 PM,15.5,24.9,54.56,971.8,1.4,271,-999,
1755865907,8/22/2025 12:31:47 PM,15.42,24.9,54.99,971.7,1.1,271,-999,
1755865968,8/22/2025 12:32:48 PM,15.42,24.8,55.06,971.8,2.3,310,-999,
1755866029,8/22/2025 12:33:49 PM,15.45,24.7,54.52,971.8,1.3,300,-999,
1755866090,8/22/2025 12:34:50 PM,15.4,24.6,54.98,971.8,1.3,269,-999,
1755866151,8/22/2025 12:35:51 PM,15.41,24.6,55.35,971.6,1,318,-999,
1755866212,8/22/2025 12:36:52 PM,15.46,24.5,55.08,971.7,0.6,276,-999,
1755866273,8/22/2025 12:37:53 PM,15.48,24.5,55.27,971.7,2.1,301,-999,
1755866334,8/22/2025 12:38:54 PM,15.46,24.4,55.52,971.7,1.6,304,-999,
1755866395,8/22/2025 12:39:55 PM,15.4,24.5,55.42,971.7,1.1,311,-999,
