NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,3,1,2:49.698,0,,1:05.529,0,44.497,0,59.672,0,121.9,2:49.698,09:02:49.698,1:05.529,0:44.497,0:59.672,77.6,Pietro FITTIPALDI,0:00:07.127,LMP2,,Vector Sport,Oreca,GF,65.529,44.497,59.672,
10,3,2,2:05.608,0,,38.239,0,33.615,0,53.754,0,168.8,4:55.306,09:04:55.306,0:38.239,0:33.615,0:53.754,264.7,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,38.239,33.615,53.754,
10,3,3,1:58.980,0,,35.013,0,31.428,1,52.539,0,178.2,6:54.286,09:06:54.286,0:35.013,0:31.428,0:52.539,268.7,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,35.013,31.428,52.539,
10,3,4,1:58.052,0,,34.458,0,31.650,0,51.944,1,179.6,8:52.338,09:08:52.338,0:34.458,0:31.650,0:51.944,268.7,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,34.458,31.650,51.944,
10,3,5,2:05.832,0,B,34.378,1,32.438,0,59.016,0,168.5,10:58.170,09:10:58.170,0:34.378,0:32.438,0:59.016,266.7,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,34.378,32.438,59.016,
10,3,6,12:47.326,0,,10:59.260,0,43.399,0,1:04.667,0,27.6,23:45.496,09:23:45.496,10:59.260,0:43.399,1:04.667,242.7,Pietro FITTIPALDI,0:10:15.411,LMP2,,Vector Sport,Oreca,GF,659.260,43.399,64.667,
10,3,7,2:25.620,0,,45.092,0,39.785,0,1:00.743,0,145.6,26:11.116,09:26:11.116,0:45.092,0:39.785,1:00.743,235.8,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,45.092,39.785,60.743,
10,3,8,2:17.420,0,,40.568,0,37.898,0,58.954,0,154.3,28:28.536,09:28:28.536,0:40.568,0:37.898,0:58.954,260.9,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,40.568,37.898,58.954,
10,3,9,2:26.354,0,B,40.649,0,39.053,0,1:06.652,0,144.9,30:54.890,09:30:54.890,0:40.649,0:39.053,1:06.652,260.9,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,40.649,39.053,66.652,
10,3,10,6:49.937,0,,5:14.825,0,38.263,0,56.849,0,51.7,37:44.827,09:37:44.827,5:14.825,0:38.263,0:56.849,228.8,Pietro FITTIPALDI,0:04:33.220,LMP2,,Vector Sport,Oreca,GF,314.825,38.263,56.849,
10,3,11,2:06.385,0,,37.143,0,35.655,0,53.587,0,167.8,39:51.212,09:39:51.212,0:37.143,0:35.655,0:53.587,265.4,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,GF,37.143,35.655,53.587,
10,3,12,3:11.788,0,B,37.574,0,50.423,0,1:43.791,0,110.6,43:03.000,09:43:03.000,0:37.574,0:50.423,1:43.791,245.5,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,RF,37.574,50.423,103.791,
10,3,13,8:55.280,0,,7:23.131,0,38.455,0,53.694,0,39.6,51:58.280,09:51:58.280,7:23.131,0:38.455,0:53.694,230.3,Pietro FITTIPALDI,0:06:44.632,LMP2,,Vector Sport,Oreca,GF,443.131,38.455,53.694,
10,3,14,3:24.440,0,B,37.255,0,1:02.323,0,1:44.862,0,103.7,55:22.720,09:55:22.720,0:37.255,1:02.323,1:44.862,192.2,Pietro FITTIPALDI,,LMP2,,Vector Sport,Oreca,RF,37.255,62.323,104.862,
10,1,15,8:36.793,0,,7:07.853,0,35.486,0,53.454,0,41.0,1:03:59.513,10:03:59.513,7:07.853,0:35.486,0:53.454,265.4,Ryan CULLEN,0:06:32.847,LMP2,,Vector Sport,Oreca,GF,427.853,35.486,53.454,
10,1,16,1:59.251,0,,35.111,0,33.275,0,50.865,0,177.8,1:05:58.764,10:05:58.764,0:35.111,0:33.275,0:50.865,270.7,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.111,33.275,50.865,
