TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1760692225,10/17/2025 9:10:25 AM,22.86,27.6,60.45,1002.8,2.4,149,-999,
1760692286,10/17/2025 9:11:26 AM,23.05,27.7,59.86,1002.8,1.1,128,-999,
1760692347,10/17/2025 9:12:27 AM,23.1,27.8,59.47,1002.8,0.7,198,-999,
1760692408,10/17/2025 9:13:28 AM,23.13,27.9,59.21,1002.8,2.9,97,-999,
1760692469,10/17/2025 9:14:29 AM,23.1,27.9,59.37,1002.8,2.3,170,-999,
1760692530,10/17/2025 9:15:30 AM,23.16,27.9,59.29,1002.8,2.3,148,-999,
1760692591,10/17/2025 9:16:31 AM,23.21,28.1,59.1,1002.9,1.3,92,-999,
1760692652,10/17/2025 9:17:32 AM,23.22,28.2,59.04,1002.8,1.4,114,-999,
1760692713,10/17/2025 9:18:33 AM,23.25,28.3,59.1,1002.8,2.1,155,-999,
1760692774,10/17/2025 9:19:34 AM,23.41,28.3,58.77,1002.8,1.3,148,-999,
1760692835,10/17/2025 9:20:35 AM,23.55,28.5,58.42,1003,2.1,159,-999,
1760692896,10/17/2025 9:21:36 AM,23.62,28.6,58.09,1002.9,2.5,154,-999,
1760692957,10/17/2025 9:22:37 AM,23.62,28.7,57.85,1002.9,1.4,135,-999,
1760693018,10/17/2025 9:23:38 AM,23.64,28.7,57.99,1002.9,1.2,157,-999,
1760693079,10/17/2025 9:24:39 AM,23.71,28.9,58.01,1002.8,1.8,164,-999,
1760693140,10/17/2025 9:25:40 AM,23.87,28.9,57.59,1002.9,1.9,156,-999,
1760693201,10/17/2025 9:26:41 AM,23.93,29,57.26,1002.9,1.7,158,-999,
1760693262,10/17/2025 9:27:42 AM,23.95,29.1,57.19,1002.9,2.4,110,-999,
1760693323,10/17/2025 9:28:43 AM,23.88,29.2,57.23,1002.9,3,123,-999,
1760693384,10/17/2025 9:29:44 AM,23.73,29.3,57.57,1002.9,1.4,119,-999,
1760693445,10/17/2025 9:30:45 AM,23.67,29.3,57.95,1002.8,1.7,159,-999,
1760693506,10/17/2025 9:31:46 AM,23.74,29.4,57.86,1002.9,1.8,162,-999,
1760693567,10/17/2025 9:32:47 AM,23.91,29.5,57.44,1002.9,2.2,159,-999,
1760693628,10/17/2025 9:33:48 AM,24.04,29.6,57.23,1002.9,1.8,155,-999,
1760693689,10/17/2025 9:34:49 AM,24.15,29.6,57,1002.9,1.4,96,-999,
1760693750,10/17/2025 9:35:50 AM,24.22,29.7,56.79,1002.9,1.5,124,-999,
