TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1760715040,10/17/2025 3:30:40 PM,25.25,36.2,58.23,1002,3.3,177,-999,
1760715101,10/17/2025 3:31:41 PM,25.25,36,58.23,1002.1,2,172,-999,
1760715162,10/17/2025 3:32:42 PM,25.25,36,58.4,1002,3.7,190,-999,
1760715223,10/17/2025 3:33:43 PM,25.27,36,58.06,1002,2.4,176,-999,
1760715284,10/17/2025 3:34:44 PM,25.25,36,57.65,1002,3.3,177,-999,
1760715345,10/17/2025 3:35:45 PM,25.19,36,58.15,1002,3.4,186,-999,
1760715406,10/17/2025 3:36:46 PM,25.17,36.1,58.3,1002,1.5,160,-999,
1760715467,10/17/2025 3:37:47 PM,25.28,36.1,57.99,1002,3,177,-999,
1760715528,10/17/2025 3:38:48 PM,25.28,36,58.1,1002,1.3,161,-999,
1760715589,10/17/2025 3:39:49 PM,25.33,35.9,58.14,1002,1.3,160,-999,
1760715650,10/17/2025 3:40:50 PM,25.36,35.9,57.65,1002,2.6,173,-999,
1760715711,10/17/2025 3:41:51 PM,25.39,35.9,57.32,1002.1,3,184,-999,
1760715772,10/17/2025 3:42:52 PM,25.33,35.7,57.46,1001.9,2.9,178,-999,
1760715833,10/17/2025 3:43:53 PM,25.24,35.6,57.78,1002,3.4,187,-999,
1760715894,10/17/2025 3:44:54 PM,25.14,35.6,57.96,1002,2.8,173,-999,
1760715955,10/17/2025 3:45:55 PM,25.06,35.6,58.37,1001.9,3.1,179,-999,
1760716016,10/17/2025 3:46:56 PM,25.07,35.7,58.41,1002,3,183,-999,
1760716077,10/17/2025 3:47:57 PM,25.11,35.7,58.39,1002.1,1.8,175,-999,
1760716138,10/17/2025 3:48:58 PM,25.17,35.7,58.35,1002,2.3,187,-999,
1760716199,10/17/2025 3:49:59 PM,25.21,35.6,58.24,1002,1.8,182,-999,
1760716260,10/17/2025 3:51:00 PM,25.23,35.5,58.21,1002,1.6,159,-999,
1760716321,10/17/2025 3:52:01 PM,25.24,35.5,58.3,1002.1,1.6,173,-999,
1760716382,10/17/2025 3:53:02 PM,25.3,35.3,58.11,1002,3.6,182,-999,
1760716443,10/17/2025 3:54:03 PM,25.23,35.3,58.29,1002.1,3.1,179,-999,
1760716504,10/17/2025 3:55:04 PM,25.2,35.1,58.23,1002,1.7,173,-999,
1760716565,10/17/2025 3:56:05 PM,25.17,35.1,58.26,1002,0.7,160,-999,
1760716626,10/17/2025 3:57:06 PM,25.17,34.9,58.25,1002,3.3,183,-999,
1760716687,10/17/2025 3:58:07 PM,25.13,34.9,58.35,1002,1,137,-999,
