POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,29,Forestier Racing by Panis,Louis ROUSSET,Oliver GRAY,Esteban MASSON,,Oreca 07 - Gibson,G,LMP2,,,Classified,90,3:00'55.663,,,63,1'33.158,189.7,,
2,22,United Autosports,Griffin PEEBLES,Grégoire SAUCY,Benjamin HANLEY,,Oreca 07 - Gibson,G,LMP2,,,Classified,90,3:01'07.175,11.512,11.512,44,1'33.372,189.3,,
3,25,Algarve Pro Racing,Matthias KAISER,Tristan VAUTIER,Jake HUGHES,,Oreca 07 - Gibson,G,LMP2,,,Classified,90,3:01'09.796,14.133,2.621,18,1'34.402,187.2,,
4,18,IDEC Sport,Jamie CHADWICK,Valerio RINICELLA,Laurents HÖRR,,Oreca 07 - Gibson,G,LMP2,,,Classified,90,3:01'10.207,14.544,0.411,29,1'33.137,189.7,,
5,34,Inter Europol Competition,Bijoy GARG,Reshad DE GÉRUS,,,Oreca 07 - Gibson,G,LMP2,,,Classified,90,3:01'10.690,15.027,0.483,7,1'34.066,187.9,,
6,10,Vector Sport,Ryan CULLEN,Vladislav LOMKO,Pietro FITTIPALDI,,Oreca 07 - Gibson,G,LMP2,,,Classified,90,3:01'12.557,16.894,1.867,65,1'34.484,187.0,,
7,19,Rossa Racing by Virage,John FALB,Manuel ESPIRITO SANTO,Rik KOEN,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,90,3:01'28.996,33.333,16.439,45,1'33.430,189.2,,
8,7,Vector Sport,Jens Reno MØLLER,Cem BÖLÜKBASI,Lorenzo FLUXA,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,90,3:01'31.228,35.565,2.232,43,1'33.952,188.1,,
9,24,Nielsen Racing,Edward PEARSON,Roy NISSANY,Jack DOOHAN,,Oreca 07 - Gibson,G,LMP2,,,Classified,90,3:01'31.772,36.109,0.544,89,1'34.405,187.2,,
10,30,Duqueine Team,Giorgio RODA,Richard VERSCHOOR,Doriane PIN,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,90,3:01'36.452,40.789,4.680,46,1'33.486,189.0,,
11,83,AF Corse,François PERRODO,Matthieu VAXIVIERE,Antonio FUOCO,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,90,3:01'37.565,41.902,1.113,45,1'33.074,189.9,,
12,20,Algarve Pro Racing,Michael JENSEN,Enzo TRULLI,Malthe JAKOBSEN,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,90,3:01'40.175,44.512,2.610,46,1'32.765,190.5,,
13,21,United Autosports,Daniel SCHNEIDER,Marino SATO,Oliver JARVIS,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,90,3:01'43.396,47.733,3.221,46,1'33.459,189.1,,
14,47,CLX Motorsport,Georgios KOLOVOS,Ferdinand HABSBURG,Charles MILESI,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,90,3:01'50.653,54.990,7.257,45,1'33.351,189.3,,
15,3,DKR Engineering,Jean GLORIEUX,Marlon HERNANDEZ,Maceo CAPIETTO,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,90,3:02'29.766,1'34.103,39.113,44,1'32.735,190.6,,
16,9,Proton Competition,Jonas RIED,Sebastian PRIAULX,Mike ROCKENFELLER,,Oreca 07 - Gibson,G,LMP2,,,Classified,89,3:00'58.556,1 Laps,1 Laps,67,1'34.641,186.7,,
17,99,AO by TF,PJ HYETT,Louis DELÉTRAZ,Dane CAMERON,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,89,3:01'18.141,1 Laps,19.585,47,1'32.936,190.2,,
18,43,Inter Europol Competition,Jakub SMIECHOWSKI,Tom DILLMANN,Nicholas YELLOLY,,Oreca 07 - Gibson,G,LMP2,,,Classified,89,3:01'35.249,1 Laps,17.108,64,1'34.276,187.5,,
19,37,CLX Motorsport,Adrien CLOSMENIL,Theodor JENSEN,Ian AGUILERA,,Oreca 07 - Gibson,G,LMP2,,,Classified,89,3:02'29.078,1 Laps,53.829,19,1'33.347,189.3,,
20,88,Proton Competition,Horst FELBERMAYR,Horst Felix FELBERMAYR,Rene BINDER,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,88,3:01'15.348,2 Laps,1 Laps,43,1'33.932,188.1,,
21,33,TF Sport,Blake MCDONALD,Alec UDELL,Charlie EASTWOOD,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,86,3:01'01.505,4 Laps,2 Laps,64,1'43.331,171.0,,
22,62,Team Qatar by Iron Lynx,Abdulla Ali AL-KHELAIFI,Julian HANSES,Maxime MARTIN,,Mercedes-AMG LMGT3,G,LMGT3,,,Classified,86,3:01'03.370,4 Laps,1.865,60,1'43.489,170.8,,
23,75,Proton Competition,Matthew KURZEJEWSKI,Thomas SARGENT,Richard LIETZ,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,86,3:01'09.038,4 Laps,5.668,62,1'43.652,170.5,,
24,86,GR Racing,Michael WAINWRIGHT,Lorcan HANAFIN,Mex JANSEN,,Ferrari 296 LMGT3 Evo,G,LMGT3,,,Classified,86,3:01'14.055,4 Laps,5.017,47,1'43.125,171.4,,
25,27,Nielsen Racing,Kriton LENTOUDIS,Alex QUINN,James ALLEN,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,86,3:01'45.487,4 Laps,31.432,65,1'32.860,190.3,,
26,11,Eurointernational,Matthew Richard BELL,Douwe DEDECKER,Max VAN DER SNEL,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,86,3:01'58.770,4 Laps,13.283,68,1'41.629,173.9,,
27,5,Rinaldi Racing,Jose FERNANDES CAUTELA,Alvise RODELLA,Mikkel Gaarde PEDERSEN,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,86,3:01'59.876,4 Laps,1.106,65,1'41.639,173.9,,
28,54,High Class Racing,Max MORITZ,Anders FJORDBACH,Klaus BACHLER,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,86,3:02'11.182,4 Laps,11.306,65,1'43.775,170.3,,
29,31,Racing Spirit of Leman,Ralph MEICHTRY,Grégory DE SYBOURG,Lenny RIED,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,86,3:02'17.649,4 Laps,6.467,76,1'42.682,172.1,,
30,4,DKR Engineering,Antti RAMMO,Romain FAVRE,Wyatt BRICHACEK,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,86,3:02'19.309,4 Laps,1.660,4,1'42.552,172.3,,
31,13,Inter Europol Competition,Alexander BUKHANTSOV,Henry CUBIDES OLARTE,Chun Ting CHOU,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,86,3:02'22.345,4 Laps,3.036,75,1'42.048,173.2,,
32,74,Kessel Racing,Andrew GILBERT,Fran RUEDA,Romain LEROUX,,Ferrari 296 LMGT3 Evo,G,LMGT3,,,Classified,86,3:02'24.004,4 Laps,1.659,62,1'44.035,169.9,,
33,77,Proton Competition,Martin BERRY,Huub VAN EIJNDHOVEN,Harry KING,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,85,2:59'27.027,5 Laps,1 Laps,63,1'43.979,170.0,,
34,51,AF Corse,Charles-Henri SAMANI,Conrad LAURSEN,Davide RIGON,,Ferrari 296 LMGT3 Evo,G,LMGT3,,,Classified,85,2:59'29.683,5 Laps,2.656,44,1'43.416,170.9,,
35,17,CLX Motorsport,Paul LANCHERE,Alexander JACOBY,Louis IGLESIAS,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,85,3:00'20.054,5 Laps,50.371,68,1'41.531,174.1,,
36,50,Richard Mille AF Corse,Custodio TOLEDO,Lilou WADOUX,Riccardo AGOSTINI,,Ferrari 296 LMGT3 Evo,G,LMGT3,,,Classified,85,3:01'06.412,5 Laps,46.358,50,1'43.765,170.3,,
37,55,Spirit of Race,Duncan CAMERON,David PEREL,Matthew GRIFFIN,,Ferrari 296 LMGT3 Evo,G,LMGT3,,,Classified,85,3:01'29.837,5 Laps,23.425,85,1'44.107,169.8,,
38,8,Team Virage,Louis STERN,Matteo QUINTARELLI,Daniel NOGALES,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,85,3:01'31.603,5 Laps,1.766,64,1'41.085,174.8,,
39,28,IDEC Sport,Paul LAFARGUE,Job VAN UITERT,Paul-Loup CHATIN,,Oreca 07 - Gibson,G,LMP2,,,Classified,85,3:02'16.756,5 Laps,45.153,43,1'33.378,189.3,,
40,68,M Racing,Nick ADCOCK,Thomas IMBOURG,,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,85,3:02'19.806,5 Laps,3.050,78,1'42.551,172.3,,
41,35,Ultimate,Terrence WOODWARD,Lucas FECURY,Sebastian GRAVLUND,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,84,3:00'40.450,6 Laps,1 Laps,81,1'43.122,171.4,,
42,85,R-ace GP,Fabien MICHAL,Pierre-Alexandre PROVOST,Hugo SCHWARZE,,Duqueine D09 - Toyota,M,LMP3,,,Classified,84,3:01'15.465,6 Laps,35.015,63,1'40.758,175.4,,
43,57,Kessel Racing,Takeshi KIMURA,Mathys JAUBERT,Daniel SERRA,,Ferrari 296 LMGT3 Evo,G,LMGT3,,,Classified,84,3:01'20.605,6 Laps,5.140,58,1'43.554,170.7,,
44,23,United Autosports,Michael BIRCH,Garnet PATTERSON,Wayne BOYD,,McLaren 720S LMGT3 Evo,G,LMGT3,,,Classified,70,2:38'05.781,20 Laps,14 Laps,45,1'42.796,171.9,,
45,14,TDS Racing,Steven THOMAS,Sami MEGUETOUNIF,Scott HUFFAKER II,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,55,1:54'58.437,35 Laps,15 Laps,43,1'33.561,188.9,,
46,63,Iron Lynx,Ameerh NARAN,Rui ANDRADE,Sergio SETTE CAMARA,,Mercedes-AMG LMGT3,G,LMGT3,,,Classified,51,1:51'14.555,39 Laps,4 Laps,41,1'45.105,168.1,,
47,59,Racing Spirit of Leman,Clément MATEU,Marius FOSSARD,Valentin HASSE CLOT,,Aston Martin Vantage AMR LMGT3,G,LMGT3,,,Classified,51,1:51'15.194,39 Laps,0.639,27,1'44.134,169.7,,
