NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,
01,2,1,17:25.400,0,,16:02.730,0,52.173,0,30.497,0,19.7,17:25.400,16:32:25.400,16:02.730,0:52.173,0:30.497,,Kevin Magnussen,0:15:43.860,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,2,1:40.627,0,,24.883,0,46.396,0,29.348,0,205.0,19:06.027,16:34:06.027,0:24.883,0:46.396,0:29.348,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,3,1:38.716,0,,23.947,0,45.653,0,29.116,0,208.9,20:44.743,16:35:44.743,0:23.947,0:45.653,0:29.116,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,4,1:39.875,0,,23.853,0,46.800,0,29.222,0,206.5,22:24.618,16:37:24.618,0:23.853,0:46.800,0:29.222,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,5,1:38.062,0,,23.786,0,45.393,0,28.883,0,210.3,24:02.680,16:39:02.680,0:23.786,0:45.393,0:28.883,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,6,1:38.553,0,,23.742,0,45.880,0,28.931,0,209.3,25:41.233,16:40:41.233,0:23.742,0:45.880,0:28.931,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,7,1:37.529,0,,23.628,0,45.144,0,28.757,0,211.5,27:18.762,16:42:18.762,0:23.628,0:45.144,0:28.757,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,8,1:37.719,0,,23.797,0,45.154,0,28.768,0,211.1,28:56.481,16:43:56.481,0:23.797,0:45.154,0:28.768,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,9,1:38.520,0,,23.434,0,46.171,0,28.915,0,209.4,30:35.001,16:45:35.001,0:23.434,0:46.171,0:28.915,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,10,1:41.112,0,,23.581,0,47.598,0,29.933,0,204.0,32:16.113,16:47:16.113,0:23.581,0:47.598,0:29.933,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,11,1:39.201,0,,25.059,0,45.229,0,28.913,0,207.9,33:55.314,16:48:55.314,0:25.059,0:45.229,0:28.913,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,12,1:37.965,0,,23.863,0,45.397,0,28.705,0,210.5,35:33.279,16:50:33.279,0:23.863,0:45.397,0:28.705,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,13,1:37.709,0,,23.570,0,45.509,0,28.630,0,211.1,37:10.988,16:52:10.988,0:23.570,0:45.509,0:28.630,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,14,1:37.852,0,,23.802,0,45.272,0,28.778,0,210.8,38:48.840,16:53:48.840,0:23.802,0:45.272,0:28.778,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,15,1:37.147,0,,23.463,0,45.207,0,28.477,0,212.3,40:25.987,16:55:25.987,0:23.463,0:45.207,0:28.477,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,16,1:52.138,0,B,23.447,0,45.334,0,43.357,0,183.9,42:18.125,16:57:18.125,0:23.447,0:45.334,0:43.357,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
