NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,
01,2,1,2:43.791,0,,1:11.654,0,58.801,0,33.336,0,125.9,2:43.791,10:02:43.791,1:11.654,0:58.801,0:33.336,,Kevin Magnussen,0:00:50.594,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,2,1:50.700,0,,28.396,0,51.077,0,31.227,0,186.3,4:34.491,10:04:34.491,0:28.396,0:51.077,0:31.227,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,3,2:01.197,0,B,26.495,0,49.619,0,45.083,0,170.2,6:35.688,10:06:35.688,0:26.495,0:49.619,0:45.083,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,1,4,2:50.317,0,,1:29.902,0,49.660,0,30.755,0,121.1,9:26.005,10:09:26.005,1:29.902,0:49.660,0:30.755,,Renger van der Zande,0:01:25.341,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,1,5,1:40.765,0,,24.468,0,46.357,0,29.940,0,204.7,11:06.770,10:11:06.770,0:24.468,0:46.357,0:29.940,,Renger van der Zande,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,1,6,1:37.449,2,,23.258,0,45.102,2,29.089,1,211.7,12:44.219,10:12:44.219,0:23.258,0:45.102,0:29.089,,Renger van der Zande,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,1,7,1:53.516,0,B,23.126,2,45.807,0,44.583,0,181.7,14:37.735,10:14:37.735,0:23.126,0:45.807,0:44.583,,Renger van der Zande,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,8,4:10.512,0,,2:54.597,0,47.153,1,28.762,2,82.3,18:48.247,10:18:48.247,2:54.597,0:47.153,0:28.762,,Kevin Magnussen,0:02:51.574,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
01,2,9,1:53.784,0,B,23.760,1,45.729,0,44.295,0,181.3,20:42.031,10:20:42.031,0:23.760,0:45.729,0:44.295,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,
1,2,1,3:07.231,0,,1:19.419,0,1:08.471,0,39.341,0,110.2,3:07.231,10:03:07.231,1:19.419,1:08.471,0:39.341,,Madison Snow,0:00:56.522,GTD,,Paul Miller Racing,Lamborghini,
1,2,2,2:07.801,0,,32.523,0,58.484,0,36.794,0,161.4,5:15.032,10:05:15.032,0:32.523,0:58.484,0:36.794,,Madison Snow,,GTD,,Paul Miller Racing,Lamborghini,
1,2,3,2:00.167,0,,29.806,0,54.859,0,35.502,0,171.6,7:15.199,10:07:15.199,0:29.806,0:54.859,0:35.502,,Madison Snow,,GTD,,Paul Miller Racing,Lamborghini,
1,2,4,1:57.555,0,,28.523,1,53.704,0,35.328,1,175.5,9:12.754,10:09:12.754,0:28.523,0:53.704,0:35.328,,Madison Snow,,GTD,,Paul Miller Racing,Lamborghini,
1,2,5,2:11.826,0,B,29.391,0,53.156,1,49.279,0,156.5,11:24.580,10:11:24.580,0:29.391,0:53.156,0:49.279,,Madison Snow,,GTD,,Paul Miller Racing,Lamborghini,
1,1,6,2:46.756,0,,1:19.768,0,53.029,0,33.959,0,123.7,14:11.336,10:14:11.336,1:19.768,0:53.029,0:33.959,,Bryan Sellers,0:01:15.310,GTD,,Paul Miller Racing,Lamborghini,
1,1,7,1:50.664,2,,25.968,0,51.405,0,33.291,2,186.4,16:02.000,10:16:02.000,0:25.968,0:51.405,0:33.291,,Bryan Sellers,,GTD,,Paul Miller Racing,Lamborghini,
