NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
1,1,1,3:27.783,0,,1:54.167,0,49.425,0,44.191,0,94.8,3:27.783,12:18:27.783,1:54.167,0:49.425,0:44.191,,Bryan Sellers,0:01:21.724,GTD,,Paul Miller Racing,Lamborghini,GF,
1,1,2,1:48.179,2,,25.430,0,41.331,2,41.418,2,182.1,5:15.962,12:20:15.962,0:25.430,0:41.331,0:41.418,,Bryan Sellers,,GTD,,Paul Miller Racing,Lamborghini,GF,
1,1,3,2:20.812,0,B,25.238,2,41.734,0,1:13.840,0,139.9,7:36.774,12:22:36.774,0:25.238,0:41.734,1:13.840,,Bryan Sellers,,GTD,,Paul Miller Racing,Lamborghini,GF,
12,2,1,8:48.417,0,,7:11.665,0,49.745,0,47.007,0,37.3,8:48.417,12:23:48.417,7:11.665,0:49.745,0:47.007,,Zach Veach,0:06:45.252,GTD,,Vasser Sullivan,Lexus,GF,
12,2,2,1:45.836,0,,25.199,0,39.706,0,40.931,2,186.1,10:34.253,12:25:34.253,0:25.199,0:39.706,0:40.931,,Zach Veach,,GTD,,Vasser Sullivan,Lexus,GF,
12,2,3,1:45.363,2,,24.854,2,39.571,2,40.938,0,187.0,12:19.616,12:27:19.616,0:24.854,0:39.571,0:40.938,,Zach Veach,,GTD,,Vasser Sullivan,Lexus,GF,
14,2,1,6:42.711,0,,5:16.392,0,43.233,0,43.086,0,48.9,6:42.711,12:21:42.711,5:16.392,0:43.233,0:43.086,,Jack Hawksworth,0:04:51.823,GTD,,Vasser Sullivan,Lexus,GF,
14,2,2,1:45.081,2,,24.960,0,39.498,2,40.623,2,187.5,8:27.792,12:23:27.792,0:24.960,0:39.498,0:40.623,,Jack Hawksworth,,GTD,,Vasser Sullivan,Lexus,GF,
14,2,3,7:35.057,0,B,24.936,2,43.869,0,6:26.252,0,43.3,16:02.849,12:31:02.849,0:24.936,0:43.869,6:26.252,,Jack Hawksworth,,GTD,,Vasser Sullivan,Lexus,FF,
16,1,1,4:16.885,0,,2:49.085,0,44.665,0,43.135,0,76.7,4:16.885,12:19:16.885,2:49.085,0:44.665,0:43.135,,Patrick Long,0:02:23.391,GTD,,Wright Motorsports,Porsche,GF,
