TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1632528916,25-Sep-21 00:15:16,71.99996,97.7,70,29.85197809,3.9,110,-1,
1632528981,25-Sep-21 00:16:21,72.10004,97.7,70,29.856998207,2.6,110,-1,
1632529041,25-Sep-21 00:17:21,72.19994,97.52,70,29.866152538,1.3,109,-1,
1632529102,25-Sep-21 00:18:22,72.60008,97.52,69,29.872058558,0,110,-1,
1632529162,25-Sep-21 00:19:22,72.80006,97.34,69,29.872058558,3.9,110,-1,
1632529222,25-Sep-21 00:20:22,73.09994,97.34,68,29.869991451,7.9,110,-1,
1632529282,25-Sep-21 00:21:22,73.20002,97.34,68,29.867038441,2.6,110,-1,
1632529342,25-Sep-21 00:22:22,73.50008,97.16,68,29.864085431,1.9,110,-1,
1632529402,25-Sep-21 00:23:22,73.70006,96.98,67,29.863199528,3.9,110,-1,
1632529462,25-Sep-21 00:24:22,73.70006,96.98,67,29.863199528,2.6,110,-1,
1632529522,25-Sep-21 00:25:22,73.70006,96.8,67,29.864085431,2.6,110,-1,
1632529582,25-Sep-21 00:26:22,73.70006,96.62,67,29.862018324,1.3,110,-1,
1632529642,25-Sep-21 00:27:22,73.70006,96.44,67,29.860246518,5.9,110,-1,
1632529702,25-Sep-21 00:28:22,73.70006,96.26,66,29.858179411,6.5,110,-1,
