NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,2,1,1:20.350,0,,31.405,0,30.670,0,18.275,0,161.4,1:20.350,12:08:30.364,0:31.405,0:30.670,0:18.275,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,2,1:17.363,0,,29.282,0,29.865,0,18.216,0,167.6,2:37.713,12:09:47.727,0:29.282,0:29.865,0:18.216,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,3,1:16.970,0,,28.938,2,29.911,0,18.121,0,168.5,3:54.683,12:11:04.697,0:28.938,0:29.911,0:18.121,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,4,1:16.944,0,,28.997,0,29.855,0,18.092,0,168.5,5:11.627,12:12:21.641,0:28.997,0:29.855,0:18.092,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,5,1:16.507,2,,28.951,0,29.569,2,17.987,2,169.5,6:28.134,12:13:38.148,0:28.951,0:29.569,0:17.987,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,6,1:16.937,0,,28.961,0,29.643,0,18.333,0,168.5,7:45.071,12:14:55.085,0:28.961,0:29.643,0:18.333,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,7,1:19.650,0,,29.309,0,31.504,0,18.837,0,162.8,9:04.721,12:16:14.735,0:29.309,0:31.504,0:18.837,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,8,2:05.456,0,,30.064,0,1:14.352,0,21.040,0,103.4,11:10.177,12:18:20.191,0:30.064,1:14.352,0:21.040,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,9,37:11.783,0,B,32.074,0,33.963,0,36:05.746,0,5.8,48:21.960,12:55:31.974,0:32.074,0:33.963,36:05.746,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,FCY,
01,2,10,1:41.840,0,,41.759,0,39.952,0,20.129,0,127.3,50:03.800,12:57:13.814,0:41.759,0:39.952,0:20.129,,Sebastien Bourdais,0:35:55.875,DPi,,Cadillac Racing,Cadillac,GF,
02,2,1,1:19.674,0,,31.147,0,30.426,0,18.101,0,162.7,1:19.674,12:08:29.688,0:31.147,0:30.426,0:18.101,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,2,1:16.958,0,,29.160,0,29.677,0,18.121,0,168.5,2:36.632,12:09:46.646,0:29.160,0:29.677,0:18.121,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,3,1:16.768,0,,29.035,0,29.600,0,18.133,0,168.9,3:53.400,12:11:03.414,0:29.035,0:29.600,0:18.133,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,4,1:16.709,0,,29.195,0,29.458,0,18.056,0,169.0,5:10.109,12:12:20.123,0:29.195,0:29.458,0:18.056,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,5,1:16.608,0,,28.912,0,29.638,0,18.058,0,169.3,6:26.717,12:13:36.731,0:28.912,0:29.638,0:18.058,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,6,1:17.041,0,,28.900,0,29.624,0,18.517,0,168.3,7:43.758,12:14:53.772,0:28.900,0:29.624,0:18.517,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,7,1:16.660,0,,29.008,0,29.396,0,18.256,0,169.1,9:00.418,12:16:10.432,0:29.008,0:29.396,0:18.256,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,8,1:20.523,0,,30.240,0,30.210,0,20.073,0,161.0,10:20.941,12:17:30.955,0:30.240,0:30.210,0:20.073,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,9,1:20.900,0,,30.415,0,31.599,0,18.886,0,160.3,11:41.841,12:18:51.855,0:30.415,0:31.599,0:18.886,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,10,1:20.254,0,,30.521,0,30.940,0,18.793,0,161.6,13:02.095,12:20:12.109,0:30.521,0:30.940,0:18.793,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,11,1:19.119,0,,29.257,0,30.855,0,19.007,0,163.9,14:21.214,12:21:31.228,0:29.257,0:30.855,0:19.007,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,12,1:18.797,0,,30.198,0,30.444,0,18.155,0,164.6,15:40.011,12:22:50.025,0:30.198,0:30.444,0:18.155,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,13,1:17.197,0,,29.235,0,29.840,0,18.122,0,168.0,16:57.208,12:24:07.222,0:29.235,0:29.840,0:18.122,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,14,1:17.700,0,,29.175,0,30.064,0,18.461,0,166.9,18:14.908,12:25:24.922,0:29.175,0:30.064,0:18.461,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,15,1:17.195,0,,29.055,0,29.833,0,18.307,0,168.0,19:32.103,12:26:42.117,0:29.055,0:29.833,0:18.307,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,16,1:18.701,0,,29.782,0,30.749,0,18.170,0,164.8,20:50.804,12:28:00.818,0:29.782,0:30.749,0:18.170,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,17,1:18.016,0,,29.405,0,29.965,0,18.646,0,166.2,22:08.820,12:29:18.834,0:29.405,0:29.965,0:18.646,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,18,1:18.476,0,,30.238,0,29.889,0,18.349,0,165.2,23:27.296,12:30:37.310,0:30.238,0:29.889,0:18.349,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,19,1:19.419,0,,30.046,0,30.906,0,18.467,0,163.3,24:46.715,12:31:56.729,0:30.046,0:30.906,0:18.467,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,20,1:20.834,0,,30.628,0,31.289,0,18.917,0,160.4,26:07.549,12:33:17.563,0:30.628,0:31.289,0:18.917,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,21,1:20.876,0,,30.474,0,32.020,0,18.382,0,160.3,27:28.425,12:34:38.439,0:30.474,0:32.020,0:18.382,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,22,1:19.017,0,,29.606,0,30.421,0,18.990,0,164.1,28:47.442,12:35:57.456,0:29.606,0:30.421,0:18.990,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,23,1:18.428,0,,29.598,0,30.560,0,18.270,0,165.3,30:05.870,12:37:15.884,0:29.598,0:30.560,0:18.270,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,24,1:18.015,0,,29.692,0,30.063,0,18.260,0,166.2,31:23.885,12:38:33.899,0:29.692,0:30.063,0:18.260,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,25,1:34.097,0,,31.406,0,37.124,0,25.567,0,137.8,32:57.982,12:40:07.996,0:31.406,0:37.124,0:25.567,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,FCY,
02,2,26,2:29.133,0,,52.549,0,1:03.170,0,33.414,0,86.9,35:27.115,12:42:37.129,0:52.549,1:03.170,0:33.414,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,FCY,
02,2,27,3:17.368,0,B,59.373,0,59.054,0,1:18.941,0,65.7,38:44.483,12:45:54.497,0:59.373,0:59.054,1:18.941,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,FCY,
02,2,28,1:54.496,0,,50.534,0,40.562,0,23.400,0,113.2,40:38.979,12:47:48.993,0:50.534,0:40.562,0:23.400,,Alex Lynn,0:01:01.049,DPi,,Cadillac Racing,Cadillac,FCY,
02,2,29,2:11.503,0,,45.897,0,54.414,0,31.192,0,98.6,42:50.482,12:50:00.496,0:45.897,0:54.414,0:31.192,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,FCY,
02,2,30,2:28.251,0,B,52.583,0,51.734,0,43.934,0,87.5,45:18.733,12:52:28.747,0:52.583,0:51.734,0:43.934,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,FCY,
02,2,31,2:24.517,0,,1:02.650,0,51.988,0,29.879,0,89.7,47:43.250,12:54:53.264,1:02.650,0:51.988,0:29.879,,Alex Lynn,0:00:53.742,DPi,,Cadillac Racing,Cadillac,FCY,
02,2,32,1:59.804,0,,42.715,0,54.920,0,22.169,0,108.2,49:43.054,12:56:53.068,0:42.715,0:54.920,0:22.169,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,33,1:18.561,0,,29.838,0,30.475,0,18.248,0,165.0,51:01.615,12:58:11.629,0:29.838,0:30.475,0:18.248,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,34,1:16.927,0,,29.091,0,29.786,0,18.050,0,168.6,52:18.542,12:59:28.556,0:29.091,0:29.786,0:18.050,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,35,1:16.544,0,,29.083,0,29.597,0,17.864,0,169.4,53:35.086,13:00:45.100,0:29.083,0:29.597,0:17.864,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,36,1:16.390,0,,29.076,0,29.403,0,17.911,0,169.7,54:51.476,13:02:01.490,0:29.076,0:29.403,0:17.911,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,37,1:16.551,0,,28.772,0,29.869,0,17.910,0,169.4,56:08.027,13:03:18.041,0:28.772,0:29.869,0:17.910,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,38,1:16.152,0,,28.759,1,29.452,0,17.941,0,170.3,57:24.179,13:04:34.193,0:28.759,0:29.452,0:17.941,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,39,1:19.469,0,,29.702,0,30.733,0,19.034,0,163.2,58:43.648,13:05:53.662,0:29.702,0:30.733,0:19.034,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,40,1:18.544,0,,29.206,0,29.909,0,19.429,0,165.1,1:00:02.192,13:07:12.206,0:29.206,0:29.909,0:19.429,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,41,1:18.656,0,,29.246,0,30.563,0,18.847,0,164.8,1:01:20.848,13:08:30.862,0:29.246,0:30.563,0:18.847,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,42,1:18.843,0,,30.323,0,30.391,0,18.129,0,164.5,1:02:39.691,13:09:49.705,0:30.323,0:30.391,0:18.129,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,43,1:16.803,0,,29.218,0,29.646,0,17.939,0,168.8,1:03:56.494,13:11:06.508,0:29.218,0:29.646,0:17.939,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,44,1:15.891,2,,28.791,0,29.267,1,17.833,2,170.9,1:05:12.385,13:12:22.399,0:28.791,0:29.267,0:17.833,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,45,1:16.599,0,,29.036,0,29.523,0,18.040,0,169.3,1:06:28.984,13:13:38.998,0:29.036,0:29.523,0:18.040,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,46,1:16.644,0,,28.961,0,29.551,0,18.132,0,169.2,1:07:45.628,13:14:55.642,0:28.961,0:29.551,0:18.132,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,47,1:18.463,0,,29.304,0,30.607,0,18.552,0,165.3,1:09:04.091,13:16:14.105,0:29.304,0:30.607,0:18.552,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,48,1:17.066,0,,29.343,0,29.719,0,18.004,0,168.2,1:10:21.157,13:17:31.171,0:29.343,0:29.719,0:18.004,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
