POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,02,10,1:21.075,-,-,167.9,11,Cadillac Racing,DPi,,,Cadillac DPi,M,1549,339,27,49,7646,3,,12877,,Cadillac Accessories,Earl,Bamber,Platinum,,NZL,,651,1,Platinum,,,Alex,Lynn,Platinum,,GBR,,1313,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,11,1:21.381,+0.306,+0.306,167.3,12,Konica Minolta Acura ARX-05,DPi,,,Acura DPi,M,948,81,27,65,7641,3,,12874,,Konica Minolta,Ricky,Taylor,Platinum,,USA,,608,1,Platinum,,,Filipe,Albuquerque,Platinum,,PRT,,1194,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,8,1:21.474,+0.399,+0.093,167.1,12,Whelen Engineering Racing,DPi,,,Cadillac DPi,M,741,159,27,49,7646,3,,12872,,Whelen Engineering,Olivier,Pla,Platinum,,FRA,,300,1,Platinum,,,Pipo,Derani,Platinum,,BRA,,1083,3,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,01,13,1:21.522,+0.447,+0.048,167.0,13,Cadillac Racing,DPi,,,Cadillac DPi,M,943,339,27,49,7646,3,,12876,,Cadillac V-Performance Academy,Renger,van der Zande,Gold,,NLD,,1998,1,Gold,,,Sebastien,Bourdais,Platinum,,FRA,,602,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,12,1:21.970,+0.895,+0.448,166.1,14,JDC Miller MotorSports,DPi,,,Cadillac DPi,M,758,270,27,49,7646,3,,12873,,Mustang Sampling / Cadillac / Galp / Misahara,Tristan,Vautier,Gold,,FRA,,635,1,Gold,,,Richard,Westbrook,Platinum,,GBR,,2688,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,60,13,1:22.673,+1.598,+0.703,164.7,13,Meyer Shank Racing W/Curb-Agajanian,DPi,,,Acura DPi,M,947,3,27,65,7641,3,,12875,,AutoNation / SiriusXM / Arctic Wolf,Oliver,Jarvis,Platinum,,GBR,,1999,1,Platinum,,,Tom,Blomqvist,Platinum,,MCO,,1718,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27,11,1:29.528,+8.453,+6.855,152.1,12,Heart of Racing Team,GTD,,,Aston Martin Vantage GT3,M,1510,294,4,18,73,3,,12882,,,Roman,De Angelis,Silver,,CAN,,1379,1,Silver,,,Ross,Gunn,Gold,,GBR,,1905,4,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17,10,1:29.563,+8.488,+0.035,152.0,10,VasserSullivan,GTD,,,Lexus RC F GT3,M,1822,336,4,46,7644,3,,12886,,,Ben,Barnicoat,Platinum,,GBR,,2620,2,Platinum,,,Kyle,Kirkwood,Silver,,USA,,1755,3,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,12,1:29.601,+8.526,+0.038,152.0,12,VasserSullivan,GTD,,,Lexus RC F GT3,M,931,336,4,46,7644,3,,12879,,,Frankie,Montecalvo,Silver,,USA,,1279,1,Silver,,,Aaron,Telitz,Gold,,USA,,2230,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,39,12,1:30.184,+9.109,+0.583,151.0,12,CarBahn with Peregrine Racing,GTD,,,Lamborghini Huracan GT3,M,1540,378,4,13,1609,3,,12887,,Accel / Menlo / DataRobot / Palantir / SailPoint / Optimizely,Robert,Megennis,Silver,,USA,,2412,1,Silver,,,Jeff,Westphal,Gold,,USA,,682,4,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
