TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1657921210,15-Jul-22 21:40:10,82.59998,116.00006,40,30.076111549,1.9,320,-1,
1657921270,15-Jul-22 21:41:10,82.50008,114.99998,40,30.075225646,1.3,320,-1,
1657921330,15-Jul-22 21:42:10,82.59998,114.99998,40,30.074044442,1.9,248,-1,
1657921390,15-Jul-22 21:43:10,82.50008,116.00006,39,30.075225646,1.3,248,-1,
1657921450,15-Jul-22 21:44:10,82.59998,116.99996,39,30.075225646,1.3,248,-1,
1657921511,15-Jul-22 21:45:11,82.59998,114.99998,40,30.075225646,1.3,280,-1,
1657921571,15-Jul-22 21:46:11,82.59998,116.99996,43,30.074044442,1.3,345,-1,
1657921636,15-Jul-22 21:47:16,82.59998,116.99996,40,30.073158539,5.9,5,-1,
1657921696,15-Jul-22 21:48:16,82.59998,114.00008,41,30.074044442,0,292,-1,
1657921756,15-Jul-22 21:49:16,82.59998,113,41,30.074044442,0,292,-1,
1657921816,15-Jul-22 21:50:16,82.70006,113,41,30.074044442,0.6,281,-1,
1657921876,15-Jul-22 21:51:16,82.70006,113,41,30.074044442,1.9,280,-1,
1657921936,15-Jul-22 21:52:16,82.70006,113,40,30.076111549,0,280,-1,
1657921996,15-Jul-22 21:53:16,82.70006,114.00008,40,30.076111549,0,280,-1,
1657922056,15-Jul-22 21:54:16,82.70006,114.00008,41,30.075225646,2.6,330,-1,
