NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,2,1,2:42.869,0,B,32.358,0,1:15.580,0,54.931,0,144.0,2:42.869,11:07:42.869,0:32.358,1:15.580,0:54.931,,Sebastien Bourdais,0:00:15.776,DPi,,Cadillac Racing,Cadillac,GF,
01,2,2,9:13.328,0,,7:30.074,0,1:09.162,0,34.092,0,42.4,11:56.197,11:16:56.197,7:30.074,1:09.162,0:34.092,,Sebastien Bourdais,0:07:34.994,DPi,,Cadillac Racing,Cadillac,GF,
01,2,3,1:51.095,2,,13.768,0,1:04.360,0,32.967,2,211.1,13:47.292,11:18:47.292,0:13.768,1:04.360,0:32.967,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,4,1:51.950,0,,13.582,0,1:04.240,0,34.128,0,209.5,15:39.242,11:20:39.242,0:13.582,1:04.240,0:34.128,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,5,1:56.350,0,,13.768,0,1:08.161,0,34.421,0,201.6,17:35.592,11:22:35.592,0:13.768,1:08.161,0:34.421,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,6,2:14.686,0,B,14.520,0,1:08.528,0,51.638,0,174.1,19:50.278,11:24:50.278,0:14.520,1:08.528,0:51.638,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,7,9:42.331,0,,7:48.896,0,1:16.373,0,37.062,0,40.3,29:32.609,11:34:32.609,7:48.896,1:16.373,0:37.062,,Sebastien Bourdais,0:07:54.649,DPi,,Cadillac Racing,Cadillac,GF,
01,2,8,1:51.199,0,,13.506,0,1:03.990,0,33.703,0,210.9,31:23.808,11:36:23.808,0:13.506,1:03.990,0:33.703,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,9,1:57.509,0,,13.758,0,1:09.429,0,34.322,0,199.6,33:21.317,11:38:21.317,0:13.758,1:09.429,0:34.322,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,10,2:10.131,0,B,13.545,0,1:06.149,0,50.437,0,180.2,35:31.448,11:40:31.448,0:13.545,1:06.149,0:50.437,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,11,13:02.116,0,B,10:32.868,0,1:24.399,0,1:04.849,0,30.0,48:33.564,11:53:33.564,10:32.868,1:24.399,1:04.849,,Sebastien Bourdais,0:10:38.017,DPi,,Cadillac Racing,Cadillac,RF,
01,2,12,3:58.487,0,,2:16.621,0,1:07.822,0,34.044,0,98.3,52:32.051,11:57:32.051,2:16.621,1:07.822,0:34.044,,Sebastien Bourdais,0:02:22.076,DPi,,Cadillac Racing,Cadillac,GF,
01,2,13,1:55.265,0,,13.868,0,1:04.322,0,37.075,0,203.5,54:27.316,11:59:27.316,0:13.868,1:04.322,0:37.075,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,14,1:50.377,0,,13.459,2,1:03.470,4,33.448,0,212.5,56:17.693,12:01:17.693,0:13.459,1:03.470,0:33.448,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,RF,
01,2,15,2:28.656,0,B,15.309,0,1:14.009,0,59.338,0,157.8,58:46.349,12:03:46.349,0:15.309,1:14.009,0:59.338,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,RF,
01,1,16,6:58.359,0,,5:11.344,0,1:09.259,0,37.756,0,56.1,1:05:44.708,12:10:44.708,5:11.344,1:09.259,0:37.756,,Renger van der Zande,0:05:16.127,DPi,,Cadillac Racing,Cadillac,GF,
01,1,17,1:52.818,0,,13.735,0,1:05.286,0,33.797,1,207.9,1:07:37.526,12:12:37.526,0:13.735,1:05.286,0:33.797,,Renger van der Zande,,DPi,,Cadillac Racing,Cadillac,GF,
01,1,18,2:07.641,0,B,13.691,1,1:04.536,1,49.414,0,183.7,1:09:45.167,12:14:45.167,0:13.691,1:04.536,0:49.414,,Renger van der Zande,,DPi,,Cadillac Racing,Cadillac,GF,
02,1,1,3:23.364,0,B,58.004,0,1:28.984,0,56.376,0,115.3,3:23.364,11:08:23.364,0:58.004,1:28.984,0:56.376,,Earl Bamber,0:00:38.917,DPi,,Cadillac Racing,Cadillac,GF,
02,1,2,8:40.989,0,,5:15.713,0,2:50.192,0,35.084,0,45.0,12:04.353,11:17:04.353,5:15.713,2:50.192,0:35.084,,Earl Bamber,0:05:20.090,DPi,,Cadillac Racing,Cadillac,GF,
02,1,3,1:54.448,0,,13.810,0,1:06.389,0,34.249,0,204.9,13:58.801,11:18:58.801,0:13.810,1:06.389,0:34.249,,Earl Bamber,,DPi,,Cadillac Racing,Cadillac,GF,
02,1,4,1:51.712,0,,13.518,0,1:04.772,0,33.422,0,209.9,15:50.513,11:20:50.513,0:13.518,1:04.772,0:33.422,,Earl Bamber,,DPi,,Cadillac Racing,Cadillac,GF,
02,1,5,1:51.122,0,,13.460,0,1:04.184,0,33.478,0,211.1,17:41.635,11:22:41.635,0:13.460,1:04.184,0:33.478,,Earl Bamber,,DPi,,Cadillac Racing,Cadillac,GF,
02,1,6,1:55.014,0,,13.539,0,1:06.107,0,35.368,0,203.9,19:36.649,11:24:36.649,0:13.539,1:06.107,0:35.368,,Earl Bamber,,DPi,,Cadillac Racing,Cadillac,GF,
02,1,7,2:10.503,0,B,13.493,0,1:06.490,0,50.520,0,179.7,21:47.152,11:26:47.152,0:13.493,1:06.490,0:50.520,,Earl Bamber,,DPi,,Cadillac Racing,Cadillac,GF,
02,1,8,13:02.047,0,,11:21.263,0,1:07.276,0,33.508,0,30.0,34:49.199,11:39:49.199,11:21.263,1:07.276,0:33.508,,Earl Bamber,0:11:26.795,DPi,,Cadillac Racing,Cadillac,GF,
