TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1687694409,25-Jun-23 12:00:09,66.50006,69.08,89,29.807978241,0,322,-1,
1687694469,25-Jun-23 12:01:09,66.50006,69.08,89,29.807978241,0,322,-1,
1687694529,25-Jun-23 12:02:09,66.59996,69.08,89,29.807978241,0,311,-1,
1687694589,25-Jun-23 12:03:09,66.50006,69.08,89,29.806206435,0,311,-1,
1687694649,25-Jun-23 12:04:09,66.59996,69.08,89,29.806206435,1.3,312,-1,
1687694709,25-Jun-23 12:05:09,66.59996,69.08,89,29.807978241,0.6,265,-1,
1687694769,25-Jun-23 12:06:09,66.59996,69.26,89,29.807978241,3.9,270,-1,
1687694829,25-Jun-23 12:07:09,66.59996,69.26,89,29.806206435,1.9,251,-1,
1687694889,25-Jun-23 12:08:09,66.59996,69.26,89,29.806206435,1.3,252,-1,
1687694950,25-Jun-23 12:09:10,66.70004,69.26,89,29.805025231,0,304,-1,
1687695015,25-Jun-23 12:10:15,66.70004,69.26,90,29.805025231,1.9,301,-1,
1687695075,25-Jun-23 12:11:15,66.70004,69.44,89,29.805025231,0,300,-1,
1687695135,25-Jun-23 12:12:15,66.70004,69.44,89,29.805025231,0.6,300,-1,
1687695195,25-Jun-23 12:13:15,66.79994,69.62,90,29.804139328,0,300,-1,
1687695255,25-Jun-23 12:14:15,66.79994,69.62,90,29.805025231,0,300,-1,
1687695315,25-Jun-23 12:15:15,66.79994,69.44,89,29.804139328,1.9,317,-1,
1687695375,25-Jun-23 12:16:15,66.90002,69.44,89,29.804139328,1.3,327,-1,
1687695435,25-Jun-23 12:17:15,66.79994,69.62,89,29.805025231,1.3,305,-1,
1687695495,25-Jun-23 12:18:15,66.79994,69.62,89,29.803253425,2.6,301,-1,
1687695556,25-Jun-23 12:19:16,66.79994,69.62,89,29.805025231,1.9,311,-1,
