TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1706195152,25-Jan-24 15:05:52,75.99992,82.76,79,30.192164842,3.2,211,-1,
1706195212,25-Jan-24 15:06:52,75.99992,82.76,79,30.192164842,0.6,229,-1,
1706195272,25-Jan-24 15:07:52,76.1,83.12,79,30.193050745,1.3,32,-1,
1706195332,25-Jan-24 15:08:52,76.1,83.3,79,30.190983638,1.9,319,-1,
1706195392,25-Jan-24 15:09:52,76.29998,83.48,79,30.190983638,0.6,328,-1,
1706195457,25-Jan-24 15:10:57,76.40006,83.66,79,30.190983638,1.9,235,-1,
1706195517,25-Jan-24 15:11:57,76.49996,84.02,78,30.193050745,2.6,240,-1,
1706195582,25-Jan-24 15:13:02,76.60004,84.02,78,30.195117852,1.9,216,-1,
1706195642,25-Jan-24 15:14:02,76.69994,84.02,78,30.193050745,1.3,339,-1,
1706195702,25-Jan-24 15:15:02,76.80002,84.2,77,30.194231949,2.6,355,-1,
1706195767,25-Jan-24 15:16:07,76.80002,84.56,77,30.193050745,2.6,229,-1,
1706195832,25-Jan-24 15:17:12,76.89992,84.74,77,30.194231949,2.6,224,-1,
1706195897,25-Jan-24 15:18:17,77,84.92,77,30.194231949,1.9,243,-1,
1706195957,25-Jan-24 15:19:17,77.19998,85.28,77,30.194231949,1.9,323,-1,
1706196022,25-Jan-24 15:20:22,77.30006,85.46,77,30.193050745,2.6,323,-1,
1706196087,25-Jan-24 15:21:27,77.39996,85.64,76,30.194231949,2.6,260,-1,
1706196147,25-Jan-24 15:22:27,77.50004,86,76,30.192164842,1.9,241,-1,
1706196212,25-Jan-24 15:23:32,77.50004,86.18,76,30.192164842,0.6,226,-1,
1706196272,25-Jan-24 15:24:32,77.59994,86.18,76,30.192164842,3.9,23,-1,
1706196337,25-Jan-24 15:25:37,77.70002,86.18,76,30.192164842,1.9,331,-1,
1706196402,25-Jan-24 15:26:42,77.79992,86.36,76,30.190983638,1.3,286,-1,
1706196467,25-Jan-24 15:27:47,77.9,86.54,76,30.192164842,1.9,224,-1,
1706196532,25-Jan-24 15:28:52,77.9,86.72,75,30.192164842,1.9,235,-1,
1706196592,25-Jan-24 15:29:52,78.09998,86.9,75,30.193050745,1.9,273,-1,
1706196652,25-Jan-24 15:30:52,78.20006,87.08,74,30.194231949,3.2,228,-1,
1706196717,25-Jan-24 15:31:57,78.20006,87.08,74,30.193050745,1.9,229,-1,
1706196782,25-Jan-24 15:33:02,78.29996,87.08,74,30.193050745,1.9,223,-1,
1706196847,25-Jan-24 15:34:07,78.40004,87.44,74,30.195117852,1.3,26,-1,
1706196907,25-Jan-24 15:35:07,78.49994,87.62,74,30.194231949,2.6,351,-1,
1706196972,25-Jan-24 15:36:12,78.60002,87.44,74,30.193050745,0.6,321,-1,
1706197037,25-Jan-24 15:37:17,78.8,87.62,74,30.193050745,1.9,347,-1,
1706197097,25-Jan-24 15:38:17,78.90008,87.98,73,30.193050745,1.9,13,-1,
1706197157,25-Jan-24 15:39:17,78.99998,87.98,73,30.192164842,1.9,37,-1,
1706197222,25-Jan-24 15:40:22,79.10006,87.62,72,30.193050745,1.9,257,-1,
1706197282,25-Jan-24 15:41:22,79.19996,87.62,72,30.193050745,3.2,348,-1,
