NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,1,1,18:03.491,0,,16:42.857,0,51.366,0,29.268,0,19.0,18:03.491,14:28:03.491,16:42.857,0:51.366,0:29.268,,Alex Palou,0:16:24.111,GTP,,Cadillac Racing,Cadillac,GF,
01,1,2,2:35.894,0,B,24.377,0,46.309,0,1:25.208,0,132.3,20:39.385,14:30:39.385,0:24.377,0:46.309,1:25.208,,Alex Palou,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,3,2:17.335,0,B,48.546,0,47.028,0,41.761,0,150.2,22:56.720,14:32:56.720,0:48.546,0:47.028,0:41.761,,Renger van der Zande,0:01:29.086,GTP,,Cadillac Racing,Cadillac,GF,
01,2,4,2:07.426,0,,52.742,0,46.151,0,28.533,0,161.9,25:04.146,14:35:04.146,0:52.742,0:46.151,0:28.533,,Renger van der Zande,0:00:49.841,GTP,,Cadillac Racing,Cadillac,GF,
01,2,5,1:37.532,0,,24.246,0,45.382,0,27.904,0,211.5,26:41.678,14:36:41.678,0:24.246,0:45.382,0:27.904,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,6,1:37.071,0,,23.640,0,45.626,0,27.805,0,212.5,28:18.749,14:38:18.749,0:23.640,0:45.626,0:27.805,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,7,1:35.670,0,,23.232,1,44.932,1,27.506,0,215.6,29:54.419,14:39:54.419,0:23.232,0:44.932,0:27.506,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,8,1:36.103,0,,23.407,0,45.120,0,27.576,0,214.6,31:30.522,14:41:30.522,0:23.407,0:45.120,0:27.576,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,9,1:37.997,0,,23.479,0,45.900,0,28.618,0,210.5,33:08.519,14:43:08.519,0:23.479,0:45.900,0:28.618,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,10,1:35.888,0,,23.275,0,45.027,0,27.586,0,215.1,34:44.407,14:44:44.407,0:23.275,0:45.027,0:27.586,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,11,1:37.433,0,,23.400,0,46.059,0,27.974,0,211.7,36:21.840,14:46:21.840,0:23.400,0:46.059,0:27.974,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,12,1:37.804,0,,23.853,0,46.135,0,27.816,0,210.9,37:59.644,14:47:59.644,0:23.853,0:46.135,0:27.816,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,13,1:38.858,0,,24.676,0,46.535,0,27.647,0,208.6,39:38.502,14:49:38.502,0:24.676,0:46.535,0:27.647,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,14,1:37.284,0,,23.602,0,46.040,0,27.642,0,212.0,41:15.786,14:51:15.786,0:23.602,0:46.040,0:27.642,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,15,1:36.944,0,,23.862,0,45.483,0,27.599,0,212.8,42:52.730,14:52:52.730,0:23.862,0:45.483,0:27.599,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,16,1:36.188,0,,23.446,0,45.311,0,27.431,2,214.4,44:28.918,14:54:28.918,0:23.446,0:45.311,0:27.431,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,17,1:37.143,0,,23.954,0,45.586,0,27.603,0,212.3,46:06.061,14:56:06.061,0:23.954,0:45.586,0:27.603,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,18,1:36.505,0,,23.609,0,45.445,0,27.451,0,213.7,47:42.566,14:57:42.566,0:23.609,0:45.445,0:27.451,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,19,1:37.284,0,,24.263,0,45.492,0,27.529,0,212.0,49:19.850,14:59:19.850,0:24.263,0:45.492,0:27.529,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,20,7:49.302,0,B,23.913,0,45.740,0,6:39.649,0,43.9,57:09.152,15:07:09.152,0:23.913,0:45.740,6:39.649,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,21,2:02.525,0,,47.975,0,46.709,0,27.841,0,168.3,59:11.677,15:09:11.677,0:47.975,0:46.709,0:27.841,,Renger van der Zande,0:06:42.122,GTP,,Cadillac Racing,Cadillac,GF,
01,2,22,1:38.292,0,,24.302,0,45.917,0,28.073,0,209.8,1:00:49.969,15:10:49.969,0:24.302,0:45.917,0:28.073,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,23,1:37.900,0,,24.187,0,45.849,0,27.864,0,210.7,1:02:27.869,15:12:27.869,0:24.187,0:45.849,0:27.864,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,24,1:40.186,0,,24.016,0,46.252,0,29.918,0,205.9,1:04:08.055,15:14:08.055,0:24.016,0:46.252,0:29.918,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,25,1:38.481,0,,24.264,0,46.155,0,28.062,0,209.4,1:05:46.536,15:15:46.536,0:24.264,0:46.155,0:28.062,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,26,1:37.979,0,,23.963,0,45.872,0,28.144,0,210.5,1:07:24.515,15:17:24.515,0:23.963,0:45.872,0:28.144,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,27,1:39.775,0,,24.813,0,46.557,0,28.405,0,206.7,1:09:04.290,15:19:04.290,0:24.813,0:46.557,0:28.405,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,28,1:38.284,0,,24.035,0,46.422,0,27.827,0,209.9,1:10:42.574,15:20:42.574,0:24.035,0:46.422,0:27.827,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,29,1:38.150,0,,23.896,0,46.071,0,28.183,0,210.1,1:12:20.724,15:22:20.724,0:23.896,0:46.071,0:28.183,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,30,1:37.255,0,,23.713,0,45.667,0,27.875,0,212.1,1:13:57.979,15:23:57.979,0:23.713,0:45.667,0:27.875,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
01,2,31,3:07.242,0,B,24.444,0,48.930,0,1:53.868,0,110.2,1:17:05.221,15:27:05.221,0:24.444,0:48.930,1:53.868,,Renger van der Zande,,GTP,,Cadillac Racing,Cadillac,GF,
