TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1722720065,8/3/2024 9:21:05 PM,83.19992,97.7,57,29.880031685,2.6,90,-1,
1722720125,8/3/2024 9:22:05 PM,83.19992,97.52,57,29.880031685,1.3,189,-1,
1722720185,8/3/2024 9:23:05 PM,83.19992,97.34,57,29.880031685,0,186,-1,
1722720250,8/3/2024 9:24:10 PM,83.3,96.98,57,29.879145782,2.6,130,-1,
1722720310,8/3/2024 9:25:10 PM,83.3,96.98,57,29.875011568,1.3,67,-1,
1722720370,8/3/2024 9:26:10 PM,83.3,96.8,58,29.875011568,0.6,46,-1,
1722720430,8/3/2024 9:27:10 PM,83.40008,96.62,58,29.875011568,1.3,181,-1,
1722720495,8/3/2024 9:28:15 PM,83.49998,96.44,58,29.874125665,1.9,220,-1,
1722720555,8/3/2024 9:29:15 PM,83.60006,96.26,57,29.873239762,2.6,118,-1,
1722720615,8/3/2024 9:30:15 PM,83.60006,96.26,57,29.871172655,1.9,109,-1,
1722720675,8/3/2024 9:31:15 PM,83.69996,96.08,57,29.871172655,1.9,117,-1,
1722720735,8/3/2024 9:32:15 PM,83.60006,95.9,57,29.869105548,2.6,111,-1,
1722720795,8/3/2024 9:33:15 PM,83.60006,95.72,58,29.868219645,3.2,159,-1,
1722720860,8/3/2024 9:34:20 PM,83.60006,95.72,56,29.867038441,3.2,170,-1,
1722720920,8/3/2024 9:35:20 PM,83.60006,95.54,56,29.868219645,1.9,186,-1,
1722720980,8/3/2024 9:36:20 PM,83.49998,95.36,57,29.866152538,1.3,136,-1,
1722721040,8/3/2024 9:37:20 PM,83.49998,95.18,57,29.866152538,1.3,172,-1,
1722721105,8/3/2024 9:38:25 PM,83.40008,95.18,57,29.866152538,1.3,99,-1,
1722721170,8/3/2024 9:39:30 PM,83.40008,95,57,29.866152538,2.6,106,-1,
1722721235,8/3/2024 9:40:35 PM,83.40008,94.82,56,29.866152538,1.9,110,-1,
1722721300,8/3/2024 9:41:40 PM,83.40008,94.82,56,29.865266635,1.3,88,-1,
1722721360,8/3/2024 9:42:40 PM,83.3,94.64,56,29.866152538,1.9,81,-1,
1722721420,8/3/2024 9:43:40 PM,83.19992,94.46,56,29.866152538,1.3,112,-1,
1722721480,8/3/2024 9:44:40 PM,83.10002,94.46,57,29.865266635,3.9,109,-1,
1722721545,8/3/2024 9:45:45 PM,82.99994,94.46,57,29.866152538,1.3,123,-1,
