POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,01,Classified,443,10:00:36.290,-,-,236,1:12.321,203.5,Cadillac Racing,GTP,,,Cadillac V-Series.R,M,,,,,,,,,,,Scott,Dixon,Platinum,"Auckland, New Zealand",NZL,,,,,,,Sebastien,Bourdais,Platinum,"Le Mans, France",FRA,,,,,,,Renger,van der Zande,Platinum,"Amsterdam, Netherlands",NLD,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,Classified,443,10:00:39.238,+2.948,+2.948,355,1:12.496,203.0,Porsche Penske Motorsport,GTP,,,Porsche 963,M,,,,,,,,,,,Kevin,Estre,Platinum,"Lyon, France",FRA,,,,,,,Mathieu,Jaminet,Platinum,"Differdange, Luxembourg",LUX,,,,,,,Nick,Tandy,Platinum,"Bedford, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,Classified,443,10:00:50.122,+13.832,+10.884,2,1:12.476,203.0,Porsche Penske Motorsport,GTP,,,Porsche 963,M,,,,,,,,,,,Matt,Campbell,Platinum,"Warwick, Australia",AUS,,,,,,,Felipe,Nasr,Platinum,"Brasilia, Brazil",BRA,,,,,,,Dane,Cameron,Platinum,"Huntersville, NC",USA,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,Classified,442,10:00:45.294,1 Lap,1 Lap,418,1:12.505,203.0,BMW M Team RLL,GTP,,,BMW M Hybrid V8,M,,,,,,,,,,,Augusto,Farfus,Platinum,Monaco,MCO,,,,,,,Philipp,Eng,Platinum,"Sankt Lorenz, Austria",AUT,,,,,,,Jesse,Krohn,Gold,"Helsinki, Finland",FIN,,,,,,,,,,,,,,,,,,,,,,,,,
5,31,Classified,442,10:01:29.054,1 Lap,+43.760,418,1:12.420,203.2,Whelen Cadillac Racing,GTP,,,Cadillac V-Series.R,M,,,,,,,,,,,Tom,Blomqvist,Platinum,"Monaco, Monaco",MCO,,,,,,,Jack,Aitken,Platinum,"London, United Kingdom",GBR,,,,,,,Pipo,Derani,Platinum,"São Paulo, Brazil",BRA,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,Classified,441,10:01:17.736,2 Laps,1 Lap,71,1:12.610,202.7,Proton Competition Mustang Sampling,GTP,,,Porsche 963,M,,,,,,,,,,,Alessio,Picariello,Gold,"Charleroi, Belgium",BEL,,,,,,,Bent,Viscaal,Gold,"Albergen, Netherlands.",NLD,,,,,,,Gianmaria,Bruni,Platinum,"Rome, Italy",ITA,,,,,,,,,,,,,,,,,,,,,,,,,
7,40,Classified,440,10:00:59.739,3 Laps,1 Lap,433,1:12.341,203.4,Wayne Taylor Racing with Andretti,GTP,,,Acura ARX-06,M,,,,,,,,,,,Colton,Herta,Gold,"Valencia, CA",USA,,,,,,,Louis,Deletraz,Gold,"Geneva, Switzerland",CHE,,,,,,,Jordan,Taylor,Platinum,"Orlando, FL",USA,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,Classified,435,10:01:12.942,8 Laps,5 Laps,381,1:13.369,200.6,TDS Racing,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Hunter,McElrea,Silver,"Gold Coast, Australia",AUS,,,,,,,Mikkel,Jensen,Platinum,"Aarhus, Denmark",DNK,,,,,,,Steven,Thomas,Bronze,"Carl Junction, MO",USA,,,,,,,,,,,,,,,,,,,,,,,,,
9,74,Classified,435,10:01:30.039,8 Laps,+17.097,425,1:13.598,199.9,Riley,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Josh,Burdon,Silver,"Hobart, Australia",AUS,,,,,,,Felipe,Fraga,Gold,"Palmas, Brazil",BRA,,,,,,,Gar,Robinson,Bronze,"Austin, TX",USA,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,Classified,435,10:01:37.959,8 Laps,+7.920,201,1:13.631,199.9,Era Motorsport,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Connor,Zilisch,Silver,"Mooresville, NC",USA,,,,,,,Ryan,Dalziel,Gold,"Glasgow, Scotland",GBR,,,,,,,Dwight,Merriman,Bronze,"Middletown, OH",USA,,,,,,,,,,,,,,,,,,,,,,,,,
