NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
04,1,1,2:21.937,0,,54.127,0,55.369,0,32.441,0,145.3,2:21.937,19:02:21.937,0:54.127,0:55.369,0:32.441,,George Kurtz,0:00:35.704,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,2,1:44.207,0,,25.258,0,48.244,0,30.705,0,197.9,4:06.144,19:04:06.144,0:25.258,0:48.244,0:30.705,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,3,1:45.438,0,,24.405,0,49.046,0,31.987,0,195.6,5:51.582,19:05:51.582,0:24.405,0:49.046,0:31.987,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,4,1:49.611,0,,31.052,0,48.198,0,30.361,0,188.2,7:41.193,19:07:41.193,0:31.052,0:48.198,0:30.361,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,5,1:43.569,0,,24.526,0,48.700,0,30.343,0,199.1,9:24.762,19:09:24.762,0:24.526,0:48.700,0:30.343,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,6,1:43.422,0,,24.553,0,48.408,0,30.461,0,199.4,11:08.184,19:11:08.184,0:24.553,0:48.408,0:30.461,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,7,1:44.244,0,,25.769,0,48.211,0,30.264,0,197.9,12:52.428,19:12:52.428,0:25.769,0:48.211,0:30.264,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,8,1:42.580,0,,24.484,0,47.850,0,30.246,0,201.1,14:35.008,19:14:35.008,0:24.484,0:47.850,0:30.246,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,9,1:44.568,0,,24.541,0,49.826,0,30.201,0,197.2,16:19.576,19:16:19.576,0:24.541,0:49.826,0:30.201,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,10,1:42.402,0,,24.491,0,47.758,0,30.153,1,201.4,18:01.978,19:18:01.978,0:24.491,0:47.758,0:30.153,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,11,1:42.159,0,,24.378,1,47.589,1,30.192,0,201.9,19:44.137,19:19:44.137,0:24.378,0:47.589,0:30.192,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,12,1:57.215,0,B,24.577,0,47.838,0,44.800,0,176.0,21:41.352,19:21:41.352,0:24.577,0:47.838,0:44.800,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,13,5:46.735,0,,3:57.152,0,1:17.846,0,31.737,0,59.5,27:28.087,19:27:28.087,3:57.152,1:17.846,0:31.737,,George Kurtz,0:03:52.148,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,14,1:59.311,0,B,25.584,0,48.845,0,44.882,0,172.9,29:27.398,19:29:27.398,0:25.584,0:48.845,0:44.882,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,15,3:10.125,0,,1:45.402,0,52.895,0,31.828,0,108.5,32:37.523,19:32:37.523,1:45.402,0:52.895,0:31.828,,George Kurtz,0:01:40.903,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,16,1:59.423,0,B,25.328,0,48.732,0,45.363,0,172.7,34:36.946,19:34:36.946,0:25.328,0:48.732,0:45.363,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,17,3:14.084,0,,1:51.030,0,51.929,0,31.125,0,106.3,37:51.030,19:37:51.030,1:51.030,0:51.929,0:31.125,,George Kurtz,0:01:46.245,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,1,18,1:58.754,0,B,25.162,0,49.171,0,44.421,0,173.7,39:49.784,19:39:49.784,0:25.162,0:49.171,0:44.421,,George Kurtz,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,3,19,11:33.198,0,,10:08.961,0,51.578,0,32.659,0,29.8,51:22.982,19:51:22.982,10:08.961,0:51.578,0:32.659,,Malthe Jakobsen,0:10:05.703,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,3,20,1:40.554,0,,24.205,0,46.997,0,29.352,0,205.1,53:03.536,19:53:03.536,0:24.205,0:46.997,0:29.352,,Malthe Jakobsen,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,3,21,1:38.950,2,,23.305,2,46.555,2,29.090,2,208.4,54:42.486,19:54:42.486,0:23.305,0:46.555,0:29.090,,Malthe Jakobsen,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,3,22,1:39.496,0,,23.512,0,46.765,0,29.219,0,207.3,56:21.982,19:56:21.982,0:23.512,0:46.765,0:29.219,,Malthe Jakobsen,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
04,3,23,1:39.214,0,,23.469,0,46.598,0,29.147,0,207.9,58:01.196,19:58:01.196,0:23.469,0:46.598,0:29.147,,Malthe Jakobsen,,LMP2,,CROWDSTRIKE RACING BY APR,Gibson,GF,
