NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
007,4,1,5:37.834,0,,4:03.702,0,58.729,0,35.403,0,61.1,5:37.834,11:05:37.834,4:03.702,0:58.729,0:35.403,,Ross Gunn,0:03:41.781,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,2,6:27.148,0,B,27.967,0,53.662,0,5:05.519,0,53.3,12:04.982,11:12:04.982,0:27.967,0:53.662,5:05.519,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,3,2:15.815,0,,50.600,0,52.553,0,32.662,0,151.9,14:20.797,11:14:20.797,0:50.600,0:52.553,0:32.662,,Ross Gunn,0:05:04.347,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,4,1:50.562,0,,25.782,0,51.285,0,33.495,0,186.6,16:11.359,11:16:11.359,0:25.782,0:51.285,0:33.495,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,5,27:58.398,0,B,25.727,0,51.406,0,26:41.265,0,12.3,44:09.757,11:44:09.757,0:25.727,0:51.406,26:41.265,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,6,2:16.492,0,,50.768,0,52.608,0,33.116,0,151.1,46:26.249,11:46:26.249,0:50.768,0:52.608,0:33.116,,Ross Gunn,0:26:40.841,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,7,1:49.043,0,,25.373,2,50.948,0,32.722,0,189.1,48:15.292,11:48:15.292,0:25.373,0:50.948,0:32.722,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,8,1:50.121,0,,25.494,0,51.072,0,33.555,0,187.3,50:05.413,11:50:05.413,0:25.494,0:51.072,0:33.555,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,9,1:48.735,0,,25.418,0,50.722,0,32.595,0,189.7,51:54.148,11:51:54.148,0:25.418,0:50.722,0:32.595,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,10,1:49.915,0,,25.433,0,51.230,0,33.252,0,187.6,53:44.063,11:53:44.063,0:25.433,0:51.230,0:33.252,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,11,1:48.985,0,,25.556,0,50.811,0,32.618,0,189.2,55:33.048,11:55:33.048,0:25.556,0:50.811,0:32.618,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,12,1:50.337,0,,25.908,0,51.368,0,33.061,0,186.9,57:23.385,11:57:23.385,0:25.908,0:51.368,0:33.061,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,13,1:48.723,2,,25.501,0,50.682,2,32.540,2,189.7,59:12.108,11:59:12.108,0:25.501,0:50.682,0:32.540,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,14,8:34.604,0,B,27.567,0,52.852,0,7:14.185,0,40.1,1:07:46.712,12:07:46.712,0:27.567,0:52.852,7:14.185,,Ross Gunn,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,4,15,2:14.431,0,,49.214,0,51.969,0,33.248,0,153.4,1:10:01.143,12:10:01.143,0:49.214,0:51.969,0:33.248,,Ross Gunn,0:07:12.497,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
021,1,1,9:21.232,0,B,7:25.345,0,1:04.045,0,51.842,0,36.8,9:21.232,11:09:21.232,7:25.345,1:04.045,0:51.842,,James Calado,0:07:02.238,GTD,,Triarsi Competizione,Ferrari,GF,
021,1,2,6:16.336,0,,4:47.607,0,54.932,0,33.797,0,54.8,15:37.568,11:15:37.568,4:47.607,0:54.932,0:33.797,,James Calado,0:04:42.230,GTD,,Triarsi Competizione,Ferrari,GF,
021,1,3,1:51.502,0,,26.118,0,52.177,0,33.207,0,185.0,17:29.070,11:17:29.070,0:26.118,0:52.177,0:33.207,,James Calado,,GTD,,Triarsi Competizione,Ferrari,GF,
021,1,4,1:49.297,2,,25.506,0,50.881,2,32.910,2,188.7,19:18.367,11:19:18.367,0:25.506,0:50.881,0:32.910,,James Calado,,GTD,,Triarsi Competizione,Ferrari,GF,
