TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,AIR_TEMP_UNIT,TRACK_TEMP_UNIT,PRESSURE_UNIT,WIND_SPEED_UNIT,
1768764622,1/18/2026 7:30:22 PM,49.600004,56.12,85,29.938205982,1.3,72,-1,ºF,ºF,inHg,MPH,
1768764687,1/18/2026 7:31:27 PM,49.699994,56.12,85,29.936138875,1.9,97,-1,ºF,ºF,inHg,MPH,
1768764752,1/18/2026 7:32:32 PM,49.800002,56.12,85,29.935252972,2.6,130,-1,ºF,ºF,inHg,MPH,
1768764817,1/18/2026 7:33:37 PM,49.699994,56.48,85,29.936138875,1.3,76,-1,ºF,ºF,inHg,MPH,
1768764882,1/18/2026 7:34:42 PM,49.800002,56.66,85,29.934071768,1.9,90,-1,ºF,ºF,inHg,MPH,
1768764947,1/18/2026 7:35:47 PM,49.800002,56.84,85,29.932004661,1.3,101,-1,ºF,ºF,inHg,MPH,
1768765007,1/18/2026 7:36:47 PM,49.800002,57.02,84,29.931118758,0.6,88,-1,ºF,ºF,inHg,MPH,
1768765067,1/18/2026 7:37:47 PM,49.90001,57.02,85,29.930232855,0.6,69,-1,ºF,ºF,inHg,MPH,
1768765132,1/18/2026 7:38:52 PM,49.90001,57.2,85,29.929051651,1.3,84,-1,ºF,ºF,inHg,MPH,
1768765192,1/18/2026 7:39:52 PM,50,57.38,85,29.929051651,1.3,107,-1,ºF,ºF,inHg,MPH,
1768765257,1/18/2026 7:40:57 PM,50.10008,57.38,85,29.929051651,0.6,122,-1,ºF,ºF,inHg,MPH,
1768765317,1/18/2026 7:41:57 PM,50.10008,57.38,85,29.928165748,0.6,127,-1,ºF,ºF,inHg,MPH,
1768765377,1/18/2026 7:42:57 PM,50.19998,57.56,85,29.928165748,1.3,96,-1,ºF,ºF,inHg,MPH,
1768765437,1/18/2026 7:43:57 PM,50.30006,57.56,85,29.929051651,1.3,116,-1,ºF,ºF,inHg,MPH,
1768765502,1/18/2026 7:45:02 PM,50.39996,57.38,85,29.928165748,0.6,96,-1,ºF,ºF,inHg,MPH,
1768765567,1/18/2026 7:46:07 PM,50.50004,57.38,85,29.930232855,1.9,102,-1,ºF,ºF,inHg,MPH,
1768765632,1/18/2026 7:47:12 PM,50.50004,57.56,85,29.926984544,1.3,88,-1,ºF,ºF,inHg,MPH,
