TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,AIR_TEMP_UNIT,TRACK_TEMP_UNIT,PRESSURE_UNIT,WIND_SPEED_UNIT,
1773950416,3/19/2026 8:00:16 PM,72.19994,-1766.2,60,29.965078373,4.6,55,-1,ºF,ºF,inHg,MPH,
1773950476,3/19/2026 8:01:16 PM,72.19994,-1766.2,59,29.966259577,1.9,326,-1,ºF,ºF,inHg,MPH,
1773950536,3/19/2026 8:02:16 PM,72.19994,-1766.2,58,29.96419247,5.9,61,-1,ºF,ºF,inHg,MPH,
1773950601,3/19/2026 8:03:21 PM,72.10004,-1766.2,59,29.96123946,7.2,55,-1,ºF,ºF,inHg,MPH,
1773950661,3/19/2026 8:04:21 PM,72.10004,-1766.2,59,29.96419247,7.2,36,-1,ºF,ºF,inHg,MPH,
1773950726,3/19/2026 8:05:26 PM,71.99996,-1766.2,59,29.960058256,4.6,290,-1,ºF,ºF,inHg,MPH,
1773950791,3/19/2026 8:06:31 PM,71.90006,-1766.2,59,29.962125363,1.9,180,-1,ºF,ºF,inHg,MPH,
1773950851,3/19/2026 8:07:31 PM,71.90006,-1766.2,60,29.960058256,2.6,119,-1,ºF,ºF,inHg,MPH,
1773950911,3/19/2026 8:08:31 PM,71.90006,-1766.2,59,29.96419247,3.2,63,-1,ºF,ºF,inHg,MPH,
1773950976,3/19/2026 8:09:36 PM,71.79998,-1766.2,59,29.963011266,3.9,71,-1,ºF,ºF,inHg,MPH,
1773951036,3/19/2026 8:10:36 PM,71.49992,-1766.2,59,29.962125363,4.6,14,-1,ºF,ºF,inHg,MPH,
1773951101,3/19/2026 8:11:41 PM,71.40002,-1766.2,60,29.96419247,7.2,132,-1,ºF,ºF,inHg,MPH,
1773951161,3/19/2026 8:12:41 PM,71.29994,-1766.2,60,29.963011266,2.6,185,-1,ºF,ºF,inHg,MPH,
1773951221,3/19/2026 8:13:41 PM,71.20004,-1766.2,59,29.968031383,3.2,294,-1,ºF,ºF,inHg,MPH,
1773951286,3/19/2026 8:14:46 PM,71.20004,-1766.2,59,29.962125363,3.9,355,-1,ºF,ºF,inHg,MPH,
1773951346,3/19/2026 8:15:46 PM,71.20004,-1766.2,59,29.96123946,2.6,60,-1,ºF,ºF,inHg,MPH,
1773951411,3/19/2026 8:16:51 PM,71.20004,-1766.2,59,29.959172353,3.2,5,-1,ºF,ºF,inHg,MPH,
1773951471,3/19/2026 8:17:51 PM,71.29994,-1766.2,59,29.96123946,1.9,5,-1,ºF,ºF,inHg,MPH,
1773951531,3/19/2026 8:18:51 PM,71.40002,-1766.2,59,29.960058256,6.5,56,-1,ºF,ºF,inHg,MPH,
1773951601,3/19/2026 8:20:01 PM,71.6,-1766.2,59,29.957991149,5.9,32,-1,ºF,ºF,inHg,MPH,
1773951661,3/19/2026 8:21:01 PM,71.70008,-1766.2,59,29.957991149,3.9,32,-1,ºF,ºF,inHg,MPH,
1773951726,3/19/2026 8:22:06 PM,71.79998,-1766.2,59,29.960058256,1.9,34,-1,ºF,ºF,inHg,MPH,
1773951791,3/19/2026 8:23:11 PM,71.99996,-1766.2,58,29.960058256,3.9,331,-1,ºF,ºF,inHg,MPH,
1773951851,3/19/2026 8:24:11 PM,71.99996,-1766.2,58,29.959172353,2.6,289,-1,ºF,ºF,inHg,MPH,
1773951916,3/19/2026 8:25:16 PM,72.19994,-1766.2,58,29.963011266,2.6,209,-1,ºF,ºF,inHg,MPH,
1773951981,3/19/2026 8:26:21 PM,72.19994,-1766.2,58,29.957105246,1.3,148,-1,ºF,ºF,inHg,MPH,
1773952041,3/19/2026 8:27:21 PM,72.19994,-1766.2,58,29.957991149,3.2,28,-1,ºF,ºF,inHg,MPH,
1773952106,3/19/2026 8:28:26 PM,72.30002,-1766.2,57,29.957991149,3.2,306,-1,ºF,ºF,inHg,MPH,
1773952166,3/19/2026 8:29:26 PM,72.30002,-1766.2,58,29.957991149,2.6,107,-1,ºF,ºF,inHg,MPH,
1773952226,3/19/2026 8:30:26 PM,72.39992,-1766.2,58,29.957991149,2.6,355,-1,ºF,ºF,inHg,MPH,
1773952291,3/19/2026 8:31:31 PM,72.5,-1766.2,57,29.960058256,4.6,77,-1,ºF,ºF,inHg,MPH,
1773952351,3/19/2026 8:32:31 PM,72.39992,-1766.2,57,29.96123946,3.2,312,-1,ºF,ºF,inHg,MPH,
1773952411,3/19/2026 8:33:31 PM,72.39992,-1766.2,57,29.962125363,4.6,56,-1,ºF,ºF,inHg,MPH,
1773952471,3/19/2026 8:34:31 PM,72.30002,-1766.2,57,29.96714548,7.2,80,-1,ºF,ºF,inHg,MPH,
1773952531,3/19/2026 8:35:31 PM,71.99996,-1766.2,57,29.957991149,2.6,338,-1,ºF,ºF,inHg,MPH,
1773952596,3/19/2026 8:36:36 PM,71.79998,-1766.2,58,29.96123946,2.6,88,-1,ºF,ºF,inHg,MPH,
1773952656,3/19/2026 8:37:36 PM,71.6,-1766.2,58,29.959172353,3.2,41,-1,ºF,ºF,inHg,MPH,
1773952721,3/19/2026 8:38:41 PM,71.6,-1766.2,58,29.960058256,2.6,48,-1,ºF,ºF,inHg,MPH,
1773952781,3/19/2026 8:39:41 PM,71.6,-1766.2,58,29.963011266,6.5,74,-1,ºF,ºF,inHg,MPH,
1773952846,3/19/2026 8:40:46 PM,71.6,-1766.2,58,29.962125363,7.2,65,-1,ºF,ºF,inHg,MPH,
1773952906,3/19/2026 8:41:46 PM,71.49992,-1766.2,58,29.959172353,3.2,55,-1,ºF,ºF,inHg,MPH,
1773952966,3/19/2026 8:42:46 PM,71.49992,-1766.2,58,29.96123946,5.2,123,-1,ºF,ºF,inHg,MPH,
1773953026,3/19/2026 8:43:46 PM,71.49992,-1766.2,59,29.96123946,5.9,355,-1,ºF,ºF,inHg,MPH,
