NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
023,2,1,2:40.104,0,,41.114,0,1:23.435,0,35.555,0,135.3,2:40.104,19:47:40.104,0:41.114,1:23.435,0:35.555,245.8,Kenton Koch,0:00:28.879,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,2,2:03.190,0,,11.760,0,1:16.835,0,34.595,0,175.9,4:43.294,19:49:43.294,0:11.760,1:16.835,0:34.595,248.5,Kenton Koch,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,3,2:02.037,0,,11.549,0,1:16.138,0,34.350,0,177.6,6:45.331,19:51:45.331,0:11.549,1:16.138,0:34.350,250.3,Kenton Koch,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,4,2:01.788,0,,11.583,0,1:15.758,0,34.447,0,177.9,8:47.119,19:53:47.119,0:11.583,1:15.758,0:34.447,249.4,Kenton Koch,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,5,2:13.569,0,B,11.520,0,1:17.528,0,44.521,0,162.2,11:00.688,19:56:00.688,0:11.520,1:17.528,0:44.521,243.2,Kenton Koch,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,6,5:52.842,0,,4:01.132,0,1:17.098,0,34.612,0,61.4,16:53.530,20:01:53.530,4:01.132,1:17.098,0:34.612,251.3,Kenton Koch,0:04:01.771,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,7,2:11.588,0,B,11.607,0,1:16.697,0,43.284,0,164.7,19:05.118,20:04:05.118,0:11.607,1:16.697,0:43.284,250.3,Kenton Koch,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,8,8:08.676,0,,6:17.568,0,1:16.608,0,34.500,0,44.3,27:13.794,20:12:13.794,6:17.568,1:16.608,0:34.500,247.6,Kenton Koch,0:06:18.298,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,9,2:01.538,0,,11.515,0,1:15.716,0,34.307,0,178.3,29:15.332,20:14:15.332,0:11.515,1:15.716,0:34.307,248.5,Kenton Koch,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,10,2:12.649,0,B,11.611,0,1:17.926,0,43.112,0,163.3,31:27.981,20:16:27.981,0:11.611,1:17.926,0:43.112,248.1,Kenton Koch,,GTD,,Triarsi Competizione,Ferrari,GF,
023,1,11,3:34.011,0,,1:28.384,0,1:28.984,0,36.643,0,101.2,35:01.992,20:20:01.992,1:28.384,1:28.984,0:36.643,243.2,Onofrio Triarsi,0:01:27.311,GTD,,Triarsi Competizione,Ferrari,GF,
023,1,12,2:06.762,0,,12.294,0,1:19.648,0,34.820,0,170.9,37:08.754,20:22:08.754,0:12.294,1:19.648,0:34.820,246.3,Onofrio Triarsi,,GTD,,Triarsi Competizione,Ferrari,GF,
023,1,13,2:02.848,0,,11.640,0,1:16.826,0,34.382,0,176.4,39:11.602,20:24:11.602,0:11.640,1:16.826,0:34.382,246.7,Onofrio Triarsi,,GTD,,Triarsi Competizione,Ferrari,GF,
023,1,14,2:02.468,0,,11.586,0,1:16.586,0,34.296,1,176.9,41:14.070,20:26:14.070,0:11.586,1:16.586,0:34.296,246.7,Onofrio Triarsi,,GTD,,Triarsi Competizione,Ferrari,GF,
023,1,15,2:01.739,0,,11.532,0,1:15.820,1,34.387,0,178.0,43:15.809,20:28:15.809,0:11.532,1:15.820,0:34.387,246.7,Onofrio Triarsi,,GTD,,Triarsi Competizione,Ferrari,GF,
023,1,16,2:04.258,0,,11.670,0,1:17.390,0,35.198,0,174.4,45:20.067,20:30:20.067,0:11.670,1:17.390,0:35.198,223.3,Onofrio Triarsi,,GTD,,Triarsi Competizione,Ferrari,GF,
023,1,17,2:02.285,0,,11.511,1,1:16.296,0,34.478,0,177.2,47:22.352,20:32:22.352,0:11.511,1:16.296,0:34.478,249.0,Onofrio Triarsi,,GTD,,Triarsi Competizione,Ferrari,GF,
023,1,18,2:04.020,0,,11.615,0,1:17.045,0,35.360,0,174.7,49:26.372,20:34:26.372,0:11.615,1:17.045,0:35.360,247.6,Onofrio Triarsi,,GTD,,Triarsi Competizione,Ferrari,GF,
023,1,19,2:02.050,0,,11.602,0,1:15.945,0,34.503,0,177.5,51:28.422,20:36:28.422,0:11.602,1:15.945,0:34.503,249.0,Onofrio Triarsi,,GTD,,Triarsi Competizione,Ferrari,GF,
023,1,20,2:11.425,0,B,11.588,0,1:16.552,0,43.285,0,164.9,53:39.847,20:38:39.847,0:11.588,1:16.552,0:43.285,247.2,Onofrio Triarsi,,GTD,,Triarsi Competizione,Ferrari,GF,
