TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,AIR_TEMP_UNIT,TRACK_TEMP_UNIT,PRESSURE_UNIT,WIND_SPEED_UNIT,
1782487554,6/26/2026 3:25:54 PM,71.90006,93.74,66,28.3521147809,0.6,229,-1,ºF,ºF,inHg,MPH,
1782487614,6/26/2026 3:26:54 PM,71.90006,93.92,66,28.3501067341,1.3,26,-1,ºF,ºF,inHg,MPH,
1782487684,6/26/2026 3:28:04 PM,72.10004,95.18,66,28.3511107575,3.2,360,-1,ºF,ºF,inHg,MPH,
1782487744,6/26/2026 3:29:04 PM,71.99996,95.36,67,28.3511107575,1.3,82,-1,ºF,ºF,inHg,MPH,
1782487804,6/26/2026 3:30:04 PM,72.10004,95.36,66,28.3521147809,1.9,355,-1,ºF,ºF,inHg,MPH,
1782487864,6/26/2026 3:31:04 PM,72.10004,96.44,66,28.3511107575,1.9,285,-1,ºF,ºF,inHg,MPH,
1782487924,6/26/2026 3:32:04 PM,72.19994,96.8,66,28.3521147809,1.3,57,-1,ºF,ºF,inHg,MPH,
1782487994,6/26/2026 3:33:14 PM,72.30002,96.8,65,28.3521147809,1.9,36,-1,ºF,ºF,inHg,MPH,
1782488064,6/26/2026 3:34:24 PM,72.39992,98.42,65,28.3521147809,1.9,150,-1,ºF,ºF,inHg,MPH,
1782488124,6/26/2026 3:35:24 PM,72.60008,98.78,65,28.3511107575,4.6,229,-1,ºF,ºF,inHg,MPH,
1782488194,6/26/2026 3:36:34 PM,72.80006,98.96,65,28.3511107575,5.2,273,-1,ºF,ºF,inHg,MPH,
1782488254,6/26/2026 3:37:34 PM,72.89996,99.14,64,28.3501067341,3.2,235,-1,ºF,ºF,inHg,MPH,
1782488324,6/26/2026 3:38:44 PM,73.00004,99.68,63,28.3501067341,2.6,167,-1,ºF,ºF,inHg,MPH,
1782488394,6/26/2026 3:39:54 PM,73.09994,100.58,63,28.3501067341,1.9,298,-1,ºF,ºF,inHg,MPH,
1782488464,6/26/2026 3:41:04 PM,73.29992,100.94,63,28.347124194,0.6,58,-1,ºF,ºF,inHg,MPH,
1782488534,6/26/2026 3:42:14 PM,73.50008,101.3,63,28.347124194,2.6,5,-1,ºF,ºF,inHg,MPH,
1782488604,6/26/2026 3:43:24 PM,73.59998,102.02,62,28.3491027107,3.2,340,-1,ºF,ºF,inHg,MPH,
1782488664,6/26/2026 3:44:24 PM,73.50008,102.2,62,28.3491027107,3.2,346,-1,ºF,ºF,inHg,MPH,
1782488724,6/26/2026 3:45:24 PM,73.4,102.2,63,28.3501067341,1.3,360,-1,ºF,ºF,inHg,MPH,
1782488784,6/26/2026 3:46:24 PM,73.4,102.2,63,28.3491027107,0.6,73,-1,ºF,ºF,inHg,MPH,
1782488854,6/26/2026 3:47:34 PM,73.4,102.2,63,28.3501067341,3.2,317,-1,ºF,ºF,inHg,MPH,
