TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,AIR_TEMP_UNIT,TRACK_TEMP_UNIT,PRESSURE_UNIT,WIND_SPEED_UNIT,
1785595808,8/1/2026 2:50:08 PM,64.616,68.18,96,29.8549311,1,17,0,ºF,ºF,inHg,MPH,
1785595898,8/1/2026 2:51:38 PM,64.49,68.36,96,29.8549311,1,117,0,ºF,ºF,inHg,MPH,
1785595988,8/1/2026 2:53:08 PM,64.49,68.36,96,29.8549311,1,117,0,ºF,ºF,inHg,MPH,
1785596078,8/1/2026 2:54:38 PM,64.49,68.36,96,29.8549311,1,117,0,ºF,ºF,inHg,MPH,
1785596168,8/1/2026 2:56:08 PM,64.49,68.36,96,29.8549311,1,117,0,ºF,ºF,inHg,MPH,
1785596228,8/1/2026 2:57:08 PM,64.49,68.54,96,29.8549311,1,117,0,ºF,ºF,inHg,MPH,
1785596288,8/1/2026 2:58:08 PM,64.49,68.54,96,29.8549311,1,117,0,ºF,ºF,inHg,MPH,
1785596348,8/1/2026 2:59:08 PM,64.49,68.54,96,29.8549311,1,117,0,ºF,ºF,inHg,MPH,
1785596438,8/1/2026 3:00:38 PM,64.49,68.54,96,29.8549311,1,117,0,ºF,ºF,inHg,MPH,
1785596528,8/1/2026 3:02:08 PM,64.49,68.72,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785596588,8/1/2026 3:03:08 PM,64.49,68.72,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785596678,8/1/2026 3:04:38 PM,64.49,68.72,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785596768,8/1/2026 3:06:08 PM,64.49,68.9,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785596858,8/1/2026 3:07:38 PM,64.49,68.9,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785596948,8/1/2026 3:09:08 PM,64.49,68.9,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785597008,8/1/2026 3:10:08 PM,64.49,68.9,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785597098,8/1/2026 3:11:38 PM,64.49,68.9,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785597158,8/1/2026 3:12:38 PM,64.49,68.9,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785597218,8/1/2026 3:13:38 PM,64.49,68.9,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785597278,8/1/2026 3:14:38 PM,64.49,69.08,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785597368,8/1/2026 3:16:08 PM,64.49,69.08,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785597428,8/1/2026 3:17:08 PM,64.49,69.08,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785597518,8/1/2026 3:18:38 PM,64.49,69.08,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785597578,8/1/2026 3:19:38 PM,64.49,69.08,96,29.8549311,1,19,0,ºF,ºF,inHg,MPH,
1785597638,8/1/2026 3:20:38 PM,64.706,69.08,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785597728,8/1/2026 3:22:08 PM,64.706,69.08,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785597818,8/1/2026 3:23:38 PM,64.706,69.26,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785597908,8/1/2026 3:25:08 PM,64.706,69.26,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785597968,8/1/2026 3:26:08 PM,64.706,69.26,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785598058,8/1/2026 3:27:38 PM,64.706,69.26,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785598148,8/1/2026 3:29:08 PM,64.706,69.26,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785598238,8/1/2026 3:30:38 PM,65.048,69.44,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785598328,8/1/2026 3:32:08 PM,65.048,69.44,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785598418,8/1/2026 3:33:38 PM,65.048,69.44,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785598508,8/1/2026 3:35:08 PM,65.048,69.44,96,29.8549311,2.9,32,0,ºF,ºF,inHg,MPH,
1785598568,8/1/2026 3:36:08 PM,64.706,69.62,96,29.8844612,1.9,55,0,ºF,ºF,inHg,MPH,
1785598658,8/1/2026 3:37:38 PM,64.706,69.62,96,29.8844612,1.9,55,0,ºF,ºF,inHg,MPH,
1785598718,8/1/2026 3:38:38 PM,64.706,69.62,96,29.8844612,1.9,55,0,ºF,ºF,inHg,MPH,
1785598778,8/1/2026 3:39:38 PM,64.706,69.8,96,29.8844612,1.9,55,0,ºF,ºF,inHg,MPH,
1785598838,8/1/2026 3:40:38 PM,64.706,69.8,96,29.8844612,1.9,55,0,ºF,ºF,inHg,MPH,
1785598928,8/1/2026 3:42:08 PM,64.706,69.8,96,29.8844612,1.9,55,0,ºF,ºF,inHg,MPH,
1785598988,8/1/2026 3:43:08 PM,64.706,69.8,96,29.8844612,1.9,55,0,ºF,ºF,inHg,MPH,
1785599078,8/1/2026 3:44:38 PM,64.706,69.98,96,29.8844612,1.9,55,0,ºF,ºF,inHg,MPH,
1785599138,8/1/2026 3:45:38 PM,64.706,69.98,96,29.8844612,1.9,55,0,ºF,ºF,inHg,MPH,
1785599198,8/1/2026 3:46:38 PM,65.282,69.98,96,29.8844612,1,63,0,ºF,ºF,inHg,MPH,
1785599258,8/1/2026 3:47:38 PM,65.282,69.98,96,29.8844612,1,63,0,ºF,ºF,inHg,MPH,
1785599318,8/1/2026 3:48:38 PM,65.282,70.16,96,29.8844612,1,63,0,ºF,ºF,inHg,MPH,
1785599378,8/1/2026 3:49:38 PM,65.282,70.16,96,29.8844612,1,63,0,ºF,ºF,inHg,MPH,
1785599438,8/1/2026 3:50:38 PM,65.282,70.16,96,29.8844612,1,63,0,ºF,ºF,inHg,MPH,
1785599528,8/1/2026 3:52:08 PM,65.282,70.34,96,29.8844612,1,63,0,ºF,ºF,inHg,MPH,
1785599588,8/1/2026 3:53:08 PM,65.282,70.34,96,29.8844612,1,63,0,ºF,ºF,inHg,MPH,
1785599678,8/1/2026 3:54:38 PM,65.282,70.52,96,29.8844612,1,63,0,ºF,ºF,inHg,MPH,
