TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,AIR_TEMP_UNIT,TRACK_TEMP_UNIT,PRESSURE_UNIT,WIND_SPEED_UNIT,
1789759523,9/18/2026 7:25:23 PM,78.98,98.24,77,29.38540251,4.9,48,-999,ºF,ºF,inHg,MPH,
1789759643,9/18/2026 7:27:23 PM,78.98,98.06,77,29.3824495,4.9,35,-999,ºF,ºF,inHg,MPH,
1789759703,9/18/2026 7:28:23 PM,78.98,97.88,77,29.3824495,3.9,61,-999,ºF,ºF,inHg,MPH,
1789759824,9/18/2026 7:30:24 PM,78.98,97.52,77,29.38540251,7.9,49,-999,ºF,ºF,inHg,MPH,
1789759943,9/18/2026 7:32:23 PM,78.98,97.16,77,29.38540251,9,74,-999,ºF,ºF,inHg,MPH,
1789760003,9/18/2026 7:33:23 PM,78.98,97.16,77,29.38540251,7.9,64,-999,ºF,ºF,inHg,MPH,
1789760123,9/18/2026 7:35:23 PM,78.62,96.8,78,29.38835552,9,65,-999,ºF,ºF,inHg,MPH,
1789760183,9/18/2026 7:36:23 PM,78.62,96.8,78,29.38540251,10.9,25,-999,ºF,ºF,inHg,MPH,
1789760303,9/18/2026 7:38:23 PM,78.62,96.62,77,29.38835552,6.9,48,-999,ºF,ºF,inHg,MPH,
1789760363,9/18/2026 7:39:23 PM,78.62,96.44,77,29.38835552,5.9,24,-999,ºF,ºF,inHg,MPH,
1789760423,9/18/2026 7:40:23 PM,78.44,96.62,78,29.38835552,7.9,31,-999,ºF,ºF,inHg,MPH,
1789760543,9/18/2026 7:42:23 PM,78.62,96.62,77,29.38835552,9,55,-999,ºF,ºF,inHg,MPH,
1789760663,9/18/2026 7:44:23 PM,78.62,96.44,77,29.38835552,5.9,5,-999,ºF,ºF,inHg,MPH,
1789760723,9/18/2026 7:45:23 PM,78.62,96.44,77,29.38835552,6.9,65,-999,ºF,ºF,inHg,MPH,
1789760783,9/18/2026 7:46:23 PM,78.62,96.44,77,29.38835552,7.9,25,-999,ºF,ºF,inHg,MPH,
1789760903,9/18/2026 7:48:23 PM,78.62,96.44,76,29.38835552,6.9,36,-999,ºF,ºF,inHg,MPH,
1789760963,9/18/2026 7:49:23 PM,78.62,96.44,76,29.38835552,7.9,51,-999,ºF,ºF,inHg,MPH,
1789761023,9/18/2026 7:50:23 PM,78.62,96.26,77,29.38835552,6.9,26,-999,ºF,ºF,inHg,MPH,
1789761143,9/18/2026 7:52:23 PM,78.8,96.08,77,29.38835552,9,5,-999,ºF,ºF,inHg,MPH,
1789761204,9/18/2026 7:53:24 PM,78.98,95.72,76,29.38835552,7.9,5,-999,ºF,ºF,inHg,MPH,
1789761323,9/18/2026 7:55:23 PM,78.98,95.54,76,29.38835552,6.9,13,-999,ºF,ºF,inHg,MPH,
1789761383,9/18/2026 7:56:23 PM,78.8,95.54,76,29.38540251,5.9,46,-999,ºF,ºF,inHg,MPH,
1789761443,9/18/2026 7:57:23 PM,78.62,95.54,76,29.38540251,6.9,46,-999,ºF,ºF,inHg,MPH,
1789761563,9/18/2026 7:59:23 PM,78.62,95.54,76,29.38540251,9,40,-999,ºF,ºF,inHg,MPH,
1789761623,9/18/2026 8:00:23 PM,78.44,95.72,76,29.38540251,6.9,60,-999,ºF,ºF,inHg,MPH,
1789761683,9/18/2026 8:01:23 PM,78.44,95.72,77,29.38540251,5.9,13,-999,ºF,ºF,inHg,MPH,
1789761803,9/18/2026 8:03:23 PM,78.44,95.9,77,29.38540251,6.9,11,-999,ºF,ºF,inHg,MPH,
1789761863,9/18/2026 8:04:23 PM,78.44,95.9,77,29.38540251,7.9,53,-999,ºF,ºF,inHg,MPH,
1789761923,9/18/2026 8:05:23 PM,78.44,95.9,77,29.3824495,4.9,57,-999,ºF,ºF,inHg,MPH,
1789762043,9/18/2026 8:07:23 PM,78.44,95.72,77,29.38540251,5.9,30,-999,ºF,ºF,inHg,MPH,
1789762163,9/18/2026 8:09:23 PM,78.8,95.54,76,29.38540251,11.9,5,-999,ºF,ºF,inHg,MPH,
1789762223,9/18/2026 8:10:23 PM,78.8,95.54,76,29.3824495,9,33,-999,ºF,ºF,inHg,MPH,
1789762283,9/18/2026 8:11:23 PM,78.98,95.54,76,29.38540251,9,9,-999,ºF,ºF,inHg,MPH,
1789762343,9/18/2026 8:12:23 PM,78.98,95.54,76,29.3824495,6.9,34,-999,ºF,ºF,inHg,MPH,
1789762463,9/18/2026 8:14:23 PM,78.98,95.54,76,29.38540251,10.9,36,-999,ºF,ºF,inHg,MPH,
1789762523,9/18/2026 8:15:23 PM,78.98,95.54,76,29.3824495,5.9,34,-999,ºF,ºF,inHg,MPH,
1789762584,9/18/2026 8:16:24 PM,78.98,95.54,76,29.3824495,2.9,42,-999,ºF,ºF,inHg,MPH,
1789762704,9/18/2026 8:18:24 PM,79.16,95.54,76,29.3824495,5.9,50,-999,ºF,ºF,inHg,MPH,
1789762823,9/18/2026 8:20:23 PM,79.52,95.54,75,29.3824495,9,5,-999,ºF,ºF,inHg,MPH,
1789762943,9/18/2026 8:22:23 PM,79.52,95.54,74,29.3824495,10.9,5,-999,ºF,ºF,inHg,MPH,
1789763003,9/18/2026 8:23:23 PM,79.34,95.54,75,29.3824495,5.9,57,-999,ºF,ºF,inHg,MPH,
1789763123,9/18/2026 8:25:23 PM,79.34,95.54,75,29.37949649,9,38,-999,ºF,ºF,inHg,MPH,
1789763184,9/18/2026 8:26:24 PM,79.16,95.72,75,29.37654348,4.9,20,-999,ºF,ºF,inHg,MPH,
