TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,AIR_TEMP_UNIT,TRACK_TEMP_UNIT,PRESSURE_UNIT,WIND_SPEED_UNIT,
1789854325,9/19/2026 9:45:25 PM,83.48,93.92,63,29.12849064,5.9,219,-999,ºF,ºF,inHg,MPH,
1789854385,9/19/2026 9:46:25 PM,83.66,94.1,62,29.12849064,6.9,211,-999,ºF,ºF,inHg,MPH,
1789854505,9/19/2026 9:48:25 PM,83.84,94.46,63,29.12849064,3.9,203,-999,ºF,ºF,inHg,MPH,
1789854625,9/19/2026 9:50:25 PM,84.2,94.64,62,29.12553763,12.9,196,-999,ºF,ºF,inHg,MPH,
1789854685,9/19/2026 9:51:25 PM,84.56,94.64,61,29.12849064,9,207,-999,ºF,ºF,inHg,MPH,
1789854745,9/19/2026 9:52:25 PM,84.74,94.64,60,29.13144365,5.9,219,-999,ºF,ºF,inHg,MPH,
1789854865,9/19/2026 9:54:25 PM,84.74,94.64,59,29.12849064,4.9,211,-999,ºF,ºF,inHg,MPH,
1789854925,9/19/2026 9:55:25 PM,84.74,94.64,60,29.12553763,6.9,217,-999,ºF,ºF,inHg,MPH,
1789855045,9/19/2026 9:57:25 PM,84.92,94.64,61,29.12258462,7.9,200,-999,ºF,ºF,inHg,MPH,
1789855165,9/19/2026 9:59:25 PM,84.74,94.46,60,29.12258462,5.9,200,-999,ºF,ºF,inHg,MPH,
1789855285,9/19/2026 10:01:25 PM,84.74,94.28,60,29.12258462,6.9,213,-999,ºF,ºF,inHg,MPH,
1789855405,9/19/2026 10:03:25 PM,84.74,94.1,61,29.12849064,4.9,248,-999,ºF,ºF,inHg,MPH,
1789855465,9/19/2026 10:04:25 PM,84.74,94.1,61,29.12553763,2.9,245,-999,ºF,ºF,inHg,MPH,
1789855585,9/19/2026 10:06:25 PM,84.74,94.1,61,29.12849064,6.9,211,-999,ºF,ºF,inHg,MPH,
1789855645,9/19/2026 10:07:25 PM,84.74,94.1,61,29.12849064,3.9,204,-999,ºF,ºF,inHg,MPH,
1789855705,9/19/2026 10:08:25 PM,84.74,94.28,62,29.12849064,5.9,214,-999,ºF,ºF,inHg,MPH,
1789855825,9/19/2026 10:10:25 PM,84.74,94.28,61,29.12849064,5.9,219,-999,ºF,ºF,inHg,MPH,
1789855885,9/19/2026 10:11:25 PM,84.92,94.28,62,29.13144365,2.9,209,-999,ºF,ºF,inHg,MPH,
1789855945,9/19/2026 10:12:25 PM,84.74,94.28,62,29.13144365,5.9,200,-999,ºF,ºF,inHg,MPH,
1789856005,9/19/2026 10:13:25 PM,84.92,94.28,61,29.13144365,7.9,186,-999,ºF,ºF,inHg,MPH,
1789856065,9/19/2026 10:14:25 PM,84.92,94.64,61,29.12849064,3.9,202,-999,ºF,ºF,inHg,MPH,
1789856125,9/19/2026 10:15:25 PM,84.92,94.64,61,29.12849064,3.9,196,-999,ºF,ºF,inHg,MPH,
1789856185,9/19/2026 10:16:25 PM,85.1,94.82,61,29.12553763,4.9,181,-999,ºF,ºF,inHg,MPH,
1789856305,9/19/2026 10:18:25 PM,85.46,95.36,60,29.12849064,7.9,195,-999,ºF,ºF,inHg,MPH,
1789856365,9/19/2026 10:19:25 PM,85.64,95.36,60,29.12553763,5.9,209,-999,ºF,ºF,inHg,MPH,
1789856425,9/19/2026 10:20:25 PM,85.64,95.36,60,29.12258462,6.9,173,-999,ºF,ºF,inHg,MPH,
