NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,
013,1,1,1:58.330,0,,39.881,0,36.989,0,41.460,0,133.4,1:58.330,09:35:50.161,0:39.881,0:36.989,0:41.460,,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,2,1:54.378,0,,35.811,0,36.980,0,41.587,0,146.5,3:52.708,09:37:44.539,0:35.811,0:36.980,0:41.587,264.1,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,3,2:16.681,0,,35.945,0,38.697,0,1:02.039,0,122.6,6:09.389,09:40:01.220,0:35.945,0:38.697,1:02.039,263.4,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,4,3:32.210,0,,1:06.108,0,1:07.200,0,1:18.902,0,78.9,9:41.599,09:43:33.430,1:06.108,1:07.200,1:18.902,95.8,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,5,3:27.534,0,,1:08.899,0,1:05.132,0,1:13.503,0,80.7,13:09.133,09:47:00.964,1:08.899,1:05.132,1:13.503,88.9,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,6,1:54.985,0,,36.896,0,35.890,0,42.199,0,145.7,15:04.118,09:48:55.949,0:36.896,0:35.890,0:42.199,241.6,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,7,1:53.138,2,,36.029,0,35.772,2,41.337,2,148.1,16:57.256,09:50:49.087,0:36.029,0:35.772,0:41.337,257.1,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,8,2:11.304,0,,50.499,0,37.571,0,43.234,0,127.6,19:08.560,09:53:00.391,0:50.499,0:37.571,0:43.234,263.4,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,9,1:55.201,0,,36.261,0,36.720,0,42.220,0,145.4,21:03.761,09:54:55.592,0:36.261,0:36.720,0:42.220,253.5,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,10,1:56.457,0,,37.233,0,36.989,0,42.235,0,143.8,23:00.218,09:56:52.049,0:37.233,0:36.989,0:42.235,254.1,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,11,1:53.755,0,,35.935,0,36.420,0,41.400,0,147.3,24:53.973,09:58:45.804,0:35.935,0:36.420,0:41.400,258.4,Diogo ROCHA,,AM,,Luis Rocha,,
013,1,12,1:53.981,0,,35.808,2,36.212,0,41.961,0,147.0,26:47.954,10:00:39.785,0:35.808,0:36.212,0:41.961,260.2,Diogo ROCHA,,AM,,Luis Rocha,,
03,1,1,1:57.661,0,,39.168,0,36.660,0,41.833,0,134.1,1:57.661,09:35:49.492,0:39.168,0:36.660,0:41.833,,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,2,1:54.451,0,,35.591,0,36.586,0,42.274,0,146.4,3:52.112,09:37:43.943,0:35.591,0:36.586,0:42.274,262.8,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,3,2:17.586,0,,37.055,0,39.330,0,1:01.201,0,121.7,6:09.698,09:40:01.529,0:37.055,0:39.330,1:01.201,264.1,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,4,3:32.388,0,,1:06.634,0,1:07.093,0,1:18.661,0,78.9,9:42.086,09:43:33.917,1:06.634,1:07.093,1:18.661,95.8,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,5,3:27.975,0,,1:09.279,0,1:05.022,0,1:13.674,0,80.5,13:10.061,09:47:01.892,1:09.279,1:05.022,1:13.674,90.5,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,6,1:54.052,0,,36.219,0,36.388,0,41.445,2,146.9,15:04.113,09:48:55.944,0:36.219,0:36.388,0:41.445,254.1,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,7,1:52.572,2,,35.228,2,35.760,2,41.584,0,148.8,16:56.685,09:50:48.516,0:35.228,0:35.760,0:41.584,261.5,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,8,1:53.773,0,,35.520,0,36.554,0,41.699,0,147.2,18:50.458,09:52:42.289,0:35.520,0:36.554,0:41.699,256.5,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,9,1:53.690,0,,35.560,0,36.237,0,41.893,0,147.3,20:44.148,09:54:35.979,0:35.560,0:36.237,0:41.893,264.1,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,10,1:54.184,0,,36.134,0,36.182,0,41.868,0,146.7,22:38.332,09:56:30.163,0:36.134,0:36.182,0:41.868,264.1,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,11,1:54.166,0,,35.712,0,36.352,0,42.102,0,146.7,24:32.498,09:58:24.329,0:35.712,0:36.352,0:42.102,261.5,Francisco CRUZ,,AM,,MDriving Racing Team,,
03,1,12,1:55.224,0,,36.532,0,36.321,0,42.371,0,145.4,26:27.722,10:00:19.553,0:36.532,0:36.321,0:42.371,257.8,Francisco CRUZ,,AM,,MDriving Racing Team,,
033,1,1,2:01.806,0,,40.660,0,38.514,0,42.632,2,129.6,2:01.806,09:35:53.637,0:40.660,0:38.514,0:42.632,,Hugo GUIMARAES,,GD,,Monteiros Competiçoes,,
033,1,2,1:58.427,0,,36.839,0,37.760,0,43.828,0,141.4,4:00.233,09:37:52.064,0:36.839,0:37.760,0:43.828,241.1,Hugo GUIMARAES,,GD,,Monteiros Competiçoes,,
033,1,3,2:11.289,0,,36.534,0,37.752,0,57.003,0,127.6,6:11.522,09:40:03.353,0:36.534,0:37.752,0:57.003,250.0,Hugo GUIMARAES,,GD,,Monteiros Competiçoes,,
033,1,4,3:32.437,0,,1:06.255,0,1:07.613,0,1:18.569,0,78.9,9:43.959,09:43:35.790,1:06.255,1:07.613,1:18.569,90.8,Hugo GUIMARAES,,GD,,Monteiros Competiçoes,,
033,1,5,3:26.933,0,,1:09.281,0,1:04.895,0,1:12.757,0,80.9,13:10.892,09:47:02.723,1:09.281,1:04.895,1:12.757,95.5,Hugo GUIMARAES,,GD,,Monteiros Competiçoes,,
033,1,6,1:57.367,0,,37.627,0,36.971,0,42.769,0,142.7,15:08.259,09:49:00.090,0:37.627,0:36.971,0:42.769,254.1,Hugo GUIMARAES,,GD,,Monteiros Competiçoes,,
