TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1623578443,6/13/2021 10:00:43 AM,71.96,100.06,59.9,1007,11.52,158,0,
1623578503,6/13/2021 10:01:43 AM,71.96,100.06,59.8,1007.1,7.56,200,0,
1623578563,6/13/2021 10:02:43 AM,72.14,100.06,60,1007,10.8,186,0,
1623578624,6/13/2021 10:03:44 AM,72.5,100.06,59.1,1007,16.2,190,0,
1623578684,6/13/2021 10:04:44 AM,72.68,100.57,59.1,1007,18,195,0,
1623578744,6/13/2021 10:05:44 AM,72.68,99.2,58.4,1007.1,12.96,179,0,
1623578804,6/13/2021 10:06:44 AM,72.32,98.35,59.5,1007.1,11.16,175,0,
1623578864,6/13/2021 10:07:44 AM,72.68,98.86,59.2,1006.9,12.96,184,0,
1623578924,6/13/2021 10:08:44 AM,72.86,98.86,58.5,1007,16.56,184,0,
1623578984,6/13/2021 10:09:44 AM,72.5,97.49,58.9,1007.1,11.52,189,0,
1623579044,6/13/2021 10:10:44 AM,72.14,96.13,59.5,1007,11.88,191,0,
1623579104,6/13/2021 10:11:44 AM,71.78,95.78,60.5,1007,7.2,168,0,
1623579164,6/13/2021 10:12:44 AM,71.96,96.3,60.3,1007.1,5.76,179,0,
1623579224,6/13/2021 10:13:44 AM,71.96,97.15,60.2,1007,9.72,178,0,
1623579285,6/13/2021 10:14:45 AM,72.5,100.06,59,1007.1,11.52,197,0,
1623579345,6/13/2021 10:15:45 AM,72.68,101.94,58.9,1007,4.32,162,0,
1623579405,6/13/2021 10:16:45 AM,72.68,102.28,58.6,1007,7.2,160,0,
1623579465,6/13/2021 10:17:45 AM,72.68,103.48,58.5,1007.1,7.2,196,0,
1623579525,6/13/2021 10:18:45 AM,72.68,102.97,58.8,1007,9.36,196,0,
1623579585,6/13/2021 10:19:45 AM,73.04,102.62,58.1,1007,11.52,176,0,
1623579645,6/13/2021 10:20:45 AM,73.04,101.43,58,1007.1,10.44,177,0,
1623579705,6/13/2021 10:21:45 AM,72.86,99.03,58.3,1007.1,5.04,159,0,
1623579765,6/13/2021 10:22:45 AM,72.32,99.03,59.8,1007.2,9.72,181,0,
1623579825,6/13/2021 10:23:45 AM,72.86,99.72,58.5,1007.1,16.92,189,0,
1623579885,6/13/2021 10:24:45 AM,73.04,101.77,58.6,1007.2,11.88,190,0,
1623579946,6/13/2021 10:25:46 AM,73.04,104.16,58.1,1007.1,9,174,0,
1623580006,6/13/2021 10:26:46 AM,73.04,103.99,58.4,1007.2,7.2,165,0,
1623580066,6/13/2021 10:27:46 AM,72.86,103.31,58.9,1007.3,5.4,173,0,
1623580126,6/13/2021 10:28:46 AM,73.22,103.31,57.8,1007.2,7.56,182,0,
1623580186,6/13/2021 10:29:46 AM,73.4,103.31,57.7,1007.2,6.48,174,0,
1623580246,6/13/2021 10:30:46 AM,73.58,102.79,57.3,1007.3,3.6,180,0,
1623580306,6/13/2021 10:31:46 AM,73.4,101.94,57.9,1007.3,1.8,195,0,
1623580366,6/13/2021 10:32:46 AM,73.22,100.74,58.2,1007.3,3.24,172,0,
1623580427,6/13/2021 10:33:47 AM,72.14,99.2,60.4,1007.3,4.68,196,0,
1623580491,6/13/2021 10:34:51 AM,72.14,99.2,60.4,1007.3,4.68,196,0,
1623580556,6/13/2021 10:35:56 AM,72.32,100.4,60,1007.3,8.28,179,0,
1623580617,6/13/2021 10:36:57 AM,72.32,100.74,59.9,1007.3,10.8,187,0,
1623580677,6/13/2021 10:37:57 AM,72.86,99.54,59,1007.4,12.6,206,0,
1623580737,6/13/2021 10:38:57 AM,72.86,99.2,58.7,1007.3,10.8,184,0,
1623580797,6/13/2021 10:39:57 AM,72.86,99.2,59.5,1007.3,12.24,192,0,
1623580857,6/13/2021 10:40:57 AM,73.04,98.52,58.3,1007.3,9,162,0,
1623580917,6/13/2021 10:41:57 AM,72.5,100.06,60.1,1007.3,6.84,180,0,
1623580977,6/13/2021 10:42:57 AM,72.68,101.6,59.7,1007.3,6.84,195,0,
1623581037,6/13/2021 10:43:57 AM,73.22,105.02,58.1,1007.2,14.04,183,0,
1623581097,6/13/2021 10:44:57 AM,73.58,104.68,58,1007.3,15.48,172,0,
1623581157,6/13/2021 10:45:57 AM,73.4,104.5,57.9,1007.3,12.96,184,0,
1623581217,6/13/2021 10:46:57 AM,73.58,105.36,58,1007.3,15.48,180,0,
