TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1626538821,7/17/2021 4:20:21 PM,87.98,100.97,43.6,989.7,2.16,286,0,
1626538881,7/17/2021 4:21:21 PM,87.98,100.97,43.6,989.7,2.16,286,0,
1626538941,7/17/2021 4:22:21 PM,88.52,100.97,43.8,989.6,2.16,355,0,
1626539001,7/17/2021 4:23:21 PM,88.52,101.3,44,989.5,2.16,8,0,
1626539061,7/17/2021 4:24:21 PM,88.52,101.3,45.2,989.6,1.8,59,0,
1626539121,7/17/2021 4:25:21 PM,88.52,100.8,45.6,989.6,1.44,1,0,
1626539181,7/17/2021 4:26:21 PM,88.52,101.14,46,989.6,3.96,335,0,
1626539241,7/17/2021 4:27:21 PM,88.34,101.14,46.6,989.6,5.04,92,0,
1626539301,7/17/2021 4:28:21 PM,88.34,101.14,46.7,989.6,2.52,15,0,
1626539362,7/17/2021 4:29:22 PM,88.34,101.14,46.8,989.7,2.88,57,0,
1626539422,7/17/2021 4:30:22 PM,88.52,101.14,46.9,989.7,1.8,47,0,
1626539482,7/17/2021 4:31:22 PM,88.16,100.47,47.7,989.7,2.16,21,0,
1626539542,7/17/2021 4:32:22 PM,88.16,100.47,47.9,989.7,2.88,127,0,
1626539602,7/17/2021 4:33:22 PM,87.98,100.13,48.5,989.8,1.08,35,0,
1626539662,7/17/2021 4:34:22 PM,87.98,99.96,48.8,989.8,2.88,69,0,
1626539722,7/17/2021 4:35:22 PM,87.8,99.63,48.7,989.8,3.96,359,0,
1626539782,7/17/2021 4:36:22 PM,87.44,99.8,49.1,989.8,3.6,357,0,
1626539842,7/17/2021 4:37:22 PM,87.44,99.29,49.5,989.8,4.32,334,0,
1626539902,7/17/2021 4:38:22 PM,87.08,99.29,49.7,989.8,4.68,358,0,
1626539962,7/17/2021 4:39:22 PM,86.72,99.29,50.2,989.8,4.68,243,0,
1626540023,7/17/2021 4:40:23 PM,86.72,99.63,50.1,989.8,3.96,189,0,
