NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,
1,1,1,6:14.265,0,,,0,,0,,0,129.7,8:15.895,12:27:51.895,,,,,Emmanuel BRIGAND,0:01:12.880,GT2B,,,,
1,1,2,4:27.691,0,,,0,,0,,0,183.2,12:43.586,12:32:19.586,,,,,Emmanuel BRIGAND,,GT2B,,,,
1,1,3,4:57.085,0,B,,0,,0,,0,165.1,17:40.671,12:37:16.671,,,,,Emmanuel BRIGAND,,GT2B,,,,
1,1,4,9:30.288,0,,,0,,0,,0,86.0,27:10.959,12:46:46.959,,,,,Emmanuel BRIGAND,,GT2B,,,,
1,1,5,4:19.609,0,,,0,,0,,0,189.0,31:30.568,12:51:06.568,,,,,Emmanuel BRIGAND,,GT2B,,,,
1,1,6,4:17.079,0,,,0,,0,,0,190.8,35:47.647,12:55:23.647,,,,,Emmanuel BRIGAND,,GT2B,,,,
1,1,7,4:16.403,2,,,0,,0,,0,191.3,40:04.050,12:59:40.050,,,,,Emmanuel BRIGAND,,GT2B,,,,
1,1,8,4:35.300,0,B,,0,,0,,0,178.2,44:39.350,13:04:15.350,,,,,Emmanuel BRIGAND,,GT2B,,,,
105,1,1,6:02.447,0,,49.823,0,2:56.153,0,2:16.471,0,133.9,7:51.690,12:27:27.690,0:49.823,2:56.153,2:16.471,69.4,Ludovic CHOLLEY,,GT1B,,,,
105,1,2,4:54.270,0,B,48.585,0,1:44.885,0,2:20.800,0,166.7,12:45.960,12:32:21.960,0:48.585,1:44.885,2:20.800,214.6,Ludovic CHOLLEY,,GT1B,,,,
105,1,3,7:00.608,0,,3:12.155,0,1:42.772,0,2:05.681,0,116.6,19:46.568,12:39:22.568,3:12.155,1:42.772,2:05.681,253.9,Ludovic CHOLLEY,0:02:38.681,GT1B,,,,
105,1,4,4:25.891,0,,43.103,0,1:39.729,0,2:03.059,0,184.5,24:12.459,12:43:48.459,0:43.103,1:39.729,2:03.059,221.7,Ludovic CHOLLEY,,GT1B,,,,
105,1,5,4:26.072,0,,42.342,0,1:38.197,0,2:05.533,0,184.4,28:38.531,12:48:14.531,0:42.342,1:38.197,2:05.533,257.6,Ludovic CHOLLEY,,GT1B,,,,
105,1,6,4:27.541,0,,43.859,0,1:37.131,0,2:06.551,0,183.3,33:06.072,12:52:42.072,0:43.859,1:37.131,2:06.551,271.8,Ludovic CHOLLEY,,GT1B,,,,
105,1,7,5:03.649,0,,45.394,0,1:59.782,0,2:18.473,0,161.5,38:09.721,12:57:45.721,0:45.394,1:59.782,2:18.473,199.6,Ludovic CHOLLEY,,GT1B,,,,
105,1,8,4:21.600,0,,41.383,0,1:36.562,0,2:03.655,0,187.5,42:31.321,13:02:07.321,0:41.383,1:36.562,2:03.655,270.4,Ludovic CHOLLEY,,GT1B,,,,
105,1,9,4:18.871,2,,40.884,2,1:36.126,2,2:01.861,2,189.5,46:50.192,13:06:26.192,0:40.884,1:36.126,2:01.861,273.2,Ludovic CHOLLEY,,GT1B,,,,
118,1,1,5:35.931,2,,59.770,0,2:02.158,0,2:34.003,0,144.5,9:39.301,12:29:15.301,0:59.770,2:02.158,2:34.003,166.4,Alfred MOSER,,INV,,,,
118,1,2,5:58.924,0,B,50.107,2,2:19.105,0,2:49.712,0,136.7,15:38.225,12:35:14.225,0:50.107,2:19.105,2:49.712,195.6,Alfred MOSER,,INV,,,,
118,1,3,33:21.942,0,,29:06.939,0,1:50.897,2,2:24.106,2,24.5,49:00.167,13:08:36.167,29:06.939,1:50.897,2:24.106,203.7,Alfred MOSER,0:28:29.636,INV,,,,
121,1,1,6:39.937,0,,51.113,0,3:05.761,0,2:43.063,0,121.3,8:27.032,12:28:03.032,0:51.113,3:05.761,2:43.063,66.8,Peter SCHLEIFER,,Proto B,,,,
121,1,2,5:39.079,0,,51.884,0,2:19.920,0,2:27.275,0,144.7,14:06.111,12:33:42.111,0:51.884,2:19.920,2:27.275,172.8,Peter SCHLEIFER,,Proto B,,,,
121,1,3,5:19.147,0,B,46.015,0,1:50.491,0,2:42.641,0,153.7,19:25.258,12:39:01.258,0:46.015,1:50.491,2:42.641,191.8,Peter SCHLEIFER,,Proto B,,,,
121,1,4,8:16.463,0,,4:05.927,0,1:50.217,0,2:20.319,0,98.8,27:41.721,12:47:17.721,4:05.927,1:50.217,2:20.319,226.3,Peter SCHLEIFER,0:03:30.858,Proto B,,,,
