TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1629465832,8/20/2021 1:23:52 PM,24.4,42,51.4,1008.8,2.52,97,0,
1629465892,8/20/2021 1:24:52 PM,24.4,42,50.9,1008.7,2.52,0,0,
1629465952,8/20/2021 1:25:52 PM,24.3,42,51.5,1008.7,0,35,0,
1629466012,8/20/2021 1:26:52 PM,24.7,42.6,52.2,1008.8,2.88,45,0,
1629466072,8/20/2021 1:27:52 PM,24.8,43.4,50.7,1008.8,4.68,71,0,
1629466132,8/20/2021 1:28:52 PM,24.8,43.5,49.4,1008.7,4.32,97,0,
1629466192,8/20/2021 1:29:52 PM,24.8,44.1,49.7,1008.7,7.2,101,0,
1629466253,8/20/2021 1:30:53 PM,24.6,44.1,50.3,1008.7,4.68,117,0,
1629466313,8/20/2021 1:31:53 PM,24.4,44.6,52,1008.6,6.84,0,0,
1629466373,8/20/2021 1:32:53 PM,24.4,44.8,51.6,1008.7,4.68,104,0,
1629466433,8/20/2021 1:33:53 PM,24.3,44.7,50.9,1008.7,9.36,94,0,
1629466493,8/20/2021 1:34:53 PM,23.9,42.7,51.5,1008.7,8.64,84,0,
1629466553,8/20/2021 1:35:53 PM,23.9,42.3,51.6,1008.6,7.2,74,0,
1629466613,8/20/2021 1:36:53 PM,24.2,42.3,51.4,1008.7,6.48,120,0,
1629466673,8/20/2021 1:37:53 PM,24.6,43.2,51,1008.7,3.24,142,0,
1629466733,8/20/2021 1:38:53 PM,24.4,43.2,51.2,1008.7,4.32,150,0,
1629466793,8/20/2021 1:39:53 PM,24.5,43.7,50.9,1008.6,3.24,125,0,
1629466853,8/20/2021 1:40:53 PM,24.7,44,51.1,1008.6,3.6,202,0,
1629466914,8/20/2021 1:41:54 PM,24.8,44.5,49.3,1008.6,6.84,212,0,
1629466974,8/20/2021 1:42:54 PM,24.7,44.5,50,1008.6,5.04,167,0,
1629467034,8/20/2021 1:43:54 PM,24.7,44.6,50,1008.5,5.04,204,0,
1629467094,8/20/2021 1:44:54 PM,24.5,44.9,49.8,1008.6,3.24,234,0,
1629467154,8/20/2021 1:45:54 PM,24.7,45.4,49.4,1008.5,6.12,252,0,
1629467214,8/20/2021 1:46:54 PM,24.7,45.7,49.8,1008.5,4.68,214,0,
1629467274,8/20/2021 1:47:54 PM,24.7,45.7,49.6,1008.5,3.24,29,0,
