TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1629533854,8/21/2021 8:17:34 AM,65.12,77.0,77.7,1008,2.52,214,0,
1629533914,8/21/2021 8:18:34 AM,65.3,77.0,78,1008,2.52,293,0,
1629533974,8/21/2021 8:19:34 AM,65.3,76.82,76.9,1007.9,3.96,285,0,
1629534034,8/21/2021 8:20:34 AM,65.48,76.64,77.5,1008,5.76,240,0,
1629534094,8/21/2021 8:21:34 AM,65.3,76.64,77.3,1008,2.16,224,0,
1629534154,8/21/2021 8:22:34 AM,65.48,77.18,76.4,1008,2.52,233,0,
1629534214,8/21/2021 8:23:34 AM,65.66,77.36,76.4,1008,5.04,222,0,
1629534274,8/21/2021 8:24:34 AM,65.66,77.54,76.4,1008,4.32,275,0,
1629534334,8/21/2021 8:25:34 AM,65.66,77.54,76.3,1008,4.32,278,0,
1629534394,8/21/2021 8:26:34 AM,65.84,77.36,76.2,1007.9,4.32,246,0,
1629534454,8/21/2021 8:27:34 AM,66.02,77.54,76.2,1008.1,4.68,270,0,
1629534515,8/21/2021 8:28:35 AM,66.2,77.9,75.8,1008.1,6.84,288,0,
1629534575,8/21/2021 8:29:35 AM,66.2,78.44,75.6,1008.2,6.48,268,0,
1629534635,8/21/2021 8:30:35 AM,66.38,78.62,74.9,1008.1,5.04,248,0,
1629534695,8/21/2021 8:31:35 AM,66.38,78.98,75.1,1008.1,4.68,262,0,
1629534755,8/21/2021 8:32:35 AM,66.56,79.16,75.1,1008.1,5.76,221,0,
1629534815,8/21/2021 8:33:35 AM,66.56,79.16,75.2,1008.1,3.96,243,0,
1629534875,8/21/2021 8:34:35 AM,66.2,79.16,75.2,1008.1,3.6,236,0,
1629534935,8/21/2021 8:35:35 AM,66.38,78.8,75.1,1008.1,2.88,226,0,
1629534995,8/21/2021 8:36:35 AM,66.38,79.16,75.1,1008,3.24,297,0,
1629535055,8/21/2021 8:37:35 AM,66.56,79.16,74.9,1008.1,3.96,268,0,
1629535115,8/21/2021 8:38:35 AM,66.56,79.16,75.1,1008.1,6.84,249,0,
1629535176,8/21/2021 8:39:36 AM,66.56,79.16,75.1,1008,5.4,223,0,
1629535236,8/21/2021 8:40:36 AM,66.56,79.16,75,1008,2.88,237,0,
1629535296,8/21/2021 8:41:36 AM,66.92,79.34,74.6,1008,3.24,235,0,
1629535356,8/21/2021 8:42:36 AM,66.92,79.52,74.6,1008.1,4.68,248,0,
1629535416,8/21/2021 8:43:36 AM,67.28,79.7,74.1,1008.1,4.32,223,0,
1629535476,8/21/2021 8:44:36 AM,66.92,79.7,74.6,1008.1,4.68,251,0,
1629535536,8/21/2021 8:45:36 AM,66.92,79.88,74.3,1008.1,3.6,266,0,
1629535596,8/21/2021 8:46:36 AM,66.92,79.88,74.5,1008.1,3.96,278,0,
1629535656,8/21/2021 8:47:36 AM,67.1,80.06,74.4,1008.1,3.96,279,0,
1629535716,8/21/2021 8:48:36 AM,67.28,80.24,73.5,1008.1,5.04,276,0,
1629535776,8/21/2021 8:49:36 AM,67.46,80.6,73.5,1008.1,4.68,264,0,
1629535837,8/21/2021 8:50:37 AM,67.46,80.42,73.9,1008.1,7.2,268,0,
1629535897,8/21/2021 8:51:37 AM,67.28,80.42,73.9,1008.1,7.2,225,0,
1629535957,8/21/2021 8:52:37 AM,67.28,80.96,74.4,1008.1,4.32,222,0,
1629536017,8/21/2021 8:53:37 AM,67.28,81.14,73.7,1008.1,3.6,215,0,
1629536077,8/21/2021 8:54:37 AM,67.64,80.96,73.3,1008.1,4.32,232,0,
1629536137,8/21/2021 8:55:37 AM,67.64,80.96,73.3,1008.2,4.32,240,0,
1629536197,8/21/2021 8:56:37 AM,67.64,80.96,73,1008.2,4.32,226,0,
1629536257,8/21/2021 8:57:37 AM,67.82,80.96,73.3,1008.2,5.76,214,0,
1629536317,8/21/2021 8:58:37 AM,67.82,81.32,73.6,1008.2,4.32,230,0,
1629536377,8/21/2021 8:59:37 AM,67.82,81.32,73.3,1008.3,5.04,261,0,
1629536438,8/21/2021 9:00:38 AM,67.82,81.32,73.3,1008.2,6.84,252,0,
1629536498,8/21/2021 9:01:38 AM,67.64,81.32,73.7,1008.2,4.68,259,0,
