TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1635500722,10/29/2021 9:45:22 AM,93.56,106.88,44.1,1015.3,5.04,143,0,
1635500782,10/29/2021 9:46:22 AM,93.38,105.98,45.1,1015.4,4.32,178,0,
1635500842,10/29/2021 9:47:22 AM,93.02,105.62,46,1015.3,4.68,167,0,
1635500902,10/29/2021 9:48:22 AM,93.2,105.8,45.3,1015.3,3.24,155,0,
1635500962,10/29/2021 9:49:22 AM,93.38,105.8,44.6,1015.4,2.88,133,0,
1635501022,10/29/2021 9:50:22 AM,93.38,106.16,43.9,1015.4,4.68,102,0,
1635501082,10/29/2021 9:51:22 AM,93.56,106.7,43.5,1015.4,3.96,0,0,
1635501143,10/29/2021 9:52:23 AM,93.74,106.88,42.9,1015.5,2.52,332,0,
1635501203,10/29/2021 9:53:23 AM,93.56,106.88,41.7,1015.4,6.12,356,0,
1635501263,10/29/2021 9:54:23 AM,92.84,106.52,42.5,1015.3,3.24,1,0,
1635501323,10/29/2021 9:55:23 AM,92.66,105.44,42.9,1015.4,0,0,0,
1635501383,10/29/2021 9:56:23 AM,92.84,105.44,43,1015.4,2.52,0,0,
1635501443,10/29/2021 9:57:23 AM,93.02,105.44,42.6,1015.3,5.4,329,0,
1635501503,10/29/2021 9:58:23 AM,92.66,104.36,43,1015.4,2.88,42,0,
1635501563,10/29/2021 9:59:23 AM,92.66,104.36,43.3,1015.4,2.16,315,0,
1635501623,10/29/2021 10:00:23 AM,92.66,104.9,43.8,1015.4,2.52,0,0,
1635501684,10/29/2021 10:01:24 AM,93.02,105.8,43.5,1015.3,1.8,328,0,
1635501743,10/29/2021 10:02:23 AM,93.02,105.62,43.5,1015.3,4.32,339,0,
1635501804,10/29/2021 10:03:24 AM,92.66,104.9,44.6,1015.2,3.24,354,0,
1635501864,10/29/2021 10:04:24 AM,92.66,105.44,44.1,1015.2,3.6,314,0,
1635501924,10/29/2021 10:05:24 AM,92.66,105.62,44.8,1015.3,3.96,142,0,
1635501984,10/29/2021 10:06:24 AM,92.66,106.52,44.5,1015.3,6.12,132,0,
1635502044,10/29/2021 10:07:24 AM,92.66,106.52,44.6,1015.3,5.4,136,0,
1635502104,10/29/2021 10:08:24 AM,92.66,106.52,44.5,1015.1,4.68,129,0,
1635502164,10/29/2021 10:09:24 AM,92.66,106.7,43.8,1015.2,6.12,135,0,
1635502224,10/29/2021 10:10:24 AM,92.66,107.06,44.3,1015.2,7.2,129,0,
1635502284,10/29/2021 10:11:24 AM,92.84,107.06,44.3,1015.2,2.88,161,0,
1635502344,10/29/2021 10:12:24 AM,93.02,107.06,44.6,1015.2,4.32,137,0,
1635502405,10/29/2021 10:13:25 AM,93.02,106.7,44.7,1015.2,5.04,127,0,
1635502465,10/29/2021 10:14:25 AM,92.66,106.34,45.6,1015.2,3.24,145,0,
1635502525,10/29/2021 10:15:25 AM,92.48,105.62,45.7,1015.2,2.88,131,0,
1635502585,10/29/2021 10:16:25 AM,92.66,105.62,45.4,1015.2,3.24,144,0,
1635502645,10/29/2021 10:17:25 AM,92.84,106.7,44.3,1015.2,3.96,136,0,
1635502705,10/29/2021 10:18:25 AM,93.2,107.24,43.7,1015.2,5.4,136,0,
1635502765,10/29/2021 10:19:25 AM,93.2,107.42,44,1015.2,5.04,158,0,
1635502825,10/29/2021 10:20:25 AM,93.2,106.52,44.6,1015.1,5.4,170,0,
1635502885,10/29/2021 10:21:25 AM,93.2,106.52,44.4,1015.2,5.4,162,0,
1635502945,10/29/2021 10:22:25 AM,93.38,107.96,43.4,1015.2,3.24,34,0,
1635503005,10/29/2021 10:23:25 AM,93.38,107.96,42.8,1015.1,1.44,0,0,
1635503066,10/29/2021 10:24:26 AM,93.56,107.96,42.4,1015.1,1.8,340,0,
1635503126,10/29/2021 10:25:26 AM,93.74,107.96,40.9,1015.1,5.4,353,0,
1635503186,10/29/2021 10:26:26 AM,93.74,107.96,40.8,1015.2,3.24,151,0,
1635503246,10/29/2021 10:27:26 AM,93.56,107.24,41.6,1015.2,2.16,157,0,
1635503306,10/29/2021 10:28:26 AM,93.74,107.24,40.9,1015.2,4.32,278,0,
1635503366,10/29/2021 10:29:26 AM,93.92,108.14,40.8,1015.2,2.52,4,0,
1635503426,10/29/2021 10:30:26 AM,94.1,107.78,40.4,1015.2,2.88,156,0,
1635503486,10/29/2021 10:31:26 AM,94.46,107.78,40.7,1015.2,3.24,170,0,
1635503546,10/29/2021 10:32:26 AM,94.46,108.14,40.5,1015.2,5.04,172,0,
1635503606,10/29/2021 10:33:26 AM,93.92,107.06,41.7,1015.1,6.12,147,0,
1635503667,10/29/2021 10:34:27 AM,93.38,106.88,42.7,1015.1,4.68,135,0,
1635503727,10/29/2021 10:35:27 AM,93.38,106.88,42.2,1015.1,5.76,200,0,
1635503787,10/29/2021 10:36:27 AM,93.38,107.24,41.7,1015.1,3.96,303,0,
1635503847,10/29/2021 10:37:27 AM,93.38,107.24,41.2,1015.1,3.24,359,0,
1635503907,10/29/2021 10:38:27 AM,93.74,107.6,40.7,1015,2.88,0,0,
1635503967,10/29/2021 10:39:27 AM,93.74,107.6,40.8,1015.1,2.88,143,0,
1635504027,10/29/2021 10:40:27 AM,93.92,107.42,41.3,1015.1,3.24,215,0,
1635504087,10/29/2021 10:41:27 AM,94.1,107.42,41.7,1015,2.16,269,0,
1635504147,10/29/2021 10:42:27 AM,94.28,107.42,41.9,1015,2.16,0,0,
1635504207,10/29/2021 10:43:27 AM,94.28,107.42,41.3,1015.1,1.8,28,0,
1635504267,10/29/2021 10:44:27 AM,94.1,106.7,41.8,1014.9,3.6,351,0,
1635504328,10/29/2021 10:45:28 AM,94.1,106.7,41.4,1015,1.8,0,0,
