TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1647113159,3/12/2022 7:25:59 PM,18.58,-999,74.43,1012.89,3.64,319,0,
1647113219,3/12/2022 7:26:59 PM,18.59,-999,74.62,1012.85,9.61,271,0,
1647113279,3/12/2022 7:27:59 PM,18.57,-999,73.87,1012.83,11.91,321,0,
1647113339,3/12/2022 7:28:59 PM,18.52,-999,74.05,1012.79,5.84,290,0,
1647113399,3/12/2022 7:29:59 PM,18.59,-999,73.95,1012.75,6.99,279,0,
1647113459,3/12/2022 7:30:59 PM,18.59,-999,73.66,1012.73,10.37,228,0,
1647113519,3/12/2022 7:31:59 PM,18.52,-999,71.62,1012.67,5.14,298,0,
1647113579,3/12/2022 7:32:59 PM,18.53,-999,72.18,1012.65,0,3,0,
1647113639,3/12/2022 7:33:59 PM,18.66,-999,71.92,1012.65,2.03,207,0,
1647113699,3/12/2022 7:34:59 PM,18.7,-999,71.36,1012.64,8.54,293,0,
1647113759,3/12/2022 7:35:59 PM,18.82,-999,70.99,1012.69,10.16,336,0,
1647113819,3/12/2022 7:36:59 PM,18.78,-999,71.05,1012.71,4.07,194,0,
1647113879,3/12/2022 7:37:59 PM,18.72,-999,70.31,1012.73,10.03,267,0,
1647113939,3/12/2022 7:38:59 PM,18.72,-999,69.78,1012.75,6.76,234,0,
1647113999,3/12/2022 7:39:59 PM,18.78,-999,68.46,1012.77,6.46,278,0,
1647114059,3/12/2022 7:40:59 PM,18.82,-999,68.46,1012.77,10.44,253,0,
1647114119,3/12/2022 7:41:59 PM,18.71,-999,67.28,1012.77,7.98,260,0,
1647114179,3/12/2022 7:42:59 PM,18.67,-999,67.46,1012.79,11.82,272,0,
1647114239,3/12/2022 7:43:59 PM,18.72,-999,67.92,1012.77,5.22,272,0,
1647114299,3/12/2022 7:44:59 PM,18.81,-999,68.26,1012.78,21.6,303,0,
1647114359,3/12/2022 7:45:59 PM,18.86,-999,68.06,1012.81,2.81,283,0,
1647114419,3/12/2022 7:46:59 PM,18.86,-999,67.53,1012.82,3.24,259,0,
1647114480,3/12/2022 7:48:00 PM,18.94,-999,66.03,1012.82,9.32,293,0,
1647114540,3/12/2022 7:49:00 PM,18.89,-999,64.99,1012.81,11.02,282,0,
1647114600,3/12/2022 7:50:00 PM,18.87,-999,65.4,1012.82,6.58,294,0,
1647114660,3/12/2022 7:51:00 PM,18.96,-999,63.78,1012.84,10.13,236,0,
1647114720,3/12/2022 7:52:00 PM,18.92,-999,64.15,1012.9,8.83,279,0,
1647114780,3/12/2022 7:53:00 PM,18.91,-999,64.22,1012.98,9.4,293,0,
1647114840,3/12/2022 7:54:00 PM,18.9,-999,63.02,1013.08,13.33,204,0,
1647114900,3/12/2022 7:55:00 PM,18.92,-999,62.97,1013.15,10.8,265,0,
1647114960,3/12/2022 7:56:00 PM,18.93,-999,63.34,1013.23,2.95,215,0,
1647115020,3/12/2022 7:57:00 PM,18.96,-999,63.71,1013.25,15.75,249,0,
1647115080,3/12/2022 7:58:00 PM,18.95,-999,64.06,1013.27,9.58,293,0,
1647115140,3/12/2022 7:59:00 PM,18.94,-999,64.62,1013.33,21.48,317,0,
1647115200,3/12/2022 8:00:00 PM,18.9,-999,64.96,1013.39,18.37,308,0,
1647115260,3/12/2022 8:01:00 PM,18.85,-999,64.75,1013.38,12.38,278,0,
1647115320,3/12/2022 8:02:00 PM,18.79,-999,64.55,1013.34,12.6,256,0,
1647115380,3/12/2022 8:03:00 PM,18.77,-999,64.72,1013.36,4.16,294,0,
1647115440,3/12/2022 8:04:00 PM,18.8,-999,64.97,1013.37,1.63,287,0,
1647115500,3/12/2022 8:05:00 PM,18.85,-999,65.44,1013.36,7.54,227,0,
1647115560,3/12/2022 8:06:00 PM,18.9,-999,65.51,1013.35,8.22,271,0,
1647115620,3/12/2022 8:07:00 PM,18.77,-999,65.52,1013.37,5.45,217,0,
1647115680,3/12/2022 8:08:00 PM,18.64,-999,65.02,1013.31,7.97,280,0,
1647115740,3/12/2022 8:09:00 PM,18.55,-999,65.16,1013.25,6.32,297,0,
1647115800,3/12/2022 8:10:00 PM,18.52,-999,65.47,1013.32,5.63,281,0,
1647115860,3/12/2022 8:11:00 PM,18.57,-999,65.3,1013.32,6.52,267,0,
1647115920,3/12/2022 8:12:00 PM,18.53,-999,66.17,1013.21,11.06,274,0,
1647115980,3/12/2022 8:13:00 PM,18.53,-999,66.1,1013,3.79,292,0,
1647116040,3/12/2022 8:14:00 PM,18.56,-999,65.96,1013.04,9.02,300,0,
1647116100,3/12/2022 8:15:00 PM,18.51,-999,65.78,1013.18,11.96,259,0,
1647116160,3/12/2022 8:16:00 PM,18.51,-999,65.81,1013.23,5.4,272,0,
1647116220,3/12/2022 8:17:00 PM,18.46,-999,65.78,1013.25,5.35,249,0,
1647116280,3/12/2022 8:18:00 PM,18.49,-999,66.11,1013.31,8.75,11,0,
1647116340,3/12/2022 8:19:00 PM,18.49,-999,65.81,1013.3,5.65,286,0,
1647116400,3/12/2022 8:20:00 PM,18.48,-999,65.4,1013.06,0,260,0,
1647116460,3/12/2022 8:21:00 PM,18.49,-999,64.09,1012.95,7.39,317,0,
1647116520,3/12/2022 8:22:00 PM,18.4,-999,64.77,1012.76,4.34,306,0,
1647116580,3/12/2022 8:23:00 PM,18.45,-999,64.85,1012.67,5.02,295,0,
1647116641,3/12/2022 8:24:01 PM,18.34,-999,64.4,1012.86,13.36,299,0,
1647116701,3/12/2022 8:25:01 PM,18.22,-999,64.61,1013.01,1.44,334,0,
1647116761,3/12/2022 8:26:01 PM,18.2,-999,64.72,1013.13,4.37,343,0,
1647116821,3/12/2022 8:27:01 PM,18.13,-999,63.87,1013.21,10.45,275,0,
1647116881,3/12/2022 8:28:01 PM,18.1,-999,62.98,1013.25,10.62,296,0,
1647116941,3/12/2022 8:29:01 PM,18.13,-999,62.88,1013.26,6.2,312,0,
1647117001,3/12/2022 8:30:01 PM,18.14,-999,61.7,1013.21,9.35,292,0,
1647117061,3/12/2022 8:31:01 PM,18.18,-999,62.04,1013.1,1.36,266,0,
1647117121,3/12/2022 8:32:01 PM,18.26,-999,62.44,1013.07,22.4,294,0,
1647117181,3/12/2022 8:33:01 PM,18.21,-999,62.65,1013.03,2.82,143,0,
1647117241,3/12/2022 8:34:01 PM,18.28,-999,62.78,1012.91,10.01,315,0,
1647117301,3/12/2022 8:35:01 PM,18.24,-999,62.38,1012.93,4.54,265,0,
1647117361,3/12/2022 8:36:01 PM,18.12,-999,62.89,1013.08,9.61,70,0,
1647117421,3/12/2022 8:37:01 PM,18.14,-999,62.3,1013.07,10.81,224,0,
1647117481,3/12/2022 8:38:01 PM,18.21,-999,61.71,1013.02,9.43,216,0,
1647117541,3/12/2022 8:39:01 PM,18.16,-999,61.62,1012.99,1.97,234,0,
1647117601,3/12/2022 8:40:01 PM,18.16,-999,61.66,1012.99,8.29,349,0,
1647117661,3/12/2022 8:41:01 PM,18.06,-999,61.24,1012.88,10.35,18,0,
1647117721,3/12/2022 8:42:01 PM,18.06,-999,61.4,1012.9,7.08,223,0,
1647117781,3/12/2022 8:43:01 PM,18.04,-999,61.29,1012.93,3.61,296,0,
1647117841,3/12/2022 8:44:01 PM,17.97,-999,60.86,1012.95,10.55,208,0,
1647117901,3/12/2022 8:45:01 PM,17.93,-999,60.76,1013,6.48,324,0,
1647117961,3/12/2022 8:46:01 PM,17.87,-999,61.34,1013.08,7.38,245,0,
1647118021,3/12/2022 8:47:01 PM,17.91,-999,61.36,1013.09,13.39,288,0,
1647118081,3/12/2022 8:48:01 PM,17.88,-999,61.48,1013.01,5.53,283,0,
1647118141,3/12/2022 8:49:01 PM,17.97,-999,61.1,1012.99,5.54,130,0,
1647118201,3/12/2022 8:50:01 PM,18.03,-999,59.7,1012.98,4.94,165,0,
1647118261,3/12/2022 8:51:01 PM,17.86,-999,59.54,1012.98,3.55,286,0,
1647118321,3/12/2022 8:52:01 PM,17.78,-999,59.95,1012.99,7.16,284,0,
1647118381,3/12/2022 8:53:01 PM,17.76,-999,59.59,1013.11,6.82,264,0,
1647118441,3/12/2022 8:54:01 PM,17.78,-999,59,1013.16,6.8,144,0,
1647118501,3/12/2022 8:55:01 PM,17.81,-999,58.23,1013.18,9.26,299,0,
1647118561,3/12/2022 8:56:01 PM,17.73,-999,58.09,1013.17,2,313,0,
1647118621,3/12/2022 8:57:01 PM,17.7,-999,56.78,1013.15,8.06,280,0,
1647118681,3/12/2022 8:58:01 PM,17.68,-999,56.8,1013.17,3.49,256,0,
1647118741,3/12/2022 8:59:01 PM,17.75,-999,56.24,1013.17,9.09,270,0,
1647118801,3/12/2022 9:00:01 PM,17.67,-999,55.81,1013.15,8.42,246,0,
1647118861,3/12/2022 9:01:01 PM,17.69,-999,56.15,1013.14,18.58,313,0,
