TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1647532512,3/17/2022 3:55:12 PM,76.46,93.92,55,1016.3,1.8,27,0,
1647532572,3/17/2022 3:56:12 PM,76.1,93.92,56,1016.3,2.52,43,0,
1647532632,3/17/2022 3:57:12 PM,76.28,93.92,56,1016.3,2.52,66,0,
1647532693,3/17/2022 3:58:13 PM,76.1,94.1,56,1016.2,4.68,22,0,
1647532753,3/17/2022 3:59:13 PM,75.56,94.28,57,1016.3,3.6,0,0,
1647532813,3/17/2022 4:00:13 PM,75.74,94.28,57,1016.3,1.08,299,0,
1647532873,3/17/2022 4:01:13 PM,75.56,93.38,58,1016.1,2.88,194,0,
1647532933,3/17/2022 4:02:13 PM,75.92,91.4,57,1016.3,1.44,332,0,
1647532993,3/17/2022 4:03:13 PM,76.64,91.4,56,1016.3,4.32,1,0,
1647533053,3/17/2022 4:04:13 PM,75.74,95.36,57,1016.3,4.32,140,0,
1647533113,3/17/2022 4:05:13 PM,75.74,95.36,58,1016.2,2.16,263,0,
1647533173,3/17/2022 4:06:13 PM,76.1,95.36,57,1016.3,1.8,268,0,
1647533233,3/17/2022 4:07:13 PM,75.92,96.26,57,1016.3,2.16,195,0,
1647533294,3/17/2022 4:08:14 PM,75.74,96.26,58,1016.3,3.24,149,0,
1647533354,3/17/2022 4:09:14 PM,75.56,96.26,58,1016.3,5.4,119,0,
1647533414,3/17/2022 4:10:14 PM,75.38,95.54,59,1016.2,5.76,136,0,
1647533474,3/17/2022 4:11:14 PM,75.74,96.44,58,1016.3,4.68,90,0,
1647533534,3/17/2022 4:12:14 PM,75.92,96.62,58,1016.2,4.68,71,0,
1647533594,3/17/2022 4:13:14 PM,75.74,97.34,58,1016.2,3.24,69,0,
1647533654,3/17/2022 4:14:14 PM,76.1,97.34,57,1016.2,2.88,33,0,
1647533714,3/17/2022 4:15:14 PM,76.64,97.34,57,1016.2,4.32,19,0,
1647533774,3/17/2022 4:16:14 PM,77.36,98.6,55,1016.2,3.6,29,0,
1647533834,3/17/2022 4:17:14 PM,76.82,98.42,56,1016.1,5.4,52,0,
1647533894,3/17/2022 4:18:14 PM,76.64,96.98,57,1016.2,3.6,73,0,
1647533955,3/17/2022 4:19:15 PM,76.46,95.0,57,1016.1,3.6,83,0,
1647534015,3/17/2022 4:20:15 PM,76.28,95.0,58,1016.2,5.76,69,0,
1647534075,3/17/2022 4:21:15 PM,76.46,95.36,57,1016.2,4.68,46,0,
1647534135,3/17/2022 4:22:15 PM,76.64,95.9,57,1016.1,4.32,70,0,
1647534195,3/17/2022 4:23:15 PM,76.82,96.44,56,1016.2,3.6,8,0,
1647534255,3/17/2022 4:24:15 PM,76.82,96.8,57,1016.1,1.8,152,0,
1647534315,3/17/2022 4:25:15 PM,77.54,98.6,56,1016.2,3.24,105,0,
1647534375,3/17/2022 4:26:15 PM,77.72,98.6,55,1016.1,6.48,141,0,
1647534435,3/17/2022 4:27:15 PM,77.36,99.5,55,1016.1,5.76,91,0,
1647534495,3/17/2022 4:28:15 PM,77.54,99.5,54,1016.1,4.68,257,0,
1647534555,3/17/2022 4:29:15 PM,78.08,101.66,52,1016.1,3.6,278,0,
1647534616,3/17/2022 4:30:16 PM,78.62,101.66,52,1016.1,5.4,250,0,
1647534676,3/17/2022 4:31:16 PM,78.26,101.3,52,1016.1,9.72,241,0,
1647534736,3/17/2022 4:32:16 PM,78.62,100.22,52,1016.1,6.48,265,0,
1647534796,3/17/2022 4:33:16 PM,78.8,100.22,51,1016.1,6.84,244,0,
1647534856,3/17/2022 4:34:16 PM,78.44,99.5,52,1016.1,6.12,307,0,
1647534916,3/17/2022 4:35:16 PM,78.08,99.5,52,1016.1,3.24,11,0,
1647534976,3/17/2022 4:36:16 PM,78.44,99.5,53,1016,1.44,215,0,
1647535036,3/17/2022 4:37:16 PM,78.44,100.58,53,1016.1,7.92,190,0,
1647535096,3/17/2022 4:38:16 PM,78.08,100.94,55,1016.1,8.28,191,0,
1647535156,3/17/2022 4:39:16 PM,78.44,101.3,54,1016,3.6,0,0,
1647535216,3/17/2022 4:40:16 PM,78.62,101.48,53,1016.1,1.08,116,0,
1647535277,3/17/2022 4:41:17 PM,79.16,102.38,53,1016,2.52,150,0,
1647535337,3/17/2022 4:42:17 PM,78.98,102.38,51,1016.1,4.68,352,0,
1647535397,3/17/2022 4:43:17 PM,78.8,100.94,51,1016.1,3.24,276,0,
1647535457,3/17/2022 4:44:17 PM,78.98,100.94,50,1016.1,3.96,325,0,
1647535517,3/17/2022 4:45:17 PM,78.44,103.64,51,1016,6.12,277,0,
1647535577,3/17/2022 4:46:17 PM,78.62,103.64,51,1016,5.76,304,0,
1647535637,3/17/2022 4:47:17 PM,79.16,103.64,50,1016,5.4,251,0,
1647535697,3/17/2022 4:48:17 PM,79.16,101.48,50,1016,4.32,194,0,
1647535757,3/17/2022 4:49:17 PM,78.26,99.32,52,1016,5.4,168,0,
1647535817,3/17/2022 4:50:17 PM,78.08,99.32,52,1016.1,1.44,241,0,
1647535877,3/17/2022 4:51:17 PM,77.9,99.5,53,1016,7.56,247,0,
1647535938,3/17/2022 4:52:18 PM,78.08,101.3,53,1016,7.2,286,0,
1647535998,3/17/2022 4:53:18 PM,78.44,101.84,52,1015.9,5.76,256,0,
1647536058,3/17/2022 4:54:18 PM,78.62,102.02,51,1015.9,4.32,251,0,
