NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,1,1,3:27.325,0,,1:22.849,0,1:19.099,0,45.377,0,119.5,3:27.325,10:03:27.325,1:22.849,1:19.099,0:45.377,156.4,Matthias Jeserich,,ProAm,,HRT Performance,,GF,82.849,79.099,45.377,
10,1,2,2:40.140,0,,44.382,0,1:13.169,0,42.589,0,157.5,6:07.465,10:06:07.465,0:44.382,1:13.169,0:42.589,200.7,Matthias Jeserich,,ProAm,,HRT Performance,,GF,44.382,73.169,42.589,
10,1,3,2:36.301,0,,43.680,0,1:12.219,0,40.402,0,161.3,8:43.766,10:08:43.766,0:43.680,1:12.219,0:40.402,198.1,Matthias Jeserich,,ProAm,,HRT Performance,,GF,43.680,72.219,40.402,
10,1,4,2:40.275,0,,44.011,0,1:15.067,0,41.197,0,157.3,11:24.041,10:11:24.041,0:44.011,1:15.067,0:41.197,223.0,Matthias Jeserich,,ProAm,,HRT Performance,,GF,44.011,75.067,41.197,
10,1,5,2:35.965,0,,42.296,0,1:11.815,0,41.854,0,161.7,14:00.006,10:14:00.006,0:42.296,1:11.815,0:41.854,230.6,Matthias Jeserich,,ProAm,,HRT Performance,,GF,42.296,71.815,41.854,
10,1,6,2:32.950,0,,42.665,0,1:10.937,0,39.348,0,164.9,16:32.956,10:16:32.956,0:42.665,1:10.937,0:39.348,235.1,Matthias Jeserich,,ProAm,,HRT Performance,,GF,42.665,70.937,39.348,
10,1,7,2:33.837,0,,42.455,0,1:10.058,0,41.324,0,163.9,19:06.793,10:19:06.793,0:42.455,1:10.058,0:41.324,237.1,Matthias Jeserich,,ProAm,,HRT Performance,,GF,42.455,70.058,41.324,
10,1,8,2:37.074,0,,44.229,0,1:11.540,0,41.305,0,160.5,21:43.867,10:21:43.867,0:44.229,1:11.540,0:41.305,231.0,Matthias Jeserich,,ProAm,,HRT Performance,,GF,44.229,71.540,41.305,
10,1,9,7:23.995,0,B,5:28.299,0,1:14.374,0,41.322,0,56.8,29:07.862,10:29:07.862,5:28.299,1:14.374,0:41.322,175.1,Matthias Jeserich,0:04:16.500,ProAm,,HRT Performance,,GF,328.299,74.374,41.322,
10,1,10,2:30.287,0,,42.028,0,1:08.717,0,39.542,0,167.8,31:38.149,10:31:38.149,0:42.028,1:08.717,0:39.542,238.2,Matthias Jeserich,,ProAm,,HRT Performance,,GF,42.028,68.717,39.542,
10,1,11,2:28.836,0,,41.531,0,1:08.971,0,38.334,0,169.4,34:06.985,10:34:06.985,0:41.531,1:08.971,0:38.334,255.0,Matthias Jeserich,,ProAm,,HRT Performance,,GF,41.531,68.971,38.334,
10,1,12,2:27.332,0,,41.394,0,1:07.963,0,37.975,2,171.1,36:34.317,10:36:34.317,0:41.394,1:07.963,0:37.975,243.5,Matthias Jeserich,,ProAm,,HRT Performance,,GF,41.394,67.963,37.975,
10,1,13,2:26.993,0,,41.326,0,1:07.424,2,38.243,0,171.5,39:01.310,10:39:01.310,0:41.326,1:07.424,0:38.243,252.0,Matthias Jeserich,,ProAm,,HRT Performance,,GF,41.326,67.424,38.243,
10,1,14,2:31.514,0,,42.399,0,1:08.418,0,40.697,0,166.4,41:32.824,10:41:32.824,0:42.399,1:08.418,0:40.697,259.2,Matthias Jeserich,,ProAm,,HRT Performance,,GF,42.399,68.418,40.697,
10,1,15,4:54.484,0,B,3:06.553,0,1:08.884,0,39.047,0,85.6,46:27.308,10:46:27.308,3:06.553,1:08.884,0:39.047,237.6,Matthias Jeserich,0:02:13.784,ProAm,,HRT Performance,,GF,186.553,68.884,39.047,
10,1,16,2:26.975,2,,41.240,2,1:07.566,0,38.169,0,171.6,48:54.283,10:48:54.283,0:41.240,1:07.566,0:38.169,261.1,Matthias Jeserich,,ProAm,,HRT Performance,,GF,41.240,67.566,38.169,
10,1,17,2:30.212,0,,41.267,0,1:07.732,0,41.213,0,167.9,51:24.495,10:51:24.495,0:41.267,1:07.732,0:41.213,258.6,Matthias Jeserich,,ProAm,,HRT Performance,,GF,41.267,67.732,41.213,
10,1,18,2:36.607,0,,42.324,0,1:11.361,0,42.922,0,161.0,54:01.102,10:54:01.102,0:42.324,1:11.361,0:42.922,206.0,Matthias Jeserich,,ProAm,,HRT Performance,,GF,42.324,71.361,42.922,
