NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,1,1,3:46.217,0,,1:43.505,0,1:19.165,0,43.547,0,109.5,3:46.217,12:28:46.217,1:43.505,1:19.165,0:43.547,161.3,Matthias Jeserich,,ProAm,,HRT Performance,,GF,103.505,79.165,43.547,
10,1,2,2:38.625,0,,41.937,0,1:09.161,0,47.527,0,159.0,6:24.842,12:31:24.842,0:41.937,1:09.161,0:47.527,199.6,Matthias Jeserich,,ProAm,,HRT Performance,,GF,41.937,69.161,47.527,
10,1,3,2:25.054,0,,40.346,0,1:07.119,0,37.589,0,173.8,8:49.896,12:33:49.896,0:40.346,1:07.119,0:37.589,250.8,Matthias Jeserich,,ProAm,,HRT Performance,,GF,40.346,67.119,37.589,
10,1,4,2:24.380,0,,40.449,0,1:06.499,0,37.432,2,174.6,11:14.276,12:36:14.276,0:40.449,1:06.499,0:37.432,251.4,Matthias Jeserich,,ProAm,,HRT Performance,,GF,40.449,66.499,37.432,
10,1,5,2:30.629,0,,41.264,0,1:09.533,0,39.832,0,167.4,13:44.905,12:38:44.905,0:41.264,1:09.533,0:39.832,258.0,Matthias Jeserich,,ProAm,,HRT Performance,,GF,41.264,69.533,39.832,
10,1,6,2:25.636,0,,41.010,0,1:06.983,0,37.643,0,173.1,16:10.541,12:41:10.541,0:41.010,1:06.983,0:37.643,261.7,Matthias Jeserich,,ProAm,,HRT Performance,,GF,41.010,66.983,37.643,
10,1,7,8:25.587,0,B,6:29.081,0,1:14.624,0,41.882,0,49.9,24:36.128,12:49:36.128,6:29.081,1:14.624,0:41.882,127.3,Matthias Jeserich,0:05:25.945,ProAm,,HRT Performance,,GF,389.081,74.624,41.882,
10,1,8,2:31.298,0,,43.325,0,1:08.247,0,39.726,0,166.7,27:07.426,12:52:07.426,0:43.325,1:08.247,0:39.726,231.5,Matthias Jeserich,,ProAm,,HRT Performance,,GF,43.325,68.247,39.726,
10,1,9,2:24.947,2,,40.942,0,1:06.381,2,37.624,0,174.0,29:32.373,12:54:32.373,0:40.942,1:06.381,0:37.624,261.1,Matthias Jeserich,,ProAm,,HRT Performance,,GF,40.942,66.381,37.624,
10,1,10,2:28.711,0,,40.918,2,1:07.779,0,40.014,0,169.6,32:01.084,12:57:01.084,0:40.918,1:07.779,0:40.014,256.8,Matthias Jeserich,,ProAm,,HRT Performance,,GF,40.918,67.779,40.014,
10,1,11,3:04.155,0,,41.082,0,1:08.184,0,1:14.889,0,136.9,35:05.239,13:00:05.239,0:41.082,1:08.184,1:14.889,261.7,Matthias Jeserich,,ProAm,,HRT Performance,,RF,41.082,68.184,74.889,
13,1,1,3:33.460,0,,1:27.208,0,1:19.530,0,46.722,0,116.1,3:33.460,12:28:33.460,1:27.208,1:19.530,0:46.722,170.1,Alexander Tauscher,,Rookie,TP,Allied-Racing,,GF,87.208,79.530,46.722,
13,1,2,2:37.483,0,,44.746,0,1:10.908,0,41.829,0,160.1,6:10.943,12:31:10.943,0:44.746,1:10.908,0:41.829,178.8,Alexander Tauscher,,Rookie,TP,Allied-Racing,,GF,44.746,70.908,41.829,
13,1,3,2:22.779,0,,40.139,0,1:05.341,0,37.299,0,176.6,8:33.722,12:33:33.722,0:40.139,1:05.341,0:37.299,268.9,Alexander Tauscher,,Rookie,TP,Allied-Racing,,GF,40.139,65.341,37.299,
13,1,4,2:21.784,0,,40.106,0,1:05.121,0,36.557,0,177.8,10:55.506,12:35:55.506,0:40.106,1:05.121,0:36.557,269.6,Alexander Tauscher,,Rookie,TP,Allied-Racing,,GF,40.106,65.121,36.557,
13,1,5,2:30.978,0,,43.045,0,1:10.113,0,37.820,0,167.0,13:26.484,12:38:26.484,0:43.045,1:10.113,0:37.820,220.7,Alexander Tauscher,,Rookie,TP,Allied-Racing,,GF,43.045,70.113,37.820,
13,1,6,2:22.598,0,,40.118,0,1:05.716,0,36.764,0,176.8,15:49.082,12:40:49.082,0:40.118,1:05.716,0:36.764,268.9,Alexander Tauscher,,Rookie,TP,Allied-Racing,,GF,40.118,65.716,36.764,
13,1,7,8:08.204,0,B,6:18.479,0,1:10.472,0,39.253,0,51.6,23:57.286,12:48:57.286,6:18.479,1:10.472,0:39.253,217.2,Alexander Tauscher,0:05:28.305,Rookie,TP,Allied-Racing,,GF,378.479,70.472,39.253,
13,1,8,2:29.081,0,,40.935,0,1:07.434,0,40.712,0,169.1,26:26.367,12:51:26.367,0:40.935,1:07.434,0:40.712,243.5,Alexander Tauscher,,Rookie,TP,Allied-Racing,,GF,40.935,67.434,40.712,
13,1,9,2:21.466,0,,39.933,0,1:05.109,0,36.424,0,178.2,28:47.833,12:53:47.833,0:39.933,1:05.109,0:36.424,268.9,Alexander Tauscher,,Rookie,TP,Allied-Racing,,GF,39.933,65.109,36.424,
13,1,10,2:21.447,0,,39.870,2,1:05.067,2,36.510,0,178.3,31:09.280,12:56:09.280,0:39.870,1:05.067,0:36.510,270.2,Alexander Tauscher,,Rookie,TP,Allied-Racing,,GF,39.870,65.067,36.510,
13,1,11,2:21.929,2,,39.935,0,1:05.401,0,36.593,2,177.7,33:31.209,12:58:31.209,0:39.935,1:05.401,0:36.593,270.9,Alexander Tauscher,,Rookie,TP,Allied-Racing,,GF,39.935,65.401,36.593,
14,1,1,2:40.014,0,,43.423,0,1:16.243,0,40.348,0,154.8,2:40.014,12:27:40.014,0:43.423,1:16.243,0:40.348,167.5,Morris Schuring,,,TP,SSR Huber Racing,,GF,43.423,76.243,40.348,
14,1,2,2:32.405,0,,42.534,0,1:09.279,0,40.592,0,165.4,5:12.419,12:30:12.419,0:42.534,1:09.279,0:40.592,231.5,Morris Schuring,,,TP,SSR Huber Racing,,GF,42.534,69.279,40.592,
14,1,3,2:20.390,0,,39.819,0,1:04.534,0,36.037,0,179.6,7:32.809,12:32:32.809,0:39.819,1:04.534,0:36.037,264.9,Morris Schuring,,,TP,SSR Huber Racing,,GF,39.819,64.534,36.037,
14,1,4,2:20.475,0,,39.601,0,1:04.651,0,36.223,0,179.5,9:53.284,12:34:53.284,0:39.601,1:04.651,0:36.223,272.9,Morris Schuring,,,TP,SSR Huber Racing,,GF,39.601,64.651,36.223,
14,1,5,2:23.761,0,,39.584,0,1:07.372,0,36.805,0,175.4,12:17.045,12:37:17.045,0:39.584,1:07.372,0:36.805,270.9,Morris Schuring,,,TP,SSR Huber Racing,,GF,39.584,67.372,36.805,
14,1,6,11:28.718,0,B,9:37.628,0,1:11.795,0,39.295,0,36.6,23:45.763,12:48:45.763,9:37.628,1:11.795,0:39.295,186.8,Morris Schuring,0:08:44.948,,TP,SSR Huber Racing,,GF,577.628,71.795,39.295,
14,1,7,2:28.766,0,,41.469,0,1:07.558,0,39.739,0,169.5,26:14.529,12:51:14.529,0:41.469,1:07.558,0:39.739,234.0,Morris Schuring,,,TP,SSR Huber Racing,,GF,41.469,67.558,39.739,
14,1,8,2:19.895,2,,39.474,0,1:04.444,2,35.977,3,180.2,28:34.424,12:53:34.424,0:39.474,1:04.444,0:35.977,266.2,Morris Schuring,,,TP,SSR Huber Racing,,GF,39.474,64.444,35.977,
14,1,9,2:19.866,0,,39.324,2,1:04.524,0,36.018,0,180.3,30:54.290,12:55:54.290,0:39.324,1:04.524,0:36.018,270.2,Morris Schuring,,,TP,SSR Huber Racing,,GF,39.324,64.524,36.018,
14,1,10,2:20.687,0,,39.405,0,1:05.002,0,36.280,0,179.2,33:14.977,12:58:14.977,0:39.405,1:05.002,0:36.280,270.2,Morris Schuring,,,TP,SSR Huber Racing,,GF,39.405,65.002,36.280,
2,1,1,3:26.408,0,,1:27.749,0,1:16.578,0,42.081,0,120.0,3:26.408,12:28:26.408,1:27.749,1:16.578,0:42.081,182.1,Georgi Donchev,,ProAm,,Huber Racing,,GF,87.749,76.578,42.081,
2,1,2,2:32.695,0,,41.467,0,1:06.698,0,44.530,0,165.1,5:59.103,12:30:59.103,0:41.467,1:06.698,0:44.530,253.8,Georgi Donchev,,ProAm,,Huber Racing,,GF,41.467,66.698,44.530,
2,1,3,2:22.963,0,,40.390,0,1:05.663,0,36.910,0,176.4,8:22.066,12:33:22.066,0:40.390,1:05.663,0:36.910,265.6,Georgi Donchev,,ProAm,,Huber Racing,,GF,40.390,65.663,36.910,
2,1,4,2:22.657,2,,40.196,0,1:05.618,2,36.843,0,176.7,10:44.723,12:35:44.723,0:40.196,1:05.618,0:36.843,267.6,Georgi Donchev,,ProAm,,Huber Racing,,GF,40.196,65.618,36.843,
