NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
21,2,1,3:42.781,0,,1:53.663,0,1:06.649,0,42.469,0,111.2,3:42.781,18:23:42.781,1:53.663,1:06.649,0:42.469,236.6,Christoph ULRICH,0:01:17.928,LMGTE Am,,AF Corse,Ferrari,GF,113.663,66.649,42.469,
21,2,2,2:30.628,0,B,39.661,2,1:06.756,0,44.211,0,167.4,6:13.409,18:26:13.409,0:39.661,1:06.756,0:44.211,262.4,Christoph ULRICH,,LMGTE Am,,AF Corse,Ferrari,GF,39.661,66.756,44.211,
21,2,3,2:50.897,0,,1:10.826,0,1:03.805,2,36.266,2,147.5,9:04.306,18:29:04.306,1:10.826,1:03.805,0:36.266,258.0,Christoph ULRICH,0:00:41.337,LMGTE Am,,AF Corse,Ferrari,GF,70.826,63.805,36.266,
21,2,4,2:20.078,0,,39.679,0,1:03.959,0,36.440,0,180.0,11:24.384,18:31:24.384,0:39.679,1:03.959,0:36.440,261.1,Christoph ULRICH,,LMGTE Am,,AF Corse,Ferrari,FF,39.679,63.959,36.440,
33,1,1,2:20.992,0,,39.640,0,1:04.105,0,37.247,0,175.7,2:20.992,18:22:20.992,0:39.640,1:04.105,0:37.247,252.6,Ben KEATING,0:00:03.997,LMGTE Am,,TF Sport,Aston Martin,GF,39.640,64.105,37.247,
33,1,2,2:19.586,0,,40.147,0,1:03.208,0,36.231,0,180.6,4:40.578,18:24:40.578,0:40.147,1:03.208,0:36.231,258.6,Ben KEATING,,LMGTE Am,,TF Sport,Aston Martin,GF,40.147,63.208,36.231,
33,1,3,2:21.344,0,,40.203,0,1:03.956,0,37.185,0,178.4,7:01.922,18:27:01.922,0:40.203,1:03.956,0:37.185,258.6,Ben KEATING,,LMGTE Am,,TF Sport,Aston Martin,GF,40.203,63.956,37.185,
33,1,4,2:18.630,0,,39.988,0,1:02.779,0,35.863,0,181.9,9:20.552,18:29:20.552,0:39.988,1:02.779,0:35.863,259.9,Ben KEATING,,LMGTE Am,,TF Sport,Aston Martin,GF,39.988,62.779,35.863,
33,1,5,2:17.408,2,,39.621,2,1:02.040,2,35.747,2,183.5,11:37.960,18:31:37.960,0:39.621,1:02.040,0:35.747,262.4,Ben KEATING,,LMGTE Am,,TF Sport,Aston Martin,FF,39.621,62.040,35.747,
46,3,1,2:51.384,0,,1:06.979,0,1:06.597,0,37.808,0,144.6,2:51.384,18:22:51.384,1:06.979,1:06.597,0:37.808,256.2,Nicolas LEUTWILER,0:00:30.858,LMGTE Am,,Team Project 1,Porsche,GF,66.979,66.597,37.808,
46,3,2,2:25.909,0,,39.975,0,1:07.608,0,38.326,0,172.8,5:17.293,18:25:17.293,0:39.975,1:07.608,0:38.326,261.1,Nicolas LEUTWILER,,LMGTE Am,,Team Project 1,Porsche,GF,39.975,67.608,38.326,
46,3,3,2:22.492,0,,40.267,0,1:05.917,0,36.308,0,177.0,7:39.785,18:27:39.785,0:40.267,1:05.917,0:36.308,263.0,Nicolas LEUTWILER,,LMGTE Am,,Team Project 1,Porsche,GF,40.267,65.917,36.308,
46,3,4,2:20.937,2,,39.929,2,1:04.775,2,36.233,2,178.9,10:00.722,18:30:00.722,0:39.929,1:04.775,0:36.233,263.0,Nicolas LEUTWILER,,LMGTE Am,,Team Project 1,Porsche,FF,39.929,64.775,36.233,
51,1,1,3:57.882,0,,2:08.661,0,1:09.092,0,40.129,0,104.1,3:57.882,18:23:57.882,2:08.661,1:09.092,0:40.129,239.2,Alessandro PIER GUIDI,0:01:31.809,LMGTE Pro,,AF Corse,Ferrari,GF,128.661,69.092,40.129,
51,1,2,2:27.078,0,,41.479,0,1:08.408,0,37.191,0,171.4,6:24.960,18:26:24.960,0:41.479,1:08.408,0:37.191,253.8,Alessandro PIER GUIDI,,LMGTE Pro,,AF Corse,Ferrari,GF,41.479,68.408,37.191,
51,1,3,2:15.829,0,,39.217,0,1:01.286,0,35.326,0,185.6,8:40.789,18:28:40.789,0:39.217,1:01.286,0:35.326,264.3,Alessandro PIER GUIDI,,LMGTE Pro,,AF Corse,Ferrari,GF,39.217,61.286,35.326,
51,1,4,2:15.102,2,,38.975,2,1:00.969,2,35.158,2,186.6,10:55.891,18:30:55.891,0:38.975,1:00.969,0:35.158,265.6,Alessandro PIER GUIDI,,LMGTE Pro,,AF Corse,Ferrari,FF,38.975,60.969,35.158,
