TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1654430405,6/5/2022 12:00:05 PM,20.23,28.3,62.16,1011.93,21.6,339,0,
1654430465,6/5/2022 12:01:05 PM,20.36,28.3,62.18,1011.94,29.77,333,0,
1654430525,6/5/2022 12:02:05 PM,20.24,28.1,62.41,1011.95,21.13,309,0,
1654430585,6/5/2022 12:03:05 PM,20.26,27.9,62.35,1011.95,22.39,323,0,
1654430645,6/5/2022 12:04:05 PM,20.3,27.9,61.31,1011.99,27.8,343,0,
1654430705,6/5/2022 12:05:05 PM,20.2,27.8,61.18,1011.93,21.6,331,0,
1654430765,6/5/2022 12:06:05 PM,20.2,27.7,61.14,1011.95,25.47,326,0,
1654430825,6/5/2022 12:07:05 PM,20.24,27.7,61.03,1011.95,22.35,309,0,
1654430885,6/5/2022 12:08:05 PM,20.09,27.6,61.49,1011.97,21.6,331,0,
1654430945,6/5/2022 12:09:05 PM,20.17,27.6,61.73,1011.98,21.6,330,0,
1654431005,6/5/2022 12:10:05 PM,20.15,27.8,62.11,1011.98,25.26,321,0,
1654431065,6/5/2022 12:11:05 PM,20.16,27.8,62.8,1011.94,26.7,341,0,
1654431125,6/5/2022 12:12:05 PM,20.36,27.8,61.87,1011.92,21.92,335,0,
1654431185,6/5/2022 12:13:05 PM,20.52,27.8,61.18,1011.91,21.6,342,0,
1654431246,6/5/2022 12:14:06 PM,20.67,27.9,60.6,1011.9,21.69,301,0,
1654431306,6/5/2022 12:15:06 PM,20.79,28.5,60.34,1011.91,21.59,330,0,
1654431366,6/5/2022 12:16:06 PM,20.95,28.5,60.43,1011.93,21.74,341,0,
1654431426,6/5/2022 12:17:06 PM,21.04,29.1,59.64,1011.94,21.6,324,0,
1654431486,6/5/2022 12:18:06 PM,20.96,29.7,59.61,1011.96,21.6,317,0,
1654431546,6/5/2022 12:19:06 PM,20.96,29.7,59.29,1011.94,21.6,320,0,
1654431606,6/5/2022 12:20:06 PM,20.96,30.2,58.71,1011.98,21.6,319,0,
1654431666,6/5/2022 12:21:06 PM,20.89,30.4,59.07,1011.91,21.77,309,0,
1654431726,6/5/2022 12:22:06 PM,20.94,30.4,59.47,1011.94,28.5,336,0,
1654431786,6/5/2022 12:23:06 PM,20.88,30.5,58.88,1011.89,14.4,320,0,
1654431846,6/5/2022 12:24:06 PM,21.02,30.1,58.86,1011.91,21.6,337,0,
1654431906,6/5/2022 12:25:06 PM,21.2,30.1,58.36,1011.88,21.6,343,0,
1654431966,6/5/2022 12:26:06 PM,21.46,30.1,57.14,1011.87,21.6,343,0,
1654432026,6/5/2022 12:27:06 PM,21.64,30.8,56.95,1011.89,22.24,340,0,
1654432086,6/5/2022 12:28:06 PM,21.62,30.8,57.51,1011.92,29.02,303,0,
1654432146,6/5/2022 12:29:06 PM,21.31,31,58.29,1011.95,29.74,337,0,
1654432206,6/5/2022 12:30:06 PM,21.3,31.1,58.18,1011.94,10.74,335,0,
1654432266,6/5/2022 12:31:06 PM,21.65,31.1,57.93,1011.91,19.68,321,0,
1654432326,6/5/2022 12:32:06 PM,21.55,31.5,57.98,1011.89,35.66,342,0,
1654432386,6/5/2022 12:33:06 PM,21.12,30.9,58.41,1011.9,22.06,310,0,
1654432446,6/5/2022 12:34:06 PM,21.13,30.9,58.34,1011.91,30.96,295,0,
1654432506,6/5/2022 12:35:06 PM,21.13,30.9,58.73,1011.92,14.44,308,0,
1654432566,6/5/2022 12:36:06 PM,21.48,30.9,57.38,1011.91,21.6,309,0,
1654432626,6/5/2022 12:37:06 PM,21.36,30.9,58.08,1011.9,25.94,339,0,
1654432686,6/5/2022 12:38:06 PM,21.48,31.6,57.25,1011.95,21.6,321,0,
1654432746,6/5/2022 12:39:06 PM,21.5,32,57.28,1011.91,22.26,343,0,
1654432806,6/5/2022 12:40:06 PM,21.56,32,56.94,1011.89,27.7,307,0,
1654432866,6/5/2022 12:41:06 PM,21.31,31.8,57.39,1011.85,21.6,314,0,
1654432926,6/5/2022 12:42:06 PM,21.46,32.3,56.94,1011.85,26.79,316,0,
1654432986,6/5/2022 12:43:06 PM,21.58,32.7,56.4,1011.89,30.58,306,0,
1654433046,6/5/2022 12:44:06 PM,21.31,32.7,57.36,1011.8,26.88,305,0,
1654433106,6/5/2022 12:45:06 PM,21.36,32.7,57.64,1011.83,31.23,324,0,
1654433166,6/5/2022 12:46:06 PM,21.23,32.7,57.47,1011.89,21.6,330,0,
1654433226,6/5/2022 12:47:06 PM,21.29,32.7,57.3,1011.82,30.33,324,0,
1654433286,6/5/2022 12:48:06 PM,21.18,32.4,57.55,1011.89,25.2,329,0,
1654433347,6/5/2022 12:49:07 PM,21.04,32,57.48,1011.78,24.4,320,0,
1654433407,6/5/2022 12:50:07 PM,20.96,32,57.81,1011.82,21.97,310,0,
1654433467,6/5/2022 12:51:07 PM,21.03,31.7,58.07,1011.8,29.66,329,0,
1654433527,6/5/2022 12:52:07 PM,21.08,31.6,57.32,1011.81,21.6,313,0,
1654433587,6/5/2022 12:53:07 PM,21.23,31.6,57.53,1011.78,29.35,348,0,
1654433647,6/5/2022 12:54:07 PM,21.41,32,57.14,1011.75,30.52,307,0,
1654433707,6/5/2022 12:55:07 PM,21.14,31.8,57.39,1011.74,19.27,322,0,
