TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1654680006,6/8/2022 9:20:06 AM,18.1,26.7,72,1002.3,17.64,232,0,
1654680068,6/8/2022 9:21:08 AM,18.1,27.6,72,1002.3,19.08,251,0,
1654680128,6/8/2022 9:22:08 AM,18.2,28.6,72,1002.3,20.16,235,0,
1654680188,6/8/2022 9:23:08 AM,18.3,29.1,72,1002.3,21.24,246,0,
1654680248,6/8/2022 9:24:08 AM,18.5,29.1,67,1002.3,18.72,240,0,
1654680308,6/8/2022 9:25:08 AM,18.7,29.8,67,1002.3,19.8,242,0,
1654680368,6/8/2022 9:26:08 AM,18.6,30,66,1002.2,19.8,231,0,
1654680428,6/8/2022 9:27:08 AM,18.5,29,66,1002.3,20.16,245,0,
1654680488,6/8/2022 9:28:08 AM,18.4,28.3,69,1002.3,20.52,234,0,
1654680548,6/8/2022 9:29:08 AM,18.3,27.8,68,1002.3,21.6,223,0,
1654680608,6/8/2022 9:30:08 AM,18.3,27.2,68,1002.4,19.44,232,0,
1654680668,6/8/2022 9:31:08 AM,18.3,26.8,68,1002.3,16.92,239,0,
1654680729,6/8/2022 9:32:09 AM,18.2,26.7,68,1002.3,19.8,230,0,
1654680789,6/8/2022 9:33:09 AM,18.2,26.5,69,1002.3,20.16,235,0,
1654680849,6/8/2022 9:34:09 AM,18.3,26.5,68,1002.4,17.28,249,0,
1654680909,6/8/2022 9:35:09 AM,18.2,26.2,69,1002.4,20.88,231,0,
1654680969,6/8/2022 9:36:09 AM,18.1,26.5,68,1002.4,21.24,236,0,
1654681029,6/8/2022 9:37:09 AM,18,26.4,69,1002.4,23.04,224,0,
1654681089,6/8/2022 9:38:09 AM,18,26.4,69,1002.4,23.04,224,0,
1654681149,6/8/2022 9:39:09 AM,18,26.4,69,1002.4,23.04,224,0,
1654681209,6/8/2022 9:40:09 AM,18,26.4,69,1002.4,23.04,224,0,
1654681296,6/8/2022 9:41:36 AM,18,26.4,69,1002.4,23.04,224,0,
1654681360,6/8/2022 9:42:40 AM,18,26.4,69,1002.4,23.04,224,0,
1654681425,6/8/2022 9:43:45 AM,18,26.4,69,1002.4,23.04,224,0,
1654681490,6/8/2022 9:44:50 AM,18,27,68,1002.5,20.88,221,0,
1654681550,6/8/2022 9:45:50 AM,18,27.6,70,1002.5,19.08,230,0,
1654681610,6/8/2022 9:46:50 AM,18.2,27.9,69,1002.5,18.72,233,0,
1654681670,6/8/2022 9:47:50 AM,18.2,27.9,69,1002.5,19.44,219,0,
1654681730,6/8/2022 9:48:50 AM,18.2,27.9,69,1002.5,16.56,252,0,
1654681790,6/8/2022 9:49:50 AM,18.2,27.9,68,1002.5,15.84,238,0,
1654681850,6/8/2022 9:50:50 AM,18.2,28.1,69,1002.5,14.04,254,0,
1654681910,6/8/2022 9:51:50 AM,18.4,28.8,71,1002.4,14.04,226,0,
1654681970,6/8/2022 9:52:50 AM,18.7,29.5,70,1002.4,13.32,226,0,
1654682031,6/8/2022 9:53:51 AM,18.8,29.5,68,1002.5,13.32,247,0,
1654682091,6/8/2022 9:54:51 AM,18.7,29.1,69,1002.3,12.24,231,0,
