NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
1,3,1,3:20.869,0,B,1:58.217,0,38.911,0,43.741,0,98.3,3:20.869,15:33:20.869,1:58.217,0:38.911,0:43.741,182.4,Charles MILESI,0:01:21.470,LMP2,,Richard Mille Racing Team,Oreca,GF,118.217,38.911,43.741,
1,3,2,13:26.130,0,,12:15.897,0,35.228,0,35.005,0,25.9,16:46.999,15:46:46.999,12:15.897,0:35.228,0:35.005,203.4,Charles MILESI,0:11:46.801,LMP2,,Richard Mille Racing Team,Oreca,GF,735.897,35.228,35.005,
1,3,3,1:40.819,0,,32.416,0,34.216,0,34.187,0,206.9,18:27.818,15:48:27.818,0:32.416,0:34.216,0:34.187,296.7,Charles MILESI,,LMP2,,Richard Mille Racing Team,Oreca,GF,32.416,34.216,34.187,
1,3,4,1:49.816,0,,40.505,0,35.043,0,34.268,0,189.9,20:17.634,15:50:17.634,0:40.505,0:35.043,0:34.268,301.7,Charles MILESI,,LMP2,,Richard Mille Racing Team,Oreca,GF,40.505,35.043,34.268,
1,3,5,1:41.263,0,,32.674,0,34.325,0,34.264,0,205.9,21:58.897,15:51:58.897,0:32.674,0:34.325,0:34.264,297.5,Charles MILESI,,LMP2,,Richard Mille Racing Team,Oreca,GF,32.674,34.325,34.264,
1,3,6,1:40.732,2,,32.360,0,34.193,2,34.179,0,207.0,23:39.629,15:53:39.629,0:32.360,0:34.193,0:34.179,298.3,Charles MILESI,,LMP2,,Richard Mille Racing Team,Oreca,GF,32.360,34.193,34.179,
1,3,7,1:48.218,0,B,32.475,0,34.650,0,41.093,0,192.7,25:27.847,15:55:27.847,0:32.475,0:34.650,0:41.093,295.9,Charles MILESI,,LMP2,,Richard Mille Racing Team,Oreca,GF,32.475,34.650,41.093,
1,3,8,10:55.149,0,,9:39.613,0,34.948,0,40.588,0,31.8,36:22.996,16:06:22.996,9:39.613,0:34.948,0:40.588,225.9,Charles MILESI,0:09:11.111,LMP2,,Richard Mille Racing Team,Oreca,GF,579.613,34.948,40.588,
1,3,9,1:45.679,0,,32.340,0,35.157,0,38.182,0,197.3,38:08.675,16:08:08.675,0:32.340,0:35.157,0:38.182,295.9,Charles MILESI,,LMP2,,Richard Mille Racing Team,Oreca,GF,32.340,35.157,38.182,
1,3,10,1:40.989,0,,32.272,2,34.616,0,34.101,2,206.5,39:49.664,16:09:49.664,0:32.272,0:34.616,0:34.101,296.7,Charles MILESI,,LMP2,,Richard Mille Racing Team,Oreca,GF,32.272,34.616,34.101,
1,3,11,1:50.071,0,B,32.478,0,35.269,0,42.324,0,189.5,41:39.735,16:11:39.735,0:32.478,0:35.269,0:42.324,296.7,Charles MILESI,,LMP2,,Richard Mille Racing Team,Oreca,GF,32.478,35.269,42.324,
1,1,12,9:48.249,0,,8:36.073,0,36.105,0,36.071,0,35.5,51:27.984,16:21:27.984,8:36.073,0:36.105,0:36.071,218.6,Lilou WADOUX,0:08:07.329,LMP2,,Richard Mille Racing Team,Oreca,GF,516.073,36.105,36.071,
