TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1662777021,9/10/2022 2:30:21 AM,25.5,34.9,64,950.8,9.36,76,0,
1662777081,9/10/2022 2:31:21 AM,25.4,34.9,65,951,10.44,89,0,
1662777141,9/10/2022 2:32:21 AM,25.4,34.5,65,950.9,18.36,94,0,
1662777201,9/10/2022 2:33:21 AM,25.2,34.7,65,950.8,17.28,108,0,
1662777261,9/10/2022 2:34:21 AM,24.9,34.2,66,950.9,9.72,109,0,
1662777321,9/10/2022 2:35:21 AM,24.8,34.2,67,950.9,13.32,73,0,
1662777381,9/10/2022 2:36:21 AM,24.7,34.5,67,950.9,10.44,87,0,
1662777441,9/10/2022 2:37:21 AM,24.7,34.6,67,950.9,11.88,103,0,
1662777501,9/10/2022 2:38:21 AM,24.7,34.9,67,950.9,10.44,92,0,
1662777562,9/10/2022 2:39:22 AM,24.8,36.4,67,950.9,11.52,86,0,
1662777622,9/10/2022 2:40:22 AM,24.9,37.4,66,950.8,9.72,90,0,
1662777682,9/10/2022 2:41:22 AM,24.9,37.3,66,950.9,8.28,39,0,
1662777742,9/10/2022 2:42:22 AM,24.9,36.7,66,950.9,5.04,105,0,
1662777802,9/10/2022 2:43:22 AM,25,37,66,950.8,6.48,110,0,
1662777862,9/10/2022 2:44:22 AM,25.1,37.3,65,950.8,11.88,90,0,
1662777922,9/10/2022 2:45:22 AM,25.1,37.3,65,950.7,11.16,90,0,
1662777982,9/10/2022 2:46:22 AM,25.1,36.7,66,950.7,8.64,87,0,
1662778042,9/10/2022 2:47:22 AM,25.2,36.6,65,950.7,10.44,103,0,
1662778102,9/10/2022 2:48:22 AM,25.2,36.3,66,950.8,9.36,76,0,
1662778163,9/10/2022 2:49:23 AM,25.3,36.2,65,950.8,10.08,100,0,
1662778223,9/10/2022 2:50:23 AM,25.3,35.9,65,950.8,11.88,84,0,
1662778283,9/10/2022 2:51:23 AM,25.3,35.5,64,950.7,14.04,80,0,
1662778343,9/10/2022 2:52:23 AM,25.3,35,65,950.8,14.76,81,0,
1662778403,9/10/2022 2:53:23 AM,25.2,34.9,65,950.8,11.52,102,0,
1662778463,9/10/2022 2:54:23 AM,25.1,34.5,66,950.8,10.44,94,0,
